Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_low_res_215.jpg,"(0, 0, 224, 224)",Unknown,0.5586,0.00,low_res,omer,0.6352,156.18,7.66,156.18
omer_low_res_216.jpg,"(0, 0, 224, 224)",omer,0.9377,0.00,low_res,omer,0.9290,107.40,-0.88,107.40
omer_low_res_217.jpg,"(0, 0, 224, 224)",omer,0.7928,6.01,low_res,omer,0.8550,85.32,6.22,79.31
omer_low_res_218.jpg,"(0, 0, 224, 224)",omer,0.7133,0.00,low_res,omer,0.8056,110.90,9.23,110.90
omer_low_res_219.jpg,"(0, 0, 224, 224)",omer,0.8899,15.03,low_res,omer,0.8862,374.75,-0.37,359.72
omer_low_res_220.jpg,"(0, 0, 224, 224)",omer,0.8171,13.83,low_res,omer,0.8856,169.98,6.84,156.14
omer_low_res_221.jpg,"(0, 4, 224, 224)",omer,0.9688,11.79,low_res,omer,0.9717,158.02,0.29,146.23
omer_low_res_222.jpg,"(0, 0, 224, 224)",omer,0.9504,9.79,low_res,omer,0.9605,165.63,1.01,155.84
omer_low_res_223.jpg,"(0, 0, 224, 224)",omer,0.9903,10.05,low_res,omer,0.9935,154.48,0.31,144.43
omer_low_res_224.jpg,"(0, 0, 224, 224)",omer,0.9599,13.36,low_res,omer,0.9702,143.41,1.03,130.05
omer_low_res_225.jpg,"(0, 0, 224, 224)",omer,0.8340,10.03,low_res,omer,0.9097,107.34,7.57,97.31
omer_low_res_226.jpg,"(0, 0, 224, 224)",omer,0.8138,0.00,low_res,omer,0.9055,95.58,9.18,95.58
omer_low_res_227.jpg,"(0, 0, 224, 224)",omer,0.9638,15.67,low_res,omer,0.9756,107.53,1.18,91.86
omer_low_res_228.jpg,"(0, 0, 224, 224)",omer,0.9920,9.78,low_res,omer,0.9937,90.74,0.17,80.96
omer_low_res_229.jpg,"(0, 0, 224, 224)",omer,0.9326,0.00,low_res,omer,0.9474,103.20,1.48,103.20
omer_low_res_230.jpg,"(0, 0, 224, 224)",omer,0.9878,0.00,low_res,omer,0.9873,112.13,-0.06,112.13
omer_low_res_231.jpg,"(0, 0, 224, 224)",omer,0.9993,9.77,low_res,omer,0.9994,93.55,0.01,83.78
omer_low_res_232.jpg,"(0, 0, 224, 224)",omer,0.9948,23.68,low_res,omer,0.9970,118.71,0.21,95.03
omer_low_res_233.jpg,"(0, 0, 224, 224)",omer,0.9860,0.00,low_res,omer,0.9897,117.34,0.37,117.34
omer_low_res_234.jpg,"(0, 0, 224, 224)",omer,0.9649,15.64,low_res,omer,0.9721,111.63,0.72,95.99
