Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
yoav_low_res_100.jpg,"(0, 2, 224, 224)",yoav,0.9873,0.00,low_res,yoav,0.9918,128.32,0.45,128.32
yoav_low_res_101.jpg,"(0, 7, 224, 224)",yoav,0.9547,9.80,low_res,yoav,0.9703,146.41,1.57,136.61
yoav_low_res_102.jpg,"(0, 0, 224, 224)",yoav,0.9806,6.02,motion_blur,yoav,0.9155,11.78,-6.51,5.75
yoav_low_res_103.jpg,"(0, 0, 224, 224)",yoav,0.8472,8.03,motion_blur,yoav,0.6641,11.79,-18.32,3.75
yoav_low_res_105.jpg,"(0, 0, 224, 224)",yoav,0.9978,7.77,motion_blur,yoav,0.9885,10.03,-0.93,2.26
yoav_low_res_106.jpg,"(0, 0, 224, 224)",yoav,0.9842,15.99,motion_blur,yoav,0.9323,0.00,-5.19,-15.99
yoav_low_res_107.jpg,"(0, 0, 224, 224)",yoav,0.9669,9.79,motion_blur,yoav,0.8652,17.85,-10.17,8.06
yoav_low_res_108.jpg,"(0, 6, 224, 224)",Unknown,0.5941,12.09,motion_blur,other,0.8614,15.81,26.73,3.72
yoav_low_res_109.jpg,"(0, 0, 224, 224)",Unknown,0.5470,11.79,low_res,yoav,0.6891,200.35,14.21,188.56
yoav_low_res_54.jpg,"(0, 3, 224, 224)",yoav,0.9997,37.74,low_res,yoav,0.9998,184.21,0.01,146.47
yoav_low_res_55.jpg,"(0, 0, 224, 224)",yoav,0.9939,0.00,low_res,yoav,0.9981,120.90,0.42,120.90
yoav_low_res_56.jpg,"(0, 0, 224, 224)",yoav,0.9717,6.02,low_res,yoav,0.9870,106.59,1.53,100.58
yoav_low_res_57.jpg,"(0, 0, 224, 224)",yoav,0.9731,5.03,low_res,yoav,0.9775,95.23,0.44,90.21
yoav_low_res_59.jpg,"(0, 0, 224, 224)",yoav,0.9948,9.80,low_res,yoav,0.9976,132.72,0.28,122.92
yoav_low_res_60.jpg,"(0, 0, 224, 224)",yoav,0.9952,6.01,low_res,yoav,0.9964,110.78,0.12,104.77
yoav_low_res_61.jpg,"(0, 0, 224, 224)",yoav,0.9783,15.69,low_res,yoav,0.9861,95.20,0.78,79.51
yoav_low_res_62.jpg,"(0, 0, 224, 224)",yoav,0.9060,0.00,low_res,yoav,0.9096,96.98,0.36,96.98
yoav_low_res_63.jpg,"(0, 0, 224, 224)",other,0.9511,8.02,low_res,other,0.9551,86.73,0.40,78.71
yoav_low_res_64.jpg,"(0, 0, 224, 224)",other,0.6625,7.76,low_res,Unknown,0.5464,85.12,-11.61,77.36
yoav_low_res_65.jpg,"(0, 0, 224, 224)",yoav,0.9118,21.88,low_res,yoav,0.9258,92.91,1.40,71.03
yoav_low_res_66.jpg,"(0, 0, 224, 224)",yoav,0.9894,6.02,low_res,yoav,0.9922,96.47,0.28,90.45
yoav_low_res_68.jpg,"(0, 0, 224, 224)",yoav,0.9982,7.76,low_res,yoav,0.9992,103.08,0.10,95.32
yoav_low_res_69.jpg,"(0, 0, 224, 224)",yoav,0.9778,6.02,low_res,yoav,0.9909,70.96,1.31,64.95
yoav_low_res_70.jpg,"(0, 0, 224, 224)",yoav,0.9954,6.02,low_res,yoav,0.9982,90.78,0.28,84.76
yoav_low_res_71.jpg,"(0, 0, 224, 224)",yoav,0.9894,8.02,low_res,yoav,0.9928,100.49,0.34,92.47
