Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_motion_blur_363.jpg,"(0, 0, 224, 224)",Unknown,0.5972,0.00,motion_blur,omer,0.6944,15.82,9.72,15.82
omer_motion_blur_364.jpg,"(0, 0, 224, 224)",Unknown,0.4506,15.64,motion_blur,omer,0.9478,15.86,49.72,0.22
omer_motion_blur_365.jpg,"(0, 0, 224, 224)",other,0.9147,33.68,motion_blur,other,0.6654,190.12,-24.94,156.44
omer_motion_blur_367.jpg,"(2, 0, 224, 224)",omer,0.7421,139.77,motion_blur,omer,0.9350,113.54,19.29,-26.23
omer_motion_blur_369.jpg,"(9, 0, 224, 224)",Unknown,0.5225,21.94,motion_blur,omer,0.8814,37.30,35.89,15.35
omer_motion_blur_370.jpg,"(0, 0, 224, 224)",Unknown,0.3827,31.79,motion_blur,omer,0.6207,47.65,23.80,15.86
omer_motion_blur_371.jpg,"(0, 0, 224, 224)",omer,0.9544,19.95,motion_blur,omer,0.9923,31.80,3.79,11.85
omer_motion_blur_374.jpg,"(13, 0, 224, 224)",other,0.8323,32.99,motion_blur,other,0.6042,44.27,-22.80,11.28
omer_motion_blur_376.jpg,"(0, 0, 224, 224)",other,0.7164,31.58,motion_blur,Unknown,0.4845,31.74,-23.19,0.16
omer_motion_blur_377.jpg,"(0, 0, 224, 224)",Unknown,0.5644,21.98,motion_blur,omer,0.8543,35.19,28.99,13.21
omer_motion_blur_378.jpg,"(0, 0, 224, 224)",Unknown,0.3689,32.00,motion_blur,omer,0.6328,31.56,26.38,-0.45
omer_motion_blur_379.jpg,"(0, 0, 224, 224)",Unknown,0.5319,22.22,motion_blur,omer,0.7126,3.76,18.07,-18.46
omer_motion_blur_380.jpg,"(0, 0, 224, 224)",omer,0.9910,0.00,motion_blur,omer,0.9965,15.80,0.55,15.80
omer_motion_blur_381.jpg,"(0, 0, 224, 224)",omer,0.9328,5.75,motion_blur,omer,0.9802,0.00,4.74,-5.75
omer_motion_blur_382.jpg,"(0, 0, 224, 224)",Unknown,0.5567,6.01,motion_blur,omer,0.8581,5.76,30.13,-0.26
omer_motion_blur_383.jpg,"(0, 0, 224, 224)",omer,0.9162,0.00,motion_blur,omer,0.9861,18.03,6.99,18.03
omer_motion_blur_384.jpg,"(0, 0, 224, 224)",omer,0.9161,5.76,motion_blur,omer,0.9744,0.00,5.83,-5.76
omer_motion_blur_385.jpg,"(0, 0, 224, 224)",Unknown,0.5067,8.41,motion_blur,omer,0.9613,17.97,45.46,9.55
