Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
00005.png,"(0, 1, 128, 128)",other,0.9996,0.00,low_light,other,0.9904,15.76,-0.91,15.76
00006.png,"(0, 0, 128, 128)",other,1.0000,6.02,low_light,other,0.9998,12.24,-0.02,6.22
00007.png,"(0, 8, 117, 128)",other,1.0000,0.00,low_light,other,1.0000,19.76,-0.00,19.76
00008.png,"(60, 24, 128, 128)",other,1.0000,15.65,motion_blur,other,1.0000,0.00,0.00,-15.65
00008.png,"(0, 11, 120, 128)",other,1.0000,19.70,motion_blur,other,1.0000,11.81,0.00,-7.88
00009.png,"(0, 0, 122, 128)",other,0.9991,0.00,motion_blur,other,0.9991,15.71,0.00,15.71
00010.png,"(2, 2, 124, 124)",other,1.0000,0.00,motion_blur,other,1.0000,15.66,0.00,15.66
00011.png,"(0, 13, 124, 128)",other,0.9995,0.00,motion_blur,other,0.9995,15.63,0.00,15.63
00011.png,"(94, 28, 128, 84)",other,0.9963,0.00,low_res,other,0.8577,17.82,-13.86,17.82
00012.png,"(0, 4, 128, 128)",other,0.9964,15.64,low_light,other,0.9973,15.68,0.09,0.04
00013.png,"(0, 0, 128, 128)",other,1.0000,0.00,low_light,other,1.0000,19.67,-0.00,19.67
00014.png,"(67, 0, 128, 67)",other,1.0000,0.00,motion_blur,other,1.0000,15.66,0.00,15.66
00014.png,"(2, 10, 122, 128)",other,1.0000,0.00,motion_blur,other,1.0000,15.87,0.00,15.87
00015.png,"(0, 7, 128, 128)",other,0.9999,15.64,motion_blur,other,0.9999,0.00,0.00,-15.64
00016.png,"(0, 4, 127, 128)",other,0.9988,0.00,low_light,other,0.9974,15.67,-0.14,15.67
00016.png,"(62, 10, 128, 118)",other,1.0000,0.00,motion_blur,other,1.0000,15.65,0.00,15.65
00017.png,"(0, 6, 124, 128)",other,0.9998,1.75,low_light,other,0.9998,19.65,-0.01,17.90
00018.png,"(0, 6, 128, 128)",other,1.0000,0.00,low_light,other,1.0000,15.77,-0.00,15.77
00019.png,"(0, 4, 122, 128)",other,1.0000,6.01,motion_blur,other,1.0000,7.76,0.00,1.75
00020.png,"(0, 4, 123, 128)",other,1.0000,0.00,motion_blur,other,1.0000,15.90,0.00,15.90
00021.png,"(0, 0, 128, 128)",other,0.9983,15.66,motion_blur,other,0.9983,0.00,0.00,-15.66
00022.png,"(0, 2, 128, 128)",other,1.0000,2.01,low_light,other,0.9999,15.63,-0.01,13.62
00023.png,"(0, 10, 128, 128)",other,0.9978,9.03,low_light,other,0.9896,0.00,-0.82,-9.03
00024.png,"(12, 4, 128, 128)",other,1.0000,0.00,motion_blur,other,1.0000,18.65,0.00,18.65
real_norm_1773066173644.jpg,"(0, 0, 128, 128)",other,0.7577,23.41,motion_blur,other,0.9160,14.05,15.83,-9.36
real_norm_1773066212954.jpg,"(0, 0, 128, 128)",other,0.9988,15.65,motion_blur,other,0.9855,2.84,-1.33,-12.82
real_norm_1773066215677.jpg,"(0, 0, 128, 128)",other,0.9977,15.67,motion_blur,other,0.9374,0.00,-6.02,-15.67
real_norm_1773066220895.jpg,"(8, 0, 128, 128)",other,0.9753,7.77,motion_blur,Unknown,0.5536,13.78,-42.17,6.01
real_norm_1773066223518.jpg,"(3, 0, 128, 128)",other,0.8866,0.00,motion_blur,Unknown,0.5959,23.75,-29.07,23.75
real_norm_1773066224463.jpg,"(0, 0, 128, 128)",other,0.9326,0.00,motion_blur,Unknown,0.5548,15.71,-37.78,15.71
real_norm_1773066226086.jpg,"(0, 0, 128, 128)",other,0.9993,0.00,motion_blur,other,0.9993,15.67,0.00,15.67
real_norm_1773066228529.jpg,"(0, 0, 128, 128)",other,0.9965,3.75,motion_blur,other,0.9763,0.00,-2.02,-3.75
real_norm_1773066853798.jpg,"(0, 0, 128, 128)",other,0.9998,7.76,motion_blur,other,0.9989,10.03,-0.09,2.27
real_norm_1773066907720.jpg,"(0, 0, 128, 128)",other,1.0000,0.00,motion_blur,other,0.9993,15.93,-0.07,15.93
real_norm_1773066907976.jpg,"(0, 0, 128, 128)",other,1.0000,13.29,motion_blur,other,0.9991,15.66,-0.08,2.37


--- SUMMARY STATISTICS ---,
Metric,Value
Total Faces Processed,35
Basic Pipeline Accuracy,100.00%
Gated Pipeline Accuracy,91.43%
Net Accuracy Change,-8.57%
Average Time Basic (ms),5.55
Average Time Gated (ms),12.67
Time Cost of Gate (ms),7.11
Flips: Bad to Good (Fixed),0
Flips: Good to Bad (Ruined),3
Avg Conf Change (Both Correct),-0.30%
Avg Conf Change (Both Wrong),+0.00%
