Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_low_light (110).jpg,"(0, 0, 224, 224)",yoav,0.89,280.77,low_light,yoav,0.8785,279.64,-1.15,-1.13
omer_low_light (115).jpg,"(0, 0, 224, 224)",omer,0.6331,11.45,low_light,omer,0.9762,26.42,34.32,14.97
omer_low_light (75).JPG,"(1246, 1113, 2118, 1985)",yoav,0.9564,22.31,low_light,omer,0.9057,95.8,-5.08,73.49
omer_low_light (12).JPG,"(1072, 1289, 1972, 2189)",omer,0.7764,22.21,low_light,omer,0.9997,97.02,22.33,74.81
omer_low_light (87).JPG,"(1133, 1528, 1989, 2384)",Unknown,0.5709,21.77,low_light,omer,0.9998,87.01,42.89,65.24
omer_low_light (65).JPG,"(1378, 1727, 2048, 2397)",yoav,0.9767,20.42,low_light,yoav,0.6118,61.02,-36.49,40.59
omer_low_light (133).jpg,"(0, 0, 224, 224)",omer,0.9068,18.5,low_light,omer,0.958,40.01,5.12,21.51
omer_low_light (96).jpg,"(0, 0, 224, 224)",other,0.9445,11.18,low_light,other,0.8094,25.8,-13.5,14.62
omer_low_light (51).JPG,"(1357, 1786, 1703, 2132)",yoav,0.9961,18.59,low_light,yoav,0.6448,30.44,-35.13,11.85
omer_low_light (47).JPG,"(1475, 1700, 1851, 2076)",yoav,0.93,18.63,low_light,yoav,0.6478,32.46,-28.23,13.83
omer_low_light (114).jpg,"(0, 0, 224, 224)",omer,0.8242,10.58,low_light,omer,0.8476,23.16,2.34,12.59
omer_low_light (62).JPG,"(1370, 1884, 1852, 2366)",yoav,0.8065,19.52,low_light,omer,0.8995,42.7,9.3,23.18
omer_low_light (93).JPG,"(1358, 1591, 2110, 2343)",yoav,0.9751,20.87,low_light,omer,0.9967,75.81,2.15,54.94
omer_low_light (29).JPG,"(1322, 1646, 1854, 2178)",yoav,0.9768,19.39,low_light,omer,0.9945,45.85,1.77,26.46
omer_low_light (113).jpg,"(0, 0, 224, 224)",Unknown,0.3954,10.2,low_light,omer,0.6158,22.6,22.03,12.4
omer_low_light (105).jpg,"(0, 0, 224, 224)",Unknown,0.4726,18.24,low_light,omer,0.6631,37.84,19.04,19.6
omer_low_light (11).JPG,"(979, 1151, 2075, 2247)",omer,0.9981,24.39,low_light,omer,0.9996,169.69,0.16,145.31
omer_low_light (35).JPG,"(1394, 1602, 1804, 2012)",yoav,0.9632,18.87,low_light,omer,0.78,38.7,-18.32,19.84
omer_low_light (26).JPG,"(1576, 1621, 2120, 2165)",yoav,0.7679,19.34,low_light,omer,0.9936,48.35,22.57,29.01
omer_low_light (138).jpg,"(0, 0, 224, 224)",Unknown,0.5992,17.45,low_light,other,0.6207,38.86,2.15,21.41
omer_low_light (14).JPG,"(1428, 1649, 1848, 2069)",yoav,0.8793,18.89,low_light,omer,0.9149,35.72,3.55,16.83
omer_low_light (46).JPG,"(1447, 1718, 1825, 2096)",yoav,0.9813,18.66,low_light,omer,0.771,32.56,-21.04,13.9
omer_low_light (27).JPG,"(1644, 1586, 2204, 2146)",yoav,0.8955,18.95,low_light,omer,0.9712,48.02,7.56,29.06
omer_low_light (61).JPG,"(1396, 1798, 1804, 2206)",yoav,0.989,18.81,low_light,Unknown,0.5517,34.93,-43.73,16.13
omer_low_light (137).jpg,"(0, 0, 224, 224)",Unknown,0.5749,18.23,low_light,Unknown,0.5952,36.83,2.03,18.61
omer_low_light (88).JPG,"(1143, 1642, 1979, 2478)",yoav,0.687,21.82,low_light,omer,0.9999,89.78,31.29,67.97
omer_low_light (59).JPG,"(1383, 1423, 1777, 1817)",yoav,0.848,18.68,low_light,Unknown,0.581,33.76,-26.7,15.08
omer_low_light (80).JPG,"(1295, 1395, 2147, 2247)",yoav,0.9916,21.77,low_light,omer,0.9442,87.45,-4.73,65.68
omer_low_light (23).JPG,"(1335, 1476, 1855, 1996)",yoav,0.9759,19.38,low_light,omer,0.9872,45.12,1.13,25.73
omer_low_light (37).JPG,"(1036, 1604, 1536, 2104)",yoav,0.7713,19.23,low_light,omer,0.9982,42.94,22.69,23.71
omer_low_light (49).JPG,"(1339, 1746, 1681, 2088)",yoav,0.9392,10.96,low_light,yoav,0.8064,22.54,-13.28,11.58
omer_low_light (109).jpg,"(0, 0, 224, 224)",Unknown,0.5734,17.36,low_light,Unknown,0.4725,37.41,-10.09,20.04
omer_low_light (60).JPG,"(1356, 1589, 1764, 1997)",Unknown,0.579,11.23,low_light,omer,0.9511,27.78,37.22,16.55
omer_low_light (36).JPG,"(1169, 1579, 1633, 2043)",yoav,0.9466,19.03,low_light,omer,0.9233,40,-2.33,20.97
omer_low_light (54).JPG,"(1239, 1717, 1599, 2077)",yoav,0.9548,11.07,low_light,omer,0.8145,23.66,-14.03,12.59
omer_low_light (68).JPG,"(1223, 1753, 1931, 2461)",yoav,0.9003,20.7,low_light,omer,0.9645,69.65,6.41,48.95
omer_low_light (112).jpg,"(0, 0, 224, 224)",Unknown,0.555,18.07,low_light,omer,0.9987,36.29,44.37,18.22
omer_low_light (130).jpg,"(0, 0, 224, 224)",omer,0.7666,10.22,low_light,Unknown,0.5669,22.49,-19.97,12.27
omer_low_light (48).JPG,"(1443, 1742, 1809, 2108)",yoav,0.9908,11.1,low_light,yoav,0.6822,24.26,-30.86,13.16
omer_low_light (53).JPG,"(1406, 1765, 1766, 2125)",yoav,0.9197,18.64,low_light,omer,0.7718,31.46,-14.79,12.83
omer_low_light (70).JPG,"(1165, 1416, 1835, 2086)",yoav,0.9815,13.08,low_light,omer,0.7754,59.55,-20.61,46.47
omer_low_light (44).JPG,"(1416, 1935, 1836, 2355)",yoav,0.9861,18.71,low_light,yoav,0.9843,35.73,-0.18,17.02
omer_low_light (82).JPG,"(1170, 1296, 2056, 2182)",yoav,0.8934,22.28,low_light,omer,0.9545,96.35,6.11,74.07
omer_low_light (90).JPG,"(1384, 1574, 2118, 2308)",yoav,0.9457,20.92,low_light,omer,0.9516,70.24,0.59,49.32
omer_low_light (107).jpg,"(0, 0, 224, 224)",other,0.7985,18.11,low_light,Unknown,0.5778,39.58,-22.07,21.47
omer_low_light (45).JPG,"(1497, 1861, 1897, 2261)",yoav,0.9544,18.77,low_light,omer,0.9651,35.03,1.07,16.26
omer_low_light (129).jpg,"(0, 0, 224, 224)",other,0.6775,17.85,low_light,yoav,0.6993,36.84,2.18,18.99
omer_low_light (58).JPG,"(1370, 1415, 1764, 1809)",yoav,0.9804,18.79,low_light,Unknown,0.5833,34.32,-39.7,15.54
omer_low_light (91).JPG,"(1232, 1648, 1960, 2376)",yoav,0.8919,20.64,low_light,omer,0.9197,72.1,2.78,51.46
omer_low_light (34).JPG,"(1480, 1638, 1872, 2030)",yoav,0.9346,11.02,low_light,omer,0.8726,26.1,-6.2,15.08
omer_low_light (69).JPG,"(1181, 1282, 1897, 1998)",yoav,0.869,20.8,low_light,Unknown,0.5713,68.11,-29.77,47.32
omer_low_light (81).JPG,"(1315, 1390, 2165, 2240)",yoav,0.99,21.87,low_light,omer,0.9351,90.07,-5.5,68.21
omer_low_light (43).JPG,"(1460, 1888, 1902, 2330)",yoav,0.9904,19.01,low_light,omer,0.9412,37.97,-4.92,18.97
omer_low_light (89).JPG,"(1207, 1590, 2033, 2416)",yoav,0.9504,21.51,low_light,omer,0.9982,82.65,4.78,61.14
omer_low_light (134).jpg,"(0, 0, 224, 224)",omer,0.7537,9.73,low_light,omer,0.8249,25.54,7.12,15.81
omer_low_light (132).jpg,"(0, 0, 224, 224)",omer,0.9127,16.9,low_light,omer,0.9874,33.56,7.47,16.65
omer_low_light (125).jpg,"(0, 0, 224, 224)",Unknown,0.4753,18.33,low_light,Unknown,0.4688,39.4,-0.65,21.07
omer_low_light (24).JPG,"(1468, 1603, 1952, 2087)",yoav,0.9946,19.25,low_light,Unknown,0.5601,42.75,-43.45,23.5
omer_low_light (128).jpg,"(0, 0, 224, 224)",omer,0.8721,10.6,low_light,omer,0.9368,23.25,6.47,12.64
omer_low_light (78).JPG,"(1058, 1101, 2050, 2093)",yoav,0.6943,22.9,low_light,omer,0.9886,116.56,29.43,93.66
omer_low_light (99).jpg,"(0, 0, 224, 224)",omer,0.7483,17.44,low_light,omer,0.7343,39.55,-1.4,22.11
omer_low_light (72).JPG,"(1022, 1388, 1874, 2240)",yoav,0.9828,22.19,low_light,yoav,0.8848,93.97,-9.8,71.78
omer_low_light (42).JPG,"(1522, 1766, 2010, 2254)",yoav,0.9923,19.38,low_light,omer,0.6396,41.54,-35.26,22.16
omer_low_light (20).JPG,"(1157, 1378, 1651, 1872)",yoav,0.9629,19.32,low_light,omer,0.9877,42.35,2.48,23.03
omer_low_light (30).JPG,"(1300, 1657, 1794, 2151)",yoav,0.8324,19.26,low_light,omer,0.983,42.36,15.06,23.1
omer_low_light (117).jpg,"(0, 0, 224, 224)",other,0.7,9.95,low_light,omer,0.8688,22.53,16.89,12.58
omer_low_light (21).JPG,"(1197, 1382, 1693, 1878)",yoav,0.9228,19.38,low_light,omer,0.947,42.21,2.42,22.83
omer_low_light (73).JPG,"(837, 1470, 1689, 2322)",yoav,0.7911,21.82,low_light,omer,0.8661,86.78,7.5,64.96
omer_low_light (76).JPG,"(1197, 1538, 2017, 2358)",Unknown,0.5429,21.46,low_light,omer,0.9978,81.78,45.49,60.32
omer_low_light (136).jpg,"(0, 0, 224, 224)",other,0.8738,10.04,low_light,other,0.8957,24.45,2.19,14.41
omer_low_light (108).jpg,"(0, 0, 224, 224)",other,0.8941,17.45,low_light,yoav,0.6605,33.68,-23.36,16.22
omer_low_light (127).jpg,"(0, 0, 224, 224)",omer,0.7867,17.91,low_light,omer,0.8324,39.76,4.57,21.85
omer_low_light (106).jpg,"(0, 0, 224, 224)",other,0.6427,11.29,low_light,omer,0.9115,25.18,26.88,13.89
omer_low_light (25).JPG,"(1448, 1623, 1952, 2127)",yoav,0.616,19.18,low_light,omer,0.9756,44.32,35.96,25.15
omer_low_light (111).jpg,"(0, 0, 224, 224)",Unknown,0.5057,10.19,low_light,omer,0.6903,22.12,18.46,11.94
omer_low_light (101).jpg,"(0, 0, 224, 224)",omer,0.9002,13.12,low_light,omer,0.9142,27.78,1.4,14.66
omer_low_light (119).jpg,"(0, 0, 224, 224)",omer,0.6299,13.51,low_light,omer,0.879,28.08,24.91,14.57
omer_low_light (38).JPG,"(1211, 1650, 1699, 2138)",yoav,0.9611,19.23,low_light,yoav,0.6894,41.6,-27.17,22.37
omer_low_light (66).JPG,"(1307, 1773, 2035, 2501)",yoav,0.8627,20.81,low_light,yoav,0.8435,71.77,-1.92,50.96
omer_low_light (55).JPG,"(1225, 1701, 1583, 2059)",yoav,0.684,18.64,low_light,yoav,0.8774,31.92,19.34,13.29
omer_low_light (67).JPG,"(1242, 1735, 1960, 2453)",yoav,0.7548,20.93,low_light,omer,0.6189,67.91,-13.59,46.98
omer_low_light (86).JPG,"(1109, 1497, 1997, 2385)",yoav,0.826,22.13,low_light,omer,0.9998,95.25,17.38,73.12
omer_low_light (77).JPG,"(1134, 1448, 1964, 2278)",yoav,0.8757,21.61,low_light,omer,0.949,84.45,7.33,62.84
omer_low_light (74).JPG,"(911, 1262, 1751, 2102)",yoav,0.9258,13.92,low_light,yoav,0.7258,84.05,-20,70.13
omer_low_light (120).jpg,"(0, 0, 224, 224)",Unknown,0.4848,9.48,low_light,yoav,0.6626,25.53,17.77,16.06
omer_low_light (52).JPG,"(1282, 1759, 1644, 2121)",yoav,0.9408,18.63,low_light,Unknown,0.5537,31.81,-38.71,13.18
omer_low_light (15).JPG,"(1301, 1653, 1721, 2073)",yoav,0.9677,18.78,low_light,omer,0.9676,36.16,0,17.38
omer_low_light (122).jpg,"(0, 0, 224, 224)",omer,0.6273,18.57,low_light,omer,0.8493,36.24,22.19,17.67
omer_low_light (39).JPG,"(1273, 1731, 1785, 2243)",yoav,0.9765,19.75,low_light,omer,0.8789,43.92,-9.75,24.16
omer_low_light (83).JPG,"(978, 1005, 1986, 2013)",yoav,0.9577,22.24,low_light,omer,0.9877,119.62,3,97.38
omer_low_light (18).JPG,"(1257, 1498, 1753, 1994)",yoav,0.997,19.23,low_light,omer,0.8697,44.62,-12.73,25.39
omer_low_light (32).JPG,"(1430, 1863, 1822, 2255)",yoav,0.9669,18.43,low_light,omer,0.6946,33.45,-27.23,15.02
omer_low_light (16).JPG,"(1396, 1677, 1820, 2101)",yoav,0.9457,19.04,low_light,Unknown,0.5399,36.02,-40.58,16.99
omer_low_light (85).JPG,"(998, 1438, 1924, 2364)",yoav,0.8664,22.46,low_light,omer,0.9975,105.94,13.11,83.48
omer_low_light (131).jpg,"(0, 0, 224, 224)",omer,0.697,9.8,low_light,yoav,0.7394,23.66,4.24,13.86
omer_low_light (71).JPG,"(1090, 1294, 1910, 2114)",yoav,0.9882,21.71,low_light,Unknown,0.5354,88.06,-45.28,66.36
omer_low_light (116).jpg,"(0, 0, 224, 224)",omer,0.6334,18.88,low_light,omer,0.9754,36.49,34.2,17.61
omer_low_light (33).JPG,"(1417, 1652, 1789, 2024)",yoav,0.9753,18.58,low_light,omer,0.9509,32.33,-2.44,13.75
omer_low_light (31).JPG,"(1313, 1585, 1761, 2033)",yoav,0.72,17.36,low_light,omer,0.9945,36.29,27.45,18.93
omer_low_light (121).jpg,"(0, 0, 224, 224)",other,0.8512,18.33,low_light,Unknown,0.431,38.75,-42.01,20.43
omer_low_light (102).jpg,"(0, 1, 224, 224)",omer,0.7142,11.12,low_light,omer,0.7836,26.19,6.94,15.07
omer_low_light (19).JPG,"(1258, 1407, 1780, 1929)",yoav,0.9972,11.96,low_light,Unknown,0.5249,37.38,-47.24,25.42
omer_low_light (135).jpg,"(0, 0, 224, 224)",other,0.9264,17.46,low_light,other,0.7184,36.89,-20.8,19.43
omer_low_light (28).JPG,"(1501, 1636, 2083, 2218)",yoav,0.7632,19.78,low_light,omer,0.9995,51.59,23.63,31.81
omer_low_light (17).JPG,"(1362, 1618, 1790, 2046)",yoav,0.9918,11.43,low_light,Unknown,0.5468,28.99,-44.5,17.56
omer_low_light (50).JPG,"(1368, 1758, 1718, 2108)",yoav,0.9689,18.5,low_light,Unknown,0.5738,30.74,-39.51,12.24
omer_low_light (40).JPG,"(1349, 1761, 1899, 2311)",yoav,0.9921,12.1,low_light,omer,0.9873,40.4,-0.47,28.29
omer_low_light (64).JPG,"(1343, 1904, 1929, 2490)",yoav,0.996,19.86,low_light,yoav,0.6146,51.33,-38.14,31.47
omer_low_light (123).jpg,"(0, 0, 224, 224)",Unknown,0.5018,13.21,low_light,Unknown,0.5119,23.47,1.01,10.26
omer_low_light (63).JPG,"(1350, 1877, 1854, 2381)",yoav,0.9424,19.08,low_light,yoav,0.945,43.02,0.25,23.94
omer_low_light (124).jpg,"(0, 0, 224, 224)",Unknown,0.5164,10.56,low_light,Unknown,0.5266,22.81,1.03,12.25
omer_low_light (92).JPG,"(1362, 1578, 2066, 2282)",yoav,0.792,20.46,low_light,omer,0.9972,65.01,20.52,44.55
omer_low_light (118).jpg,"(0, 0, 224, 224)",other,0.6954,18.3,low_light,omer,0.9158,35.92,22.05,17.62
omer_low_light (56).JPG,"(1212, 1314, 1600, 1702)",yoav,0.9384,11.16,low_light,omer,0.645,25.9,-29.33,14.74
omer_low_light (22).JPG,"(1230, 1446, 1744, 1960)",yoav,0.833,19.36,low_light,omer,0.9954,43.91,16.24,24.55
omer_low_light (126).jpg,"(0, 0, 224, 224)",Unknown,0.4384,17.94,low_light,yoav,0.6708,38.37,23.25,20.43
omer_low_light (100).jpg,"(0, 0, 224, 224)",other,0.7461,11,low_light,Unknown,0.537,24.28,-20.9,13.27
omer_low_light (97).jpg,"(0, 2, 224, 224)",omer,0.9378,14.27,low_light,Unknown,0.5899,29.05,-34.79,14.77
omer_low_light (79).JPG,"(1233, 1339, 2125, 2231)",yoav,0.9696,22.19,low_light,omer,0.9357,94.75,-3.39,72.56
omer_low_light (84).JPG,"(871, 1290, 1883, 2302)",yoav,0.9744,23.4,low_light,omer,0.9998,117.46,2.54,94.06
omer_low_light (57).JPG,"(1349, 1168, 1755, 1574)",yoav,0.9795,18.77,low_light,omer,0.6216,37.1,-35.79,18.33
omer_low_light (13).JPG,"(1404, 1607, 1860, 2063)",yoav,0.8788,19.04,low_light,omer,0.9623,39.39,8.35,20.34
omer_low_light (41).JPG,"(1374, 1671, 1922, 2219)",yoav,0.8976,12.1,low_light,omer,0.9302,41.4,3.26,29.3
,,,,,,,,,,
,,,,,,,,,,
--- SUMMARY STATISTICS ---,,,,,,,,,,
Metric,Value,,,,,,,,,
Total Faces Processed,123,,,,,,,,,
Basic Pipeline Accuracy,14.63%,,,,,,,,,
Gated Pipeline Accuracy,64.23%,,,,,,,,,
Net Accuracy Change,49.59%,,,,,,,,,
Average Time Basic (ms),19.62,,,,,,,,,
Average Time Gated (ms),50.22,,,,,,,,,
Time Cost of Gate (ms),30.6,,,,,,,,,
Flips: Bad to Good (Fixed),64,,,,,,,,,
Flips: Good to Bad (Ruined),3,,,,,,,,,
Avg Conf Change (Both Correct),11.88%,,,,,,,,,
Avg Conf Change (Both Wrong),-18.63%,,,,,,,,,
