Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
16_56495.png,"(0, 0, 224, 224)",Unknown,0.5052,11.31,low_light,omer,0.7333,25.22,22.81,13.91
75_04935.png,"(0, 6, 224, 224)",yoav,0.7427,18.07,low_light,yoav,0.9157,23.76,17.29,5.68
56_38831.png,"(22, 13, 224, 224)",other,0.9889,10.56,low_light,other,0.9148,23.91,-7.41,13.35
14_11473.png,"(0, 0, 224, 224)",other,0.8868,13.07,low_light,other,0.9373,19.11,5.06,6.05
10_67334.png,"(11, 15, 219, 223)",other,0.9984,14.08,low_light,other,0.9928,28.64,-0.56,14.57
59_12347.png,"(0, 18, 220, 224)",other,0.9759,14.18,low_light,other,0.9659,28.72,-1.00,14.54
1_27973.png,"(0, 4, 224, 224)",other,0.6574,14.13,low_light,yoav,0.8784,20.07,22.10,5.94
76_50845.png,"(9, 1, 224, 224)",other,0.9991,14.31,low_light,other,0.9967,29.73,-0.25,15.42
50_16406.png,"(0, 0, 224, 224)",Unknown,0.5288,13.43,low_light,Unknown,0.5818,24.57,5.30,11.14
9_69603.png,"(0, 7, 224, 224)",other,0.9950,14.13,low_light,other,0.9972,29.32,0.22,15.19
47_28380.png,"(0, 8, 223, 224)",Unknown,0.5426,14.03,low_light,yoav,0.8981,19.99,35.55,5.96
71_04864.png,"(0, 13, 224, 224)",yoav,0.6140,9.96,low_light,other,0.7973,22.18,18.34,12.22
65_47827.png,"(4, 8, 224, 224)",other,0.9998,11.83,low_light,other,0.9992,25.79,-0.07,13.96
69_14639.png,"(5, 10, 223, 224)",other,0.9996,11.74,low_light,other,0.9984,25.47,-0.12,13.74
41_05971.png,"(7, 12, 224, 224)",other,0.9962,11.80,low_light,other,0.9870,25.47,-0.92,13.67
3_13111.png,"(0, 0, 224, 224)",yoav,0.7458,11.28,low_light,yoav,0.9203,17.79,17.45,6.52
44_55541.png,"(0, 6, 224, 224)",other,0.9997,12.34,normal,other,0.9997,21.32,0.00,8.98
26_30972.png,"(20, 29, 206, 215)",other,0.9841,12.53,low_light,other,0.8282,26.08,-15.59,13.55
48_69956.png,"(0, 6, 213, 224)",other,0.9975,12.50,low_light,other,0.9882,26.17,-0.93,13.67
17_67182.png,"(0, 4, 224, 224)",other,0.8667,11.76,low_light,Unknown,0.5583,25.67,-30.84,13.91
40_13629.png,"(0, 0, 224, 224)",other,0.9982,10.98,low_light,other,0.9974,24.48,-0.08,13.50
68_60012.png,"(0, 9, 224, 224)",yoav,0.7878,11.76,low_light,yoav,0.6822,25.57,-10.56,13.81
62_20165.png,"(10, 7, 224, 224)",other,0.9929,11.79,low_light,other,0.8770,24.66,-11.59,12.87
58_38140.png,"(0, 11, 224, 224)",yoav,0.6693,11.76,low_light,Unknown,0.5189,17.37,-15.04,5.61
58_38140.png,"(0, 1, 216, 224)",other,0.8352,11.75,low_light,Unknown,0.5695,17.31,-26.57,5.56
42_04310.png,"(0, 0, 224, 224)",other,0.9799,11.18,low_light,other,0.6941,24.40,-28.59,13.22
46_44081.png,"(0, 0, 221, 224)",other,0.8988,11.77,low_light,Unknown,0.4379,25.86,-46.09,14.09
