Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
yoav_low_light (32).JPG,"(1213, 1291, 1921, 1999)",yoav,0.9994,13.29,low_light,yoav,0.9943,65.97,-0.51,52.69
yoav_low_light (60).JPG,"(1013, 1181, 1927, 2095)",yoav,0.9997,22.38,low_light,yoav,0.9710,97.25,-2.87,74.88
yoav_low_light (23).JPG,"(1231, 1224, 1763, 1756)",yoav,1.0000,19.35,low_light,yoav,0.9935,45.93,-0.65,26.58
yoav_low_light (62).JPG,"(1016, 1358, 1996, 2338)",yoav,0.9998,22.94,low_light,yoav,0.9964,107.88,-0.34,84.94
yoav_low_light (15).jpg,"(0, 0, 223, 224)",yoav,0.9924,10.64,low_light,yoav,0.9987,23.69,0.63,13.05
yoav_low_light (55).JPG,"(1099, 1242, 1981, 2124)",yoav,0.9974,21.95,low_light,yoav,0.9816,90.95,-1.58,69.00
yoav_low_light (39).JPG,"(884, 1247, 1746, 2109)",yoav,0.9990,14.51,low_light,yoav,0.9626,88.53,-3.64,74.03
yoav_low_light (79).jpg,"(0, 0, 222, 224)",yoav,0.9971,18.82,low_light,yoav,0.9984,26.22,0.13,7.40
yoav_low_light (85).jpg,"(0, 0, 223, 224)",yoav,0.9165,12.38,low_light,yoav,0.9950,19.20,7.86,6.82
yoav_low_light (20).JPG,"(1165, 1112, 1845, 1792)",yoav,0.9998,20.43,low_light,yoav,0.9978,62.43,-0.20,41.99
yoav_low_light (90).jpg,"(0, 3, 224, 224)",yoav,1.0000,18.80,low_light,yoav,0.9995,39.56,-0.04,20.76
yoav_low_light (31).JPG,"(805, 1296, 1831, 2322)",yoav,0.9995,23.51,low_light,yoav,0.9708,117.33,-2.87,93.82
yoav_low_light (33).JPG,"(868, 1286, 1572, 1990)",yoav,0.9997,20.44,low_light,yoav,0.9734,64.71,-2.63,44.27
yoav_low_light (57).JPG,"(968, 1302, 1760, 2094)",yoav,0.9813,21.41,low_light,yoav,0.8947,77.92,-8.67,56.50
yoav_low_light (72).JPG,"(953, 1095, 1835, 1977)",yoav,0.9989,22.11,low_light,yoav,0.9812,91.38,-1.77,69.27
yoav_low_light (27).JPG,"(1253, 1050, 2005, 1802)",yoav,0.9996,20.88,low_light,yoav,0.9915,71.74,-0.81,50.86
yoav_low_light (70).JPG,"(930, 1387, 1852, 2309)",yoav,1.0000,22.49,low_light,yoav,0.9968,98.33,-0.32,75.84
yoav_low_light (67).JPG,"(1108, 1313, 1908, 2113)",yoav,0.9984,13.69,low_light,yoav,0.9875,78.34,-1.09,64.65
yoav_low_light (80).jpg,"(0, 0, 223, 224)",yoav,0.8722,19.03,low_light,yoav,0.9984,26.84,12.63,7.80
yoav_low_light (78).jpg,"(0, 0, 222, 224)",yoav,0.9161,18.03,low_light,yoav,0.9986,26.02,8.26,7.99
