Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_low_res (79).jpg,"(0, 0, 224, 224)",omer,0.6074,17.47,low_res,omer,0.6773,187.62,6.99,170.15
omer_low_res (82).jpg,"(0, 0, 224, 224)",Unknown,0.4993,9.46,low_res,omer,0.6803,123.13,18.09,113.67
omer_low_res (78).jpg,"(0, 4, 224, 224)",omer,0.7783,18.08,low_res,omer,0.8099,131.50,3.16,113.42
omer_low_res (122).jpg,"(0, 0, 224, 224)",other,0.6613,10.99,low_res,Unknown,0.5289,123.39,-13.25,112.39
omer_low_res (137).jpg,"(0, 0, 224, 224)",other,0.9252,18.12,low_res,other,0.8949,130.32,-3.03,112.20
omer_low_res (83).jpg,"(0, 0, 224, 224)",Unknown,0.5659,18.22,low_res,Unknown,0.5367,130.73,-2.92,112.51
omer_low_res (81).jpg,"(0, 0, 224, 224)",omer,0.7909,18.23,low_res,omer,0.8524,130.77,6.15,112.54
omer_low_res (60).JPG,"(1557, 1868, 1627, 1938)",yoav,0.8502,17.66,low_res,omer,0.6486,27.75,-20.17,10.10
omer_low_res (7).JPG,"(1458, 1910, 1526, 1978)",omer,0.6771,17.61,low_res,omer,0.7109,27.53,3.38,9.93
omer_low_res (88).jpg,"(0, 0, 224, 224)",omer,0.9965,9.59,low_res,omer,0.9974,121.98,0.08,112.40
omer_low_res (158).JPG,"(1556, 1786, 1648, 1878)",Unknown,0.5111,17.74,low_res,Unknown,0.5322,36.05,2.11,18.30
omer_low_res (113).jpg,"(0, 0, 224, 224)",other,0.9591,18.18,low_res,other,0.9632,129.57,0.41,111.39
omer_low_res (133).jpg,"(0, 0, 224, 224)",other,0.9607,12.76,low_res,other,0.9549,120.67,-0.58,107.91
omer_low_res (28).JPG,"(1515, 1957, 1575, 2017)",Unknown,0.4488,17.57,low_res,omer,0.8263,25.18,37.75,7.61
omer_low_res (112).jpg,"(0, 0, 224, 224)",other,0.7585,9.99,low_res,other,0.7597,122.25,0.12,112.26
omer_low_res (5).JPG,"(1523, 1923, 1593, 1993)",Unknown,0.5989,17.59,low_res,omer,0.7480,28.32,14.90,10.73
omer_low_res (156).JPG,"(1346, 1980, 1436, 2070)",omer,0.6876,17.79,low_res,yoav,0.7084,34.12,2.08,16.33
omer_low_res (105).jpg,"(0, 0, 224, 224)",other,0.8432,10.95,low_res,other,0.7480,123.67,-9.52,112.72
omer_low_res (140).jpg,"(0, 0, 224, 224)",other,0.9433,9.57,low_res,other,0.9113,119.47,-3.21,109.90
omer_low_res (36).JPG,"(1649, 1870, 1709, 1930)",Unknown,0.4741,17.61,low_res,yoav,0.7770,25.29,30.29,7.68
omer_low_res (127).jpg,"(0, 5, 224, 224)",Unknown,0.5742,10.90,low_res,Unknown,0.5966,121.41,2.24,110.51
omer_low_res (131).jpg,"(2, 0, 224, 224)",other,0.8641,10.87,low_res,other,0.8123,120.55,-5.18,109.68
omer_low_res (123).jpg,"(0, 0, 224, 224)",other,0.8633,9.62,low_res,other,0.8456,120.52,-1.77,110.89
omer_low_res (84).jpg,"(0, 0, 224, 224)",omer,0.8387,17.37,low_res,omer,0.9056,128.39,6.70,111.02
