Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
16_56495.png,"(0, 0, 224, 224)",other,0.9562,11.22,motion_blur,yoav,0.6210,20.96,-33.51,9.74
75_04935.png,"(3, 13, 224, 224)",other,0.9987,11.78,motion_blur,other,0.6207,21.98,-37.81,10.20
56_38831.png,"(0, 0, 224, 224)",other,0.9998,11.01,low_res,other,0.9996,119.62,-0.02,108.60
14_11473.png,"(0, 0, 224, 224)",other,0.9995,13.50,low_res,other,0.9991,118.37,-0.04,104.86
10_67334.png,"(14, 20, 216, 222)",other,1.0000,10.00,motion_blur,other,0.9991,18.39,-0.09,8.39
59_12347.png,"(0, 0, 224, 224)",other,0.9990,9.22,low_res,other,0.9977,118.95,-0.13,109.73
1_27973.png,"(0, 0, 224, 224)",other,0.9997,9.25,low_res,other,0.9997,115.88,-0.01,106.64
1_27973.png,"(0, 0, 70, 81)",other,0.9616,13.83,low_res,Unknown,0.5998,25.98,-36.18,12.15
76_50845.png,"(6, 5, 224, 224)",other,0.9998,14.11,motion_blur,other,0.9927,25.55,-0.71,11.44
50_16406.png,"(0, 0, 224, 224)",other,1.0000,13.12,low_res,other,1.0000,120.96,-0.00,107.84
9_69603.png,"(0, 0, 224, 224)",other,0.9999,17.49,low_res,other,0.9998,127.29,-0.01,109.81
47_28380.png,"(0, 11, 220, 224)",other,0.9998,17.98,low_res,other,0.9999,121.15,0.00,103.17
71_04864.png,"(0, 7, 224, 224)",other,1.0000,18.03,low_res,other,1.0000,124.54,-0.00,106.50
65_47827.png,"(3, 6, 224, 224)",other,0.9999,10.40,low_res,other,0.9999,119.39,0.00,109.00
69_14639.png,"(4, 10, 222, 224)",other,1.0000,18.05,motion_blur,other,0.9982,31.81,-0.18,13.77
41_05971.png,"(2, 4, 224, 224)",other,1.0000,10.82,motion_blur,other,0.9981,21.64,-0.19,10.83
3_13111.png,"(0, 0, 224, 224)",other,0.9970,13.13,motion_blur,other,0.9963,24.17,-0.08,11.04
44_55541.png,"(0, 2, 224, 224)",other,1.0000,14.07,low_res,other,1.0000,124.56,-0.00,110.49
26_30972.png,"(22, 33, 204, 215)",other,0.9987,18.01,motion_blur,other,0.9960,31.34,-0.27,13.33
48_69956.png,"(0, 5, 213, 224)",other,0.9999,18.24,low_res,other,0.9998,125.41,-0.01,107.17
17_67182.png,"(0, 0, 224, 224)",other,0.9978,17.47,low_res,other,0.9954,128.20,-0.25,110.73
40_13629.png,"(0, 0, 224, 224)",other,1.0000,9.61,motion_blur,other,0.9950,18.83,-0.50,9.22
68_60012.png,"(0, 6, 220, 224)",other,0.9996,14.05,low_res,other,0.9992,119.73,-0.04,105.68
62_20165.png,"(10, 0, 224, 224)",other,1.0000,18.05,low_res,other,1.0000,124.02,-0.00,105.97
58_38140.png,"(0, 6, 224, 224)",other,0.9845,10.30,low_light,other,0.9894,23.64,0.49,13.34
42_04310.png,"(0, 1, 224, 224)",other,0.9889,14.06,low_res,other,0.9670,124.92,-2.19,110.86
46_44081.png,"(0, 0, 222, 224)",other,0.9989,10.36,motion_blur,other,0.9713,19.82,-2.76,9.46
21_49265.png,"(21, 16, 224, 224)",other,0.9981,13.25,low_res,other,0.9978,107.37,-0.03,94.12
78_59781.png,"(0, 2, 224, 224)",other,1.0000,10.29,low_res,other,1.0000,119.26,-0.00,108.97
8_20283.png,"(0, 3, 224, 224)",other,1.0000,17.96,motion_blur,other,0.9977,32.90,-0.23,14.93
29_06693.png,"(2, 5, 224, 224)",other,0.9974,10.88,low_res,other,0.9957,120.50,-0.17,109.62
25_05120.png,"(12, 3, 224, 224)",other,0.9920,18.11,low_res,other,0.9929,122.19,0.09,104.08
34_17127.png,"(16, 29, 224, 224)",other,1.0000,18.20,motion_blur,other,0.9982,32.15,-0.17,13.96
61_13432.png,"(0, 0, 224, 224)",other,0.9563,17.55,low_res,other,0.9306,130.65,-2.57,113.10
31_06280.png,"(9, 13, 224, 224)",other,0.9979,10.43,motion_blur,other,0.7970,20.07,-20.09,9.64
37_19807.png,"(0, 0, 224, 224)",other,1.0000,13.14,motion_blur,other,0.9930,24.26,-0.69,11.12
55_07811.png,"(4, 2, 224, 224)",other,0.9766,14.33,low_res,other,0.9695,129.15,-0.71,114.82
22_24756.png,"(2, 13, 224, 224)",other,0.9999,17.98,motion_blur,other,0.9933,31.42,-0.66,13.44
45_11394.png,"(0, 0, 224, 224)",other,0.9998,17.46,motion_blur,other,0.9826,31.37,-1.72,13.91
24_08596.png,"(0, 0, 224, 224)",other,1.0000,10.52,motion_blur,other,0.9962,20.47,-0.38,9.95
49_63678.png,"(0, 0, 224, 224)",other,0.9974,13.39,low_res,other,0.9946,123.99,-0.28,110.60
72_02426.png,"(0, 0, 224, 224)",other,0.9971,9.62,motion_blur,other,0.7967,18.87,-20.03,9.26
35_56242.png,"(0, 17, 207, 224)",other,0.9999,14.11,low_res,other,0.9999,107.31,-0.00,93.20
5_41887.png,"(0, 2, 221, 224)",other,0.9841,14.11,low_res,other,0.9771,124.87,-0.70,110.76
52_35980.png,"(0, 19, 215, 224)",other,0.9996,10.27,motion_blur,other,0.9979,20.26,-0.17,9.98
52_35980.png,"(112, 0, 224, 183)",other,0.9996,10.08,motion_blur,other,0.9892,17.57,-1.04,7.49
38_60135.png,"(2, 6, 224, 224)",other,0.9964,14.08,low_res,other,0.9934,117.90,-0.30,103.82
15_30644.png,"(6, 0, 224, 224)",other,0.9999,18.29,low_res,other,0.9998,125.98,-0.01,107.69
66_51998.png,"(0, 4, 224, 224)",other,0.9996,18.02,low_res,other,0.9994,128.02,-0.02,109.99
66_51998.png,"(0, 80, 93, 224)",other,1.0000,17.90,low_res,other,0.9998,37.19,-0.02,19.28
57_04546.png,"(0, 9, 212, 224)",other,0.9999,14.30,motion_blur,other,0.9850,25.39,-1.49,11.08
11_59189.png,"(0, 0, 224, 224)",other,0.9999,16.94,low_res,other,0.9997,127.45,-0.01,110.51
64_22110.png,"(0, 17, 224, 224)",other,0.9999,18.30,low_res,other,0.9998,121.33,-0.01,103.03
28_07153.png,"(0, 0, 224, 224)",other,0.9995,17.51,motion_blur,other,0.9967,31.40,-0.28,13.90
28_07153.png,"(0, 5, 115, 209)",other,1.0000,18.69,motion_blur,other,0.9990,31.80,-0.10,13.10
43_07511.png,"(0, 8, 217, 224)",other,0.9999,11.55,low_res,other,0.9997,114.55,-0.02,103.00
7_26335.png,"(0, 3, 224, 224)",other,0.9996,18.05,motion_blur,other,0.8641,33.16,-13.56,15.11
13_68181.png,"(0, 0, 224, 224)",other,0.9993,17.52,low_res,other,0.9994,132.01,0.01,114.49
33_57793.png,"(0, 0, 224, 224)",other,0.9825,9.57,low_res,other,0.9822,118.36,-0.03,108.78
67_05858.png,"(0, 2, 224, 224)",other,0.9999,18.01,motion_blur,other,0.9570,31.81,-4.29,13.80
53_41170.png,"(0, 0, 224, 224)",other,0.9999,17.51,motion_blur,other,0.9942,30.90,-0.56,13.39
79_37577.png,"(0, 0, 224, 224)",other,0.9981,10.51,low_res,other,0.9974,124.49,-0.07,113.98
70_64004.png,"(0, 25, 208, 224)",other,0.9998,10.34,motion_blur,other,0.9621,20.15,-3.77,9.80
27_08871.png,"(0, 0, 224, 224)",other,1.0000,13.38,motion_blur,other,0.9918,23.98,-0.82,10.60
