Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
yoav_low_res (53).JPG,"(1437, 2014, 1515, 2092)",yoav,0.8638,10.21,low_res,yoav,0.9636,23.34,9.99,13.13
yoav_low_res (34).jpg,"(0, 0, 224, 224)",other,0.7776,16.94,low_res,other,0.6501,124.10,-12.75,107.16
yoav_low_res (85).JPG,"(1585, 1930, 1669, 2014)",yoav,0.9841,17.71,low_res,yoav,0.9495,32.73,-3.47,15.02
yoav_low_res (65).JPG,"(1426, 1927, 1498, 1999)",yoav,0.9608,17.68,low_res,yoav,0.9691,28.65,0.82,10.97
yoav_low_res (9).jpg,"(0, 0, 224, 224)",other,0.7996,14.47,low_res,other,0.8148,121.65,1.52,107.18
yoav_low_res (13).jpg,"(0, 0, 224, 224)",yoav,0.9880,9.51,low_res,yoav,0.9943,121.79,0.62,112.27
yoav_low_res (33).jpg,"(0, 0, 224, 224)",yoav,0.6446,18.17,low_res,yoav,0.7191,127.62,7.46,109.45
yoav_low_res (73).JPG,"(1351, 1714, 1421, 1784)",yoav,0.9998,10.13,low_res,yoav,1.0000,20.76,0.01,10.63
yoav_low_res (83).JPG,"(1578, 1920, 1670, 2012)",yoav,0.9687,17.72,low_res,yoav,0.6583,35.82,-31.04,18.10
yoav_low_res (91).JPG,"(1520, 1902, 1606, 1988)",yoav,0.9997,17.75,low_res,yoav,0.9991,33.83,-0.07,16.08
yoav_low_res (88).JPG,"(1387, 1918, 1475, 2006)",yoav,0.8026,17.71,low_res,yoav,0.7446,34.73,-5.80,17.02
yoav_low_res (69).JPG,"(1560, 1749, 1638, 1827)",yoav,0.9964,17.71,low_res,yoav,0.9967,30.93,0.03,13.22
yoav_low_res (22).jpg,"(0, 0, 224, 224)",other,0.6672,18.62,low_res,Unknown,0.5115,130.61,-15.57,111.99
yoav_low_res (20).jpg,"(0, 0, 224, 224)",yoav,0.9289,17.51,low_res,yoav,0.9563,127.31,2.74,109.80
yoav_low_res (51).JPG,"(1502, 2024, 1576, 2098)",yoav,0.9913,17.64,low_res,yoav,0.9951,29.47,0.38,11.83
yoav_low_res (87).JPG,"(1503, 1926, 1593, 2016)",yoav,0.9867,17.70,low_res,yoav,0.9482,35.04,-3.84,17.33
yoav_low_res (7).jpg,"(0, 0, 224, 224)",yoav,0.9280,10.45,low_res,yoav,0.9483,122.51,2.03,112.06
yoav_low_res (70).JPG,"(1546, 1701, 1616, 1771)",yoav,0.9997,17.78,low_res,yoav,0.9991,28.05,-0.06,10.27
yoav_low_res (1).jpg,"(0, 3, 224, 224)",yoav,0.9965,18.07,low_res,yoav,0.9975,138.21,0.10,120.14
