Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_motion_blur (85).jpg,"(571, 29, 1145, 603)",omer,0.6095,20.48,motion_blur,omer,0.9019,52.82,29.23,32.34
omer_motion_blur (47).jpg,"(0, 0, 224, 224)",yoav,0.7932,10.83,motion_blur,Unknown,0.5426,20.14,-25.06,9.31
omer_motion_blur (71).jpg,"(0, 0, 224, 224)",Unknown,0.4693,13.30,motion_blur,omer,0.7890,30.08,31.96,16.78
omer_motion_blur (107).jpg,"(957, 1554, 1457, 2054)",yoav,0.9080,19.61,motion_blur,yoav,0.6408,43.32,-26.72,23.71
omer_motion_blur (77).jpg,"(981, 1570, 1383, 1972)",yoav,0.9659,18.78,motion_blur,yoav,0.8973,38.16,-6.85,19.38
omer_motion_blur (104).jpg,"(1076, 2012, 1706, 2642)",yoav,0.7931,20.01,motion_blur,omer,0.6518,51.49,-14.14,31.48
omer_motion_blur (114).jpg,"(824, 1110, 1580, 1866)",omer,0.9270,20.80,motion_blur,omer,0.9392,60.52,1.23,39.72
omer_motion_blur (81).jpg,"(762, 1499, 1198, 1935)",yoav,0.9429,19.04,motion_blur,yoav,0.9482,40.26,0.52,21.21
omer_motion_blur (75).jpg,"(744, 1596, 1310, 2162)",Unknown,0.5124,19.65,normal,Unknown,0.5124,39.43,0.00,19.79
omer_motion_blur (66).jpg,"(0, 0, 224, 224)",Unknown,0.3871,10.02,motion_blur,Unknown,0.5429,17.90,15.58,7.88
omer_motion_blur (25).jpg,"(2, 0, 224, 224)",omer,0.6027,14.18,motion_blur,omer,0.7748,28.78,17.21,14.60
omer_motion_blur (58).jpg,"(0, 0, 224, 224)",Unknown,0.4887,10.50,motion_blur,yoav,0.7257,20.20,23.70,9.69
omer_motion_blur (40).jpg,"(0, 0, 224, 224)",other,0.6136,11.54,motion_blur,Unknown,0.5706,24.11,-4.30,12.56
omer_motion_blur (62).jpg,"(0, 0, 224, 224)",Unknown,0.5780,13.38,motion_blur,Unknown,0.4944,24.47,-8.37,11.09
omer_motion_blur (61).jpg,"(0, 0, 224, 224)",yoav,0.7634,13.42,motion_blur,Unknown,0.5711,24.34,-19.22,10.92
omer_motion_blur (119).jpg,"(1028, 1924, 1420, 2316)",yoav,0.7425,14.61,motion_blur,yoav,0.7737,31.46,3.12,16.85
omer_motion_blur (82).jpg,"(285, 902, 761, 1378)",yoav,0.7846,19.07,normal,yoav,0.7846,36.13,0.00,17.07
omer_motion_blur (96).jpg,"(1322, 1946, 1892, 2516)",yoav,0.9656,19.76,motion_blur,yoav,0.9408,47.53,-2.48,27.77
omer_motion_blur (102).jpg,"(1594, 2153, 2232, 2791)",Unknown,0.5594,20.10,motion_blur,Unknown,0.5176,52.49,-4.18,32.39
