Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
16_56495.png,"(0, 0, 224, 224)",other,0.8856,17.47,motion_blur,other,0.6069,30.19,-27.87,12.72
75_04935.png,"(0, 9, 224, 224)",other,0.9967,18.17,motion_blur,other,0.9831,33.63,-1.36,15.46
56_38831.png,"(10, 6, 224, 224)",other,0.9987,18.26,motion_blur,other,0.9582,33.94,-4.05,15.68
14_11473.png,"(0, 0, 224, 224)",other,0.9999,10.55,motion_blur,other,0.9983,20.73,-0.16,10.18
10_67334.png,"(12, 15, 218, 221)",other,1.0000,14.15,motion_blur,other,1.0000,25.18,-0.00,11.03
59_12347.png,"(0, 0, 224, 224)",other,0.9457,13.16,motion_blur,other,0.8650,24.34,-8.07,11.18
1_27973.png,"(0, 0, 224, 224)",other,0.9722,13.12,motion_blur,other,0.9444,24.27,-2.78,11.15
76_50845.png,"(0, 2, 224, 224)",other,0.9989,14.19,motion_blur,other,0.9871,26.04,-1.18,11.84
50_16406.png,"(0, 0, 224, 224)",other,0.9985,13.11,motion_blur,other,0.9420,24.26,-5.65,11.16
9_69603.png,"(0, 5, 224, 224)",other,0.9999,10.18,motion_blur,other,0.9996,19.03,-0.04,8.86
47_28380.png,"(0, 9, 219, 224)",other,0.9906,12.00,motion_blur,other,0.8368,22.01,-15.38,10.02
71_04864.png,"(0, 8, 224, 224)",other,1.0000,11.75,motion_blur,other,0.9994,21.95,-0.05,10.20
65_47827.png,"(2, 3, 224, 224)",other,1.0000,11.77,motion_blur,other,0.9999,22.07,-0.00,10.30
69_14639.png,"(6, 9, 220, 223)",other,1.0000,11.76,motion_blur,other,0.9999,21.90,-0.01,10.14
41_05971.png,"(0, 0, 224, 224)",other,0.9963,11.20,motion_blur,other,0.9868,20.61,-0.95,9.41
3_13111.png,"(0, 0, 224, 224)",other,0.9885,10.96,motion_blur,other,0.9773,20.54,-1.12,9.59
44_55541.png,"(0, 0, 224, 224)",other,0.9997,10.94,motion_blur,other,0.9966,20.58,-0.31,9.64
26_30972.png,"(19, 31, 205, 217)",other,0.9696,11.68,motion_blur,other,0.8714,21.23,-9.82,9.54
48_69956.png,"(0, 7, 207, 224)",other,0.9991,11.76,motion_blur,other,0.9755,21.91,-2.36,10.14
17_67182.png,"(0, 5, 224, 224)",other,0.9687,11.79,motion_blur,other,0.9622,22.10,-0.65,10.31
40_13629.png,"(0, 0, 224, 224)",other,1.0000,11.20,motion_blur,other,1.0000,20.63,-0.00,9.42
68_60012.png,"(0, 0, 224, 224)",other,0.9967,10.94,motion_blur,other,0.9417,20.56,-5.50,9.62
62_20165.png,"(15, 14, 224, 224)",other,1.0000,11.76,motion_blur,other,1.0000,21.85,-0.00,10.09
58_38140.png,"(0, 9, 221, 224)",other,0.8651,11.78,motion_blur,other,0.7136,21.91,-15.15,10.14
42_04310.png,"(0, 0, 224, 224)",other,0.9450,10.99,motion_blur,other,0.8718,20.63,-7.32,9.64
46_44081.png,"(0, 0, 224, 224)",other,0.9997,10.92,motion_blur,other,0.9986,20.60,-0.11,9.68
21_49265.png,"(16, 8, 224, 224)",other,0.9957,10.83,motion_blur,other,0.9700,20.11,-2.57,9.27
78_59781.png,"(0, 1, 224, 224)",other,1.0000,10.89,motion_blur,other,0.9999,20.29,-0.00,9.40
8_20283.png,"(0, 1, 224, 224)",other,0.9935,10.87,motion_blur,other,0.9252,20.34,-6.83,9.46
29_06693.png,"(1, 6, 224, 224)",other,0.9983,10.78,motion_blur,other,0.9743,20.27,-2.40,9.49
25_05120.png,"(6, 0, 224, 224)",other,0.9955,10.81,motion_blur,other,0.9555,20.27,-4.00,9.46
34_17127.png,"(13, 26, 224, 224)",other,0.9843,10.88,motion_blur,other,0.9529,20.01,-3.14,9.13
61_13432.png,"(0, 0, 224, 224)",other,0.9987,10.04,motion_blur,other,0.9816,18.77,-1.72,8.73
31_06280.png,"(4, 0, 224, 224)",other,0.9611,10.82,motion_blur,other,0.9179,20.36,-4.32,9.54
37_19807.png,"(0, 0, 224, 224)",other,1.0000,10.09,motion_blur,other,1.0000,18.91,-0.00,8.82
55_07811.png,"(0, 0, 224, 224)",other,0.9919,10.05,motion_blur,other,0.9527,18.86,-3.93,8.81
22_24756.png,"(0, 13, 224, 224)",other,1.0000,10.73,motion_blur,other,0.9997,20.11,-0.03,9.38
45_11394.png,"(0, 0, 224, 224)",other,0.9995,10.06,motion_blur,other,0.9910,18.84,-0.85,8.78
24_08596.png,"(0, 0, 224, 224)",other,1.0000,10.06,motion_blur,other,1.0000,18.76,-0.00,8.71
49_63678.png,"(0, 0, 224, 224)",other,0.9655,10.07,motion_blur,other,0.6072,18.80,-35.83,8.73
49_63678.png,"(0, 0, 224, 224)",other,0.9655,9.74,motion_blur,other,0.6072,18.50,-35.83,8.76
72_02426.png,"(0, 0, 224, 224)",other,0.9917,10.01,motion_blur,other,0.9711,18.82,-2.05,8.81
35_56242.png,"(0, 8, 213, 224)",other,0.9964,10.80,motion_blur,other,0.8867,20.15,-10.98,9.36
5_41887.png,"(0, 0, 224, 224)",other,0.9833,10.06,motion_blur,other,0.9227,18.80,-6.06,8.74
52_35980.png,"(0, 20, 212, 224)",other,0.9962,10.77,motion_blur,other,0.9938,19.94,-0.24,9.17
52_35980.png,"(113, 0, 224, 174)",other,0.9958,10.40,motion_blur,other,0.9772,18.41,-1.86,8.01
38_60135.png,"(0, 3, 224, 224)",other,0.9973,10.83,motion_blur,other,0.9859,20.29,-1.14,9.45
15_30644.png,"(0, 0, 224, 224)",other,0.9995,10.09,motion_blur,other,0.9987,18.83,-0.08,8.74
66_51998.png,"(0, 0, 224, 224)",other,0.9973,10.06,motion_blur,other,0.9874,18.86,-0.99,8.80
57_04546.png,"(0, 10, 210, 224)",other,0.9998,10.91,motion_blur,other,0.9997,20.32,-0.02,9.41
11_59189.png,"(0, 0, 224, 224)",other,1.0000,10.11,motion_blur,other,1.0000,18.87,-0.00,8.76
64_22110.png,"(0, 7, 224, 224)",other,0.9705,10.76,motion_blur,other,0.9458,20.14,-2.48,9.38
28_07153.png,"(0, 0, 224, 224)",other,0.9998,10.09,motion_blur,other,0.9997,18.90,-0.02,8.81
28_07153.png,"(0, 6, 116, 210)",other,0.9999,10.50,motion_blur,other,0.9986,18.72,-0.14,8.22
43_07511.png,"(0, 0, 224, 224)",other,1.0000,10.09,motion_blur,other,0.9995,18.90,-0.05,8.81
7_26335.png,"(0, 6, 224, 224)",other,0.9997,10.79,motion_blur,other,0.9995,20.30,-0.02,9.51
13_68181.png,"(0, 0, 224, 224)",other,0.9999,10.04,motion_blur,other,0.9986,18.92,-0.12,8.88
33_57793.png,"(0, 0, 224, 224)",other,0.9067,10.10,motion_blur,other,0.6410,18.86,-26.57,8.75
67_05858.png,"(0, 0, 220, 224)",other,0.9999,10.81,motion_blur,other,0.9935,20.20,-0.64,9.39
53_41170.png,"(0, 0, 224, 224)",other,0.9873,10.01,motion_blur,other,0.9768,18.82,-1.05,8.80
79_37577.png,"(0, 0, 224, 224)",other,0.9975,10.07,motion_blur,other,0.9671,18.94,-3.04,8.87
70_64004.png,"(6, 28, 206, 224)",other,0.9997,10.77,motion_blur,other,0.9992,19.84,-0.05,9.07
27_08871.png,"(0, 0, 224, 224)",other,0.9998,10.08,motion_blur,other,0.9962,18.90,-0.36,8.82
36_23966.png,"(12, 22, 208, 218)",other,0.9989,11.47,motion_blur,other,0.9944,19.75,-0.45,8.27
77_58622.png,"(0, 0, 224, 224)",other,0.9998,10.08,motion_blur,other,0.9981,18.81,-0.17,8.73
73_48678.png,"(0, 4, 224, 224)",other,0.9997,10.81,motion_blur,other,0.9994,20.29,-0.02,9.49
60_17426.png,"(0, 17, 214, 224)",other,0.9981,10.79,motion_blur,other,0.9895,20.08,-0.86,9.29
12_48289.png,"(0, 0, 213, 224)",other,0.9989,10.82,motion_blur,other,0.9940,20.20,-0.48,9.39
0_34805.png,"(0, 0, 224, 224)",other,0.9999,10.08,motion_blur,other,0.9993,18.82,-0.07,8.74
