Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
yoav_motion_blur (47).jpg,"(0, 0, 224, 224)",yoav,0.9891,17.46,motion_blur,yoav,0.9983,31.12,0.92,13.66
yoav_motion_blur (122).jpg,"(752, 1631, 1158, 2037)",yoav,0.9929,18.73,motion_blur,yoav,0.9411,38.31,-5.19,19.59
yoav_motion_blur (32).jpg,"(0, 0, 224, 224)",yoav,0.7876,17.32,motion_blur,yoav,0.9752,32.42,18.76,15.10
yoav_motion_blur (52).jpg,"(0, 0, 224, 224)",yoav,0.8872,10.04,motion_blur,yoav,0.9851,19.80,9.80,9.76
yoav_motion_blur (61).jpg,"(0, 0, 224, 224)",yoav,0.8480,13.42,motion_blur,yoav,0.9952,24.02,14.72,10.60
yoav_motion_blur (142).jpg,"(399, 1603, 1009, 2213)",yoav,0.9999,20.00,motion_blur,yoav,1.0000,50.14,0.01,30.14
yoav_motion_blur (110).jpg,"(199, 2011, 849, 2661)",yoav,0.9945,20.30,motion_blur,yoav,0.9879,52.99,-0.66,32.69
yoav_motion_blur (27).jpg,"(0, 0, 224, 224)",yoav,0.6366,18.21,motion_blur,yoav,0.9683,33.25,33.16,15.05
yoav_motion_blur (56).jpg,"(0, 0, 224, 224)",Unknown,0.5697,17.43,low_light,yoav,0.7662,35.92,19.65,18.50
yoav_motion_blur (3).jpg,"(1085, 1574, 1493, 1982)",yoav,0.9974,18.80,motion_blur,yoav,0.9768,38.65,-2.07,19.85
yoav_motion_blur (135).jpg,"(697, 1789, 1263, 2355)",yoav,0.9898,19.64,motion_blur,yoav,0.9831,47.21,-0.67,27.57
yoav_motion_blur (80).jpg,"(1046, 1395, 1404, 1753)",yoav,0.9995,18.55,motion_blur,yoav,0.9987,36.17,-0.08,17.62
yoav_motion_blur (58).jpg,"(0, 0, 224, 224)",other,0.9305,18.12,motion_blur,other,0.6420,32.46,-28.85,14.34
yoav_motion_blur (60).jpg,"(0, 0, 224, 224)",yoav,0.8620,10.10,motion_blur,yoav,0.9131,19.85,5.11,9.75
yoav_motion_blur (117).jpg,"(930, 2189, 1326, 2585)",yoav,0.9957,18.74,motion_blur,yoav,0.9452,37.82,-5.05,19.08
yoav_motion_blur (26).jpg,"(800, 1309, 1160, 1669)",yoav,0.9996,18.55,motion_blur,yoav,0.9928,36.17,-0.68,17.62
yoav_motion_blur (19).jpg,"(780, 1077, 1302, 1599)",yoav,0.9998,19.43,motion_blur,yoav,0.9965,44.59,-0.33,25.16
yoav_motion_blur (73).jpg,"(0, 0, 224, 224)",other,0.6115,10.75,motion_blur,yoav,0.9137,19.04,30.22,8.29
