Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_normal (31).jpg,"(0, 0, 224, 224)",omer,0.9990,17.47,normal,omer,0.9990,28.94,0.00,11.47
omer_normal (58).JPG,"(732, 880, 2104, 2252)",omer,0.9999,27.24,normal,omer,0.9999,91.58,0.00,64.34
omer_normal (12).jpg,"(0, 0, 224, 224)",omer,0.9994,10.48,normal,omer,0.9994,17.32,0.00,6.84
omer_normal (22).jpg,"(0, 0, 224, 224)",omer,1.0000,9.95,normal,omer,1.0000,22.37,0.00,12.41
omer_normal (57).jpg,"(0, 0, 223, 224)",omer,0.9992,9.97,normal,omer,0.9992,17.22,0.00,7.24
omer_normal (1).JPG,"(1143, 1428, 2225, 2510)",omer,0.9988,24.08,normal,omer,0.9988,65.49,0.00,41.41
omer_normal (16).jpg,"(0, 0, 224, 224)",omer,0.9999,18.27,normal,omer,0.9999,31.40,0.00,13.13
omer_normal (69).JPG,"(947, 1387, 2191, 2631)",omer,1.0000,26.10,normal,omer,1.0000,77.94,0.00,51.84
omer_normal (76).JPG,"(975, 1738, 2109, 2872)",Unknown,0.5128,17.29,normal,Unknown,0.5128,64.72,0.00,47.44
omer_normal (88).JPG,"(1105, 1613, 2069, 2577)",omer,0.9809,16.13,normal,omer,0.9809,46.19,0.00,30.06
omer_normal (73).JPG,"(901, 1387, 2305, 2791)",omer,0.9998,20.92,normal,omer,0.9998,91.05,0.00,70.13
omer_normal (40).jpg,"(0, 0, 224, 224)",omer,1.0000,10.97,normal,omer,1.0000,17.24,0.00,6.27
omer_normal (85).JPG,"(1240, 1532, 2312, 2604)",omer,0.9950,23.84,normal,omer,0.9950,64.32,0.00,40.47
omer_normal (27).jpg,"(0, 0, 224, 224)",omer,1.0000,11.02,normal,omer,1.0000,17.27,0.00,6.25
omer_normal (71).JPG,"(1103, 1321, 2399, 2617)",omer,1.0000,26.49,normal,omer,1.0000,80.38,0.00,53.89
omer_normal (4).JPG,"(980, 1373, 2198, 2591)",omer,0.9993,25.43,normal,omer,0.9993,74.69,0.00,49.27
omer_normal (7).JPG,"(904, 1398, 2092, 2586)",omer,0.9975,25.29,normal,omer,0.9975,72.70,0.00,47.42
omer_normal (63).JPG,"(699, 1242, 2045, 2588)",omer,0.9984,20.16,normal,omer,0.9984,85.11,0.00,64.95
omer_normal (38).jpg,"(0, 0, 224, 224)",omer,1.0000,18.60,normal,omer,1.0000,30.17,0.00,11.57
omer_normal (15).jpg,"(0, 0, 224, 224)",omer,0.9999,11.62,normal,omer,0.9999,18.74,0.00,7.11
omer_normal (96).JPG,"(997, 1392, 2131, 2526)",omer,1.0000,24.50,normal,omer,1.0000,68.63,0.00,44.13
omer_normal (9).jpg,"(0, 0, 224, 224)",omer,0.9998,18.12,normal,omer,0.9998,32.20,0.00,14.08
omer_normal (94).JPG,"(1468, 1650, 2498, 2680)",omer,0.7850,16.15,low_light,omer,0.9135,89.52,12.85,73.38
omer_normal (60).JPG,"(938, 1178, 2170, 2410)",omer,0.9996,24.48,normal,omer,0.9996,73.75,0.00,49.27
omer_normal (35).jpg,"(0, 0, 224, 224)",omer,0.9998,18.02,normal,omer,0.9998,31.47,0.00,13.45
omer_normal (79).JPG,"(763, 915, 2217, 2369)",omer,0.9999,28.98,normal,omer,0.9999,95.90,0.00,66.93
omer_normal (5).JPG,"(1088, 1370, 2286, 2568)",omer,0.9993,25.39,normal,omer,0.9993,73.32,0.00,47.93
omer_normal (37).jpg,"(0, 0, 224, 224)",omer,0.9999,18.20,normal,omer,0.9999,31.96,0.00,13.76
omer_normal (6).JPG,"(907, 1505, 2135, 2733)",omer,0.9982,25.71,normal,omer,0.9982,76.06,0.00,50.35
omer_normal (14).jpg,"(0, 0, 224, 224)",omer,0.9995,17.89,normal,omer,0.9995,31.65,0.00,13.75
omer_normal (21).jpg,"(0, 0, 224, 224)",omer,0.9999,18.69,normal,omer,0.9999,34.19,0.00,15.51
omer_normal (65).JPG,"(917, 1236, 2237, 2556)",omer,0.9994,26.80,normal,omer,0.9994,83.06,0.00,56.26
omer_normal (84).JPG,"(1184, 1490, 2288, 2594)",omer,0.9992,24.16,normal,omer,0.9992,66.51,0.00,42.35
omer_normal (91).JPG,"(1285, 1366, 2637, 2718)",omer,0.9999,27.24,normal,omer,0.9999,85.89,0.00,58.65
omer_normal (11).jpg,"(0, 0, 224, 224)",omer,0.9987,10.68,normal,omer,0.9987,17.24,0.00,6.56
omer_normal (48).jpg,"(0, 0, 224, 224)",omer,1.0000,17.36,normal,omer,1.0000,28.38,0.00,11.03
omer_normal (47).jpg,"(0, 0, 224, 224)",omer,0.9999,11.59,normal,omer,0.9999,17.47,0.00,5.88
omer_normal (87).JPG,"(1012, 1670, 1958, 2616)",omer,0.9889,22.75,normal,omer,0.9889,57.17,0.00,34.41
omer_normal (74).JPG,"(963, 1774, 2083, 2894)",yoav,0.6659,13.16,normal,yoav,0.6659,48.34,0.00,35.19
omer_normal (49).jpg,"(0, 0, 224, 224)",omer,0.9997,17.30,normal,omer,0.9997,28.93,0.00,11.64
omer_normal (29).jpg,"(0, 0, 224, 224)",omer,0.9999,17.64,normal,omer,0.9999,34.21,0.00,16.57
