Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
16_56495.png,"(0, 0, 224, 224)",other,0.8930,11.20,low_light,other,0.9141,21.35,2.12,10.15
75_04935.png,"(3, 14, 224, 224)",other,0.9246,11.78,low_light,other,0.9363,24.96,1.17,13.18
56_38831.png,"(16, 9, 224, 224)",other,0.9995,11.81,motion_blur,other,0.9987,21.90,-0.08,10.09
14_11473.png,"(0, 0, 224, 224)",other,0.9997,11.44,low_light,other,0.9946,24.37,-0.51,12.94
10_67334.png,"(11, 14, 221, 224)",other,0.9999,11.77,low_light,other,0.9997,22.16,-0.03,10.39
59_12347.png,"(0, 12, 221, 224)",other,0.9723,11.75,normal,other,0.9723,20.51,0.00,8.76
1_27973.png,"(0, 0, 68, 82)",other,0.9869,11.49,low_res,other,0.9655,23.66,-2.14,12.17
1_27973.png,"(0, 6, 224, 224)",other,0.9939,11.79,low_light,other,0.8650,24.94,-12.90,13.16
76_50845.png,"(9, 2, 224, 224)",other,0.9997,11.84,low_light,other,0.9994,22.42,-0.02,10.57
50_16406.png,"(0, 0, 224, 224)",other,0.9985,10.99,low_light,other,0.9981,21.12,-0.03,10.13
9_69603.png,"(0, 4, 224, 224)",other,0.9999,11.79,normal,other,0.9999,20.62,0.00,8.83
47_28380.png,"(0, 9, 219, 224)",other,0.9992,11.81,low_light,other,0.9845,24.83,-1.47,13.02
71_04864.png,"(0, 10, 224, 224)",other,0.9997,11.81,low_light,other,0.9991,22.48,-0.06,10.67
65_47827.png,"(1, 4, 224, 224)",other,1.0000,11.79,motion_blur,other,0.9999,22.06,-0.01,10.28
69_14639.png,"(2, 7, 224, 224)",other,1.0000,11.75,low_light,other,0.9998,22.42,-0.02,10.67
41_05971.png,"(5, 10, 224, 224)",other,0.9998,11.87,low_light,other,0.9999,22.49,0.00,10.62
3_13111.png,"(0, 0, 224, 224)",other,0.9807,11.22,low_light,other,0.7502,24.34,-23.04,13.12
44_55541.png,"(0, 2, 224, 224)",other,1.0000,11.85,normal,other,1.0000,20.63,0.00,8.78
26_30972.png,"(19, 31, 205, 217)",other,0.9937,11.69,motion_blur,other,0.9869,21.39,-0.68,9.70
48_69956.png,"(0, 6, 211, 224)",other,1.0000,11.90,low_light,other,0.9999,22.41,-0.00,10.51
17_67182.png,"(0, 1, 224, 224)",other,0.9950,11.78,low_light,other,0.9948,22.48,-0.02,10.71
40_13629.png,"(0, 0, 224, 224)",other,0.9998,11.19,low_light,other,0.9975,23.58,-0.23,12.39
68_60012.png,"(0, 6, 223, 224)",other,0.9753,11.74,motion_blur,other,0.9584,22.03,-1.69,10.29
62_20165.png,"(10, 7, 224, 224)",other,1.0000,11.82,normal,other,1.0000,20.66,0.00,8.84
58_38140.png,"(0, 10, 222, 224)",other,0.7890,11.79,low_light,omer,0.8744,25.65,8.54,13.86
42_04310.png,"(0, 0, 224, 224)",other,0.8179,11.13,normal,other,0.8179,19.02,0.00,7.89
46_44081.png,"(0, 0, 221, 224)",other,0.9894,11.78,normal,other,0.9894,20.66,0.00,8.88
21_49265.png,"(25, 24, 224, 224)",other,0.9971,11.75,low_light,other,0.9785,24.85,-1.86,13.10
78_59781.png,"(0, 2, 224, 224)",other,1.0000,11.81,low_light,other,1.0000,22.42,-0.00,10.61
8_20283.png,"(0, 4, 224, 224)",other,0.9938,11.94,low_light,other,0.9929,22.67,-0.09,10.73
29_06693.png,"(2, 9, 224, 224)",other,0.9986,11.75,low_light,other,0.9975,22.38,-0.11,10.63
25_05120.png,"(10, 6, 224, 224)",other,0.9971,11.75,low_light,other,0.9903,22.46,-0.68,10.71
34_17127.png,"(9, 23, 224, 224)",other,0.9963,11.73,low_light,other,0.9905,22.06,-0.58,10.34
61_13432.png,"(0, 0, 224, 224)",other,0.9924,11.19,low_light,other,0.9932,21.27,0.08,10.08
31_06280.png,"(13, 15, 224, 224)",other,0.9596,11.82,low_light,other,0.9569,22.30,-0.26,10.48
37_19807.png,"(0, 0, 224, 224)",other,0.9937,11.11,normal,other,0.9937,19.10,0.00,7.98
55_07811.png,"(5, 8, 224, 224)",other,0.9940,11.88,motion_blur,other,0.9809,21.99,-1.31,10.11
22_24756.png,"(0, 12, 224, 224)",other,0.9999,11.88,low_light,other,0.9961,24.91,-0.38,13.03
45_11394.png,"(0, 0, 224, 224)",other,0.9938,11.22,normal,other,0.9938,19.18,0.00,7.96
24_08596.png,"(0, 1, 224, 224)",other,1.0000,11.84,normal,other,1.0000,20.78,0.00,8.94
49_63678.png,"(0, 0, 224, 224)",other,0.9924,11.10,normal,other,0.9924,19.35,0.00,8.25
72_02426.png,"(0, 0, 224, 224)",other,0.9971,11.09,normal,other,0.9971,19.05,0.00,7.96
35_56242.png,"(0, 13, 208, 224)",other,0.9996,11.77,low_light,other,0.9993,20.63,-0.03,8.86
5_41887.png,"(0, 11, 218, 224)",other,0.9433,10.85,low_light,other,0.9245,23.28,-1.88,12.43
52_35980.png,"(0, 16, 215, 224)",other,0.9598,10.89,low_light,other,0.8705,20.69,-8.94,9.80
52_35980.png,"(109, 0, 224, 183)",other,0.9986,10.57,motion_blur,other,0.9984,18.76,-0.02,8.19
38_60135.png,"(0, 6, 224, 224)",other,0.9851,10.93,low_light,other,0.9060,23.38,-7.91,12.46
15_30644.png,"(6, 0, 224, 224)",other,0.9999,11.07,low_light,other,0.9974,23.25,-0.25,12.18
66_51998.png,"(0, 7, 224, 224)",other,0.9991,11.05,normal,other,0.9991,18.87,0.00,7.82
66_51998.png,"(191, 94, 224, 142)",other,0.9989,10.32,low_res,other,0.9928,14.39,-0.61,4.07
66_51998.png,"(0, 85, 91, 224)",other,0.9991,10.23,low_res,other,0.9996,37.86,0.04,27.64
57_04546.png,"(0, 8, 212, 224)",other,0.9996,10.94,motion_blur,other,0.9990,20.40,-0.06,9.46
11_59189.png,"(0, 0, 224, 224)",other,0.9998,10.07,normal,other,0.9998,17.31,0.00,7.24
64_22110.png,"(0, 12, 224, 224)",other,0.9934,10.87,normal,other,0.9934,18.84,0.00,7.97
28_07153.png,"(0, 0, 224, 224)",other,0.9998,10.08,low_light,other,0.9917,21.76,-0.81,11.68
28_07153.png,"(0, 4, 116, 208)",other,0.9998,10.49,motion_blur,other,0.9985,18.81,-0.14,8.32
43_07511.png,"(0, 7, 216, 224)",other,0.9999,10.83,low_light,other,0.9991,24.02,-0.08,13.19
7_26335.png,"(0, 0, 224, 224)",other,0.9810,10.11,low_light,other,0.9639,19.16,-1.71,9.05
13_68181.png,"(6, 8, 224, 224)",other,1.0000,10.84,normal,other,1.0000,18.72,0.00,7.88
33_57793.png,"(0, 1, 224, 224)",other,0.9556,10.82,low_light,other,0.8878,23.20,-6.78,12.38
67_05858.png,"(1, 37, 205, 224)",other,0.9882,10.79,low_light,other,0.9730,20.11,-1.52,9.32
53_41170.png,"(0, 0, 224, 224)",other,0.9995,10.06,low_light,other,0.9986,19.18,-0.09,9.12
79_37577.png,"(0, 0, 224, 224)",other,0.9896,10.07,normal,other,0.9896,17.29,0.00,7.23
70_64004.png,"(0, 19, 213, 224)",other,0.9990,10.76,low_light,other,0.9988,20.45,-0.02,9.69
27_08871.png,"(0, 3, 224, 224)",other,1.0000,10.78,low_light,other,1.0000,20.70,0.00,9.91
36_23966.png,"(11, 24, 207, 220)",other,0.9997,10.72,low_light,other,0.9994,19.95,-0.03,9.23
77_58622.png,"(0, 0, 224, 224)",other,0.9989,10.05,normal,other,0.9989,17.29,0.00,7.24
73_48678.png,"(3, 8, 224, 224)",other,0.9963,10.82,low_light,other,0.9944,20.61,-0.19,9.79
60_17426.png,"(0, 8, 222, 224)",other,0.9360,10.75,low_light,other,0.7962,23.04,-13.98,12.29
12_48289.png,"(0, 2, 214, 224)",other,0.9957,10.87,low_light,other,0.9957,20.55,-0.00,9.68
0_34805.png,"(0, 0, 224, 224)",other,0.9999,10.03,normal,other,0.9999,17.33,0.00,7.30
51_49202.png,"(11, 12, 224, 224)",other,0.9972,10.80,normal,other,0.9972,18.59,0.00,7.78
2_28481.png,"(0, 6, 224, 224)",other,0.9999,10.77,low_light,other,0.9954,23.94,-0.45,13.16
4_19702.png,"(0, 5, 224, 224)",other,0.9996,10.78,normal,other,0.9996,18.63,0.00,7.85
20_40764.png,"(0, 0, 224, 224)",other,0.9742,10.08,normal,other,0.9742,17.33,0.00,7.25
20_40764.png,"(27, 150, 43, 166)",other,0.9993,9.99,low_res,other,0.9975,11.24,-0.19,1.26
54_40269.png,"(0, 14, 224, 224)",other,0.9997,10.67,low_light,other,0.9990,20.55,-0.08,9.88
32_10534.png,"(5, 12, 224, 224)",other,1.0000,10.82,low_light,other,1.0000,20.50,-0.00,9.67
39_29318.png,"(0, 0, 224, 224)",other,0.9363,10.04,normal,other,0.9363,17.20,0.00,7.16
30_22179.png,"(0, 3, 224, 224)",other,0.9986,10.79,low_light,other,0.9630,23.07,-3.56,12.28
74_29753.png,"(0, 8, 224, 224)",other,0.9803,10.68,low_light,other,0.9189,23.80,-6.13,13.12
23_07037.png,"(0, 0, 224, 224)",other,0.8868,10.08,normal,other,0.8868,17.32,0.00,7.24
6_65796.png,"(0, 0, 224, 224)",other,0.9999,10.09,normal,other,0.9999,17.28,0.00,7.18
18_04978.png,"(7, 22, 213, 224)",other,0.8979,10.72,low_light,other,0.9197,20.22,2.17,9.50
19_15563.png,"(1, 20, 223, 224)",other,0.9993,10.94,low_light,other,0.9975,20.61,-0.18,9.67
63_39772.png,"(0, 0, 221, 224)",other,0.9601,10.85,low_light,other,0.9638,20.78,0.37,9.93


--- SUMMARY STATISTICS ---,
Metric,Value
Total Faces Processed,86
Basic Pipeline Accuracy,100.00%
Gated Pipeline Accuracy,98.84%
Net Accuracy Change,-1.16%
Average Time Basic (ms),11.10
Average Time Gated (ms),21.17
Time Cost of Gate (ms),10.07
Flips: Bad to Good (Fixed),0
Flips: Good to Bad (Ruined),1
Avg Conf Change (Both Correct),-1.15%
Avg Conf Change (Both Wrong),+0.00%
