Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_low_light (110).jpg,"(0, 0, 224, 224)",yoav,0.8900,86.01,low_light,yoav,0.8785,212.51,-1.15,126.50
omer_low_light (115).jpg,"(0, 0, 224, 224)",omer,0.6331,9.52,low_light,omer,0.9762,21.94,34.32,12.42
omer_low_light (75).JPG,"(1246, 1113, 2118, 1985)",yoav,0.9564,22.20,low_light,omer,0.9057,96.86,-5.08,74.66
omer_low_light (12).JPG,"(1072, 1289, 1972, 2189)",omer,0.7764,22.24,low_light,omer,0.9997,97.87,22.33,75.63
omer_low_light (87).JPG,"(1133, 1528, 1989, 2384)",Unknown,0.5709,14.32,low_light,omer,0.9998,87.32,42.89,73.00
omer_low_light (65).JPG,"(1378, 1727, 2048, 2397)",yoav,0.9767,20.38,low_light,yoav,0.6118,61.44,-36.49,41.07
omer_low_light (133).jpg,"(0, 0, 224, 224)",omer,0.9068,17.97,low_light,omer,0.9580,39.71,5.12,21.74
omer_low_light (96).jpg,"(0, 0, 224, 224)",other,0.9445,11.10,low_light,other,0.8094,25.21,-13.50,14.11
omer_low_light (51).JPG,"(1357, 1786, 1703, 2132)",yoav,0.9961,18.57,low_light,yoav,0.6448,30.47,-35.13,11.90
omer_low_light (47).JPG,"(1475, 1700, 1851, 2076)",yoav,0.9300,18.64,low_light,yoav,0.6478,33.08,-28.23,14.44
omer_low_light (114).jpg,"(0, 0, 224, 224)",omer,0.8242,11.35,low_light,omer,0.8476,23.88,2.34,12.54
omer_low_light (62).JPG,"(1370, 1884, 1852, 2366)",yoav,0.8065,19.21,low_light,omer,0.8995,41.69,9.30,22.48
omer_low_light (93).JPG,"(1358, 1591, 2110, 2343)",yoav,0.9751,20.91,low_light,omer,0.9967,74.44,2.15,53.53
omer_low_light (29).JPG,"(1322, 1646, 1854, 2178)",yoav,0.9768,19.33,low_light,omer,0.9945,46.16,1.77,26.83
omer_low_light (113).jpg,"(0, 0, 224, 224)",Unknown,0.3954,9.54,low_light,omer,0.6158,33.58,22.03,24.04
omer_low_light (105).jpg,"(0, 0, 224, 224)",Unknown,0.4726,18.07,low_light,omer,0.6631,39.67,19.04,21.60
omer_low_light (11).JPG,"(979, 1151, 2075, 2247)",omer,0.9981,16.89,low_light,omer,0.9996,165.88,0.16,148.99
omer_low_light (35).JPG,"(1394, 1602, 1804, 2012)",yoav,0.9632,18.86,low_light,omer,0.7800,37.79,-18.32,18.93
omer_low_light (26).JPG,"(1576, 1621, 2120, 2165)",yoav,0.7679,11.83,low_light,omer,0.9936,40.73,22.57,28.90
omer_low_light (138).jpg,"(0, 0, 224, 224)",Unknown,0.5992,17.41,low_light,other,0.6207,36.52,2.15,19.11
omer_low_light (14).JPG,"(1428, 1649, 1848, 2069)",yoav,0.8793,11.09,low_light,omer,0.9149,28.10,3.55,17.00
omer_low_light (46).JPG,"(1447, 1718, 1825, 2096)",yoav,0.9813,18.54,low_light,omer,0.7710,32.63,-21.04,14.09
omer_low_light (27).JPG,"(1644, 1586, 2204, 2146)",yoav,0.8955,19.12,low_light,omer,0.9712,48.51,7.56,29.40
omer_low_light (61).JPG,"(1396, 1798, 1804, 2206)",yoav,0.9890,18.80,low_light,Unknown,0.5517,35.44,-43.73,16.64
omer_low_light (137).jpg,"(0, 0, 224, 224)",Unknown,0.5749,18.47,low_light,Unknown,0.5952,35.98,2.03,17.50
omer_low_light (88).JPG,"(1143, 1642, 1979, 2478)",yoav,0.6870,21.69,low_light,omer,0.9999,88.56,31.29,66.88
omer_low_light (59).JPG,"(1383, 1423, 1777, 1817)",yoav,0.8480,18.68,low_light,Unknown,0.5810,34.04,-26.70,15.36
omer_low_light (80).JPG,"(1295, 1395, 2147, 2247)",yoav,0.9916,21.79,low_light,omer,0.9442,87.18,-4.73,65.38
omer_low_light (23).JPG,"(1335, 1476, 1855, 1996)",yoav,0.9759,11.81,low_light,omer,0.9872,37.19,1.13,25.37
omer_low_light (37).JPG,"(1036, 1604, 1536, 2104)",yoav,0.7713,19.44,low_light,omer,0.9982,42.55,22.69,23.12
omer_low_light (49).JPG,"(1339, 1746, 1681, 2088)",yoav,0.9392,10.90,low_light,yoav,0.8064,22.42,-13.28,11.52
omer_low_light (109).jpg,"(0, 0, 224, 224)",Unknown,0.5734,16.89,low_light,Unknown,0.4725,33.29,-10.09,16.40
omer_low_light (60).JPG,"(1356, 1589, 1764, 1997)",Unknown,0.5790,11.09,low_light,omer,0.9511,27.46,37.22,16.36
omer_low_light (36).JPG,"(1169, 1579, 1633, 2043)",yoav,0.9466,19.11,low_light,omer,0.9233,39.19,-2.33,20.08
omer_low_light (54).JPG,"(1239, 1717, 1599, 2077)",yoav,0.9548,18.71,low_light,omer,0.8145,31.27,-14.03,12.55
omer_low_light (68).JPG,"(1223, 1753, 1931, 2461)",yoav,0.9003,13.14,low_light,omer,0.9645,65.18,6.41,52.04
omer_low_light (112).jpg,"(0, 0, 224, 224)",Unknown,0.5550,10.73,low_light,omer,0.9987,26.42,44.37,15.69
omer_low_light (130).jpg,"(0, 0, 224, 224)",omer,0.7666,10.73,low_light,Unknown,0.5669,22.88,-19.97,12.15
omer_low_light (48).JPG,"(1443, 1742, 1809, 2108)",yoav,0.9908,11.07,low_light,yoav,0.6822,24.23,-30.86,13.16
omer_low_light (53).JPG,"(1406, 1765, 1766, 2125)",yoav,0.9197,18.55,low_light,omer,0.7718,31.61,-14.79,13.06
omer_low_light (70).JPG,"(1165, 1416, 1835, 2086)",yoav,0.9815,20.47,low_light,omer,0.7754,61.66,-20.61,41.19
omer_low_light (44).JPG,"(1416, 1935, 1836, 2355)",yoav,0.9861,11.12,low_light,yoav,0.9843,28.39,-0.18,17.27
omer_low_light (82).JPG,"(1170, 1296, 2056, 2182)",yoav,0.8934,22.06,low_light,omer,0.9545,92.86,6.11,70.80
omer_low_light (90).JPG,"(1384, 1574, 2118, 2308)",yoav,0.9457,20.85,low_light,omer,0.9516,70.06,0.59,49.21
omer_low_light (107).jpg,"(0, 0, 224, 224)",other,0.7985,10.75,low_light,Unknown,0.5778,24.74,-22.07,13.99
omer_low_light (45).JPG,"(1497, 1861, 1897, 2261)",yoav,0.9544,18.76,low_light,omer,0.9651,34.19,1.07,15.43
omer_low_light (129).jpg,"(0, 0, 224, 224)",other,0.6775,18.17,low_light,yoav,0.6993,37.88,2.18,19.71
omer_low_light (58).JPG,"(1370, 1415, 1764, 1809)",yoav,0.9804,19.13,low_light,Unknown,0.5833,33.99,-39.70,14.86
omer_low_light (91).JPG,"(1232, 1648, 1960, 2376)",yoav,0.8919,20.43,low_light,omer,0.9197,71.61,2.78,51.18
omer_low_light (34).JPG,"(1480, 1638, 1872, 2030)",yoav,0.9346,18.62,low_light,omer,0.8726,33.89,-6.20,15.27
omer_low_light (69).JPG,"(1181, 1282, 1897, 1998)",yoav,0.8690,20.73,low_light,Unknown,0.5713,67.38,-29.77,46.65
omer_low_light (81).JPG,"(1315, 1390, 2165, 2240)",yoav,0.9900,21.82,low_light,omer,0.9351,90.07,-5.50,68.24
omer_low_light (43).JPG,"(1460, 1888, 1902, 2330)",yoav,0.9904,19.01,low_light,omer,0.9412,37.92,-4.92,18.91
omer_low_light (89).JPG,"(1207, 1590, 2033, 2416)",yoav,0.9504,21.51,low_light,omer,0.9982,82.69,4.78,61.18
omer_low_light (134).jpg,"(0, 0, 224, 224)",omer,0.7537,17.54,low_light,omer,0.8249,40.84,7.12,23.30
omer_low_light (132).jpg,"(0, 0, 224, 224)",omer,0.9127,9.93,low_light,omer,0.9874,24.32,7.47,14.39
omer_low_light (125).jpg,"(0, 0, 224, 224)",Unknown,0.4753,13.08,low_light,Unknown,0.4688,28.28,-0.65,15.21
omer_low_light (24).JPG,"(1468, 1603, 1952, 2087)",yoav,0.9946,19.27,low_light,Unknown,0.5601,42.54,-43.45,23.27
omer_low_light (128).jpg,"(0, 0, 224, 224)",omer,0.8721,10.48,low_light,omer,0.9368,22.78,6.47,12.31
omer_low_light (78).JPG,"(1058, 1101, 2050, 2093)",yoav,0.6943,22.88,low_light,omer,0.9886,116.58,29.43,93.70
omer_low_light (99).jpg,"(0, 0, 224, 224)",omer,0.7483,18.06,low_light,omer,0.7343,42.45,-1.40,24.39
omer_low_light (72).JPG,"(1022, 1388, 1874, 2240)",yoav,0.9828,21.85,low_light,yoav,0.8848,94.05,-9.80,72.20
omer_low_light (42).JPG,"(1522, 1766, 2010, 2254)",yoav,0.9923,19.20,low_light,omer,0.6396,41.52,-35.26,22.32
omer_low_light (20).JPG,"(1157, 1378, 1651, 1872)",yoav,0.9629,19.20,low_light,omer,0.9877,42.50,2.48,23.30
omer_low_light (30).JPG,"(1300, 1657, 1794, 2151)",yoav,0.8324,19.41,low_light,omer,0.9830,42.22,15.06,22.81
omer_low_light (117).jpg,"(0, 0, 224, 224)",other,0.7000,10.99,low_light,omer,0.8688,23.06,16.89,12.06
omer_low_light (21).JPG,"(1197, 1382, 1693, 1878)",yoav,0.9228,19.20,low_light,omer,0.9470,42.00,2.42,22.79
omer_low_light (73).JPG,"(837, 1470, 1689, 2322)",yoav,0.7911,14.43,low_light,omer,0.8661,86.34,7.50,71.91
omer_low_light (76).JPG,"(1197, 1538, 2017, 2358)",Unknown,0.5429,21.48,low_light,omer,0.9978,81.99,45.49,60.51
omer_low_light (136).jpg,"(0, 0, 224, 224)",other,0.8738,17.54,low_light,other,0.8957,41.52,2.19,23.98
omer_low_light (108).jpg,"(0, 0, 224, 224)",other,0.8941,11.44,low_light,yoav,0.6605,24.80,-23.36,13.36
omer_low_light (127).jpg,"(0, 0, 224, 224)",omer,0.7867,12.87,low_light,omer,0.8324,28.50,4.57,15.63
omer_low_light (106).jpg,"(0, 0, 224, 224)",other,0.6427,18.20,low_light,omer,0.9115,36.68,26.88,18.48
omer_low_light (25).JPG,"(1448, 1623, 1952, 2127)",yoav,0.6160,19.07,low_light,omer,0.9756,43.69,35.96,24.62
omer_low_light (111).jpg,"(0, 0, 224, 224)",Unknown,0.5057,10.30,low_light,omer,0.6903,24.40,18.46,14.09
omer_low_light (101).jpg,"(0, 0, 224, 224)",omer,0.9002,13.77,low_light,omer,0.9142,27.85,1.40,14.08
omer_low_light (119).jpg,"(0, 0, 224, 224)",omer,0.6299,13.13,low_light,omer,0.8790,28.04,24.91,14.91
omer_low_light (38).JPG,"(1211, 1650, 1699, 2138)",yoav,0.9611,19.37,low_light,yoav,0.6894,41.54,-27.17,22.17
omer_low_light (66).JPG,"(1307, 1773, 2035, 2501)",yoav,0.8627,12.93,low_light,yoav,0.8435,70.83,-1.92,57.90
omer_low_light (55).JPG,"(1225, 1701, 1583, 2059)",yoav,0.6840,18.66,low_light,yoav,0.8774,31.20,19.34,12.54
omer_low_light (67).JPG,"(1242, 1735, 1960, 2453)",yoav,0.7548,13.16,low_light,omer,0.6189,67.85,-13.59,54.69
omer_low_light (86).JPG,"(1109, 1497, 1997, 2385)",yoav,0.8260,22.13,low_light,omer,0.9998,95.45,17.38,73.32
omer_low_light (77).JPG,"(1134, 1448, 1964, 2278)",yoav,0.8757,21.60,low_light,omer,0.9490,83.11,7.33,61.51
omer_low_light (74).JPG,"(911, 1262, 1751, 2102)",yoav,0.9258,21.34,low_light,yoav,0.7258,84.02,-20.00,62.67
omer_low_light (120).jpg,"(0, 0, 224, 224)",Unknown,0.4848,10.40,low_light,yoav,0.6626,26.80,17.77,16.40
omer_low_light (52).JPG,"(1282, 1759, 1644, 2121)",yoav,0.9408,10.92,low_light,Unknown,0.5537,23.69,-38.71,12.76
omer_low_light (15).JPG,"(1301, 1653, 1721, 2073)",yoav,0.9677,18.76,low_light,omer,0.9676,35.71,-0.00,16.95
omer_low_light (122).jpg,"(0, 0, 224, 224)",omer,0.6273,12.17,low_light,omer,0.8493,24.42,22.19,12.25
omer_low_light (39).JPG,"(1273, 1731, 1785, 2243)",yoav,0.9765,19.22,low_light,omer,0.8789,43.98,-9.75,24.76
omer_low_light (83).JPG,"(978, 1005, 1986, 2013)",yoav,0.9577,22.22,low_light,omer,0.9877,117.97,3.00,95.75
omer_low_light (18).JPG,"(1257, 1498, 1753, 1994)",yoav,0.9970,19.22,low_light,omer,0.8697,43.61,-12.73,24.38
omer_low_light (32).JPG,"(1430, 1863, 1822, 2255)",yoav,0.9669,18.62,low_light,omer,0.6946,33.79,-27.23,15.18
omer_low_light (16).JPG,"(1396, 1677, 1820, 2101)",yoav,0.9457,18.86,low_light,Unknown,0.5399,35.98,-40.58,17.12
omer_low_light (85).JPG,"(998, 1438, 1924, 2364)",yoav,0.8664,22.53,low_light,omer,0.9975,106.17,13.11,83.65
omer_low_light (131).jpg,"(0, 0, 224, 224)",omer,0.6970,9.71,low_light,yoav,0.7394,24.30,4.24,14.58
omer_low_light (71).JPG,"(1090, 1294, 1910, 2114)",yoav,0.9882,21.83,low_light,Unknown,0.5354,88.31,-45.28,66.48
omer_low_light (116).jpg,"(0, 0, 224, 224)",omer,0.6334,18.10,low_light,omer,0.9754,38.60,34.20,20.51
omer_low_light (33).JPG,"(1417, 1652, 1789, 2024)",yoav,0.9753,18.60,low_light,omer,0.9509,32.31,-2.44,13.71
omer_low_light (31).JPG,"(1313, 1585, 1761, 2033)",yoav,0.7200,17.44,low_light,omer,0.9945,36.26,27.45,18.81
omer_low_light (121).jpg,"(0, 0, 224, 224)",other,0.8512,10.60,low_light,Unknown,0.4310,24.21,-42.01,13.61
omer_low_light (102).jpg,"(0, 1, 224, 224)",omer,0.7142,14.14,low_light,omer,0.7836,29.48,6.94,15.34
omer_low_light (19).JPG,"(1258, 1407, 1780, 1929)",yoav,0.9972,19.44,low_light,Unknown,0.5249,44.70,-47.24,25.25
omer_low_light (135).jpg,"(0, 0, 224, 224)",other,0.9264,11.48,low_light,other,0.7184,22.90,-20.80,11.42
omer_low_light (28).JPG,"(1501, 1636, 2083, 2218)",yoav,0.7632,19.82,low_light,omer,0.9995,50.90,23.63,31.09
omer_low_light (17).JPG,"(1362, 1618, 1790, 2046)",yoav,0.9918,18.88,low_light,Unknown,0.5468,36.44,-44.50,17.56
omer_low_light (50).JPG,"(1368, 1758, 1718, 2108)",yoav,0.9689,10.84,low_light,Unknown,0.5738,22.88,-39.51,12.04
omer_low_light (40).JPG,"(1349, 1761, 1899, 2311)",yoav,0.9921,19.63,low_light,omer,0.9873,47.52,-0.47,27.89
omer_low_light (64).JPG,"(1343, 1904, 1929, 2490)",yoav,0.9960,19.79,low_light,yoav,0.6146,51.52,-38.14,31.73
omer_low_light (123).jpg,"(0, 0, 224, 224)",Unknown,0.5018,10.85,low_light,Unknown,0.5119,23.83,1.01,12.99
omer_low_light (63).JPG,"(1350, 1877, 1854, 2381)",yoav,0.9424,19.07,low_light,yoav,0.9450,42.79,0.25,23.72
omer_low_light (124).jpg,"(0, 0, 224, 224)",Unknown,0.5164,17.46,low_light,Unknown,0.5266,38.30,1.03,20.84
omer_low_light (92).JPG,"(1362, 1578, 2066, 2282)",yoav,0.7920,20.42,low_light,omer,0.9972,64.47,20.52,44.05
omer_low_light (118).jpg,"(0, 0, 224, 224)",other,0.6954,10.62,low_light,omer,0.9158,22.65,22.05,12.03
omer_low_light (56).JPG,"(1212, 1314, 1600, 1702)",yoav,0.9384,11.01,low_light,omer,0.6450,25.64,-29.33,14.63
omer_low_light (22).JPG,"(1230, 1446, 1744, 1960)",yoav,0.8330,11.80,low_light,omer,0.9954,36.43,16.24,24.63
omer_low_light (126).jpg,"(0, 0, 224, 224)",Unknown,0.4384,17.46,low_light,yoav,0.6708,34.21,23.25,16.75
omer_low_light (100).jpg,"(0, 0, 224, 224)",other,0.7461,10.93,low_light,Unknown,0.5370,23.86,-20.90,12.94
omer_low_light (97).jpg,"(0, 2, 224, 224)",omer,0.9378,14.05,low_light,Unknown,0.5899,29.14,-34.79,15.09
omer_low_light (79).JPG,"(1233, 1339, 2125, 2231)",yoav,0.9696,22.13,low_light,omer,0.9357,94.25,-3.39,72.11
omer_low_light (84).JPG,"(871, 1290, 1883, 2302)",yoav,0.9744,23.31,low_light,omer,0.9998,117.47,2.54,94.16
omer_low_light (57).JPG,"(1349, 1168, 1755, 1574)",yoav,0.9795,18.85,low_light,omer,0.6216,37.71,-35.79,18.86
omer_low_light (13).JPG,"(1404, 1607, 1860, 2063)",yoav,0.8788,19.03,low_light,omer,0.9623,39.26,8.35,20.23
omer_low_light (41).JPG,"(1374, 1671, 1922, 2219)",yoav,0.8976,19.58,low_light,omer,0.9302,48.45,3.26,28.87


--- SUMMARY STATISTICS ---,
Metric,Value
Total Faces Processed,123
Basic Pipeline Accuracy,14.63%
Gated Pipeline Accuracy,64.23%
Net Accuracy Change,+49.59%
Average Time Basic (ms),17.40
Average Time Gated (ms),49.02
Time Cost of Gate (ms),31.62
Flips: Bad to Good (Fixed),64
Flips: Good to Bad (Ruined),3
Avg Conf Change (Both Correct),+11.88%
Avg Conf Change (Both Wrong),-18.63%
