Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
16_56495.png,"(0, 0, 224, 224)",Unknown,0.5052,17.46,low_light,omer,0.7333,34.01,22.81,16.55
75_04935.png,"(0, 6, 224, 224)",yoav,0.7427,13.18,low_light,yoav,0.9157,18.29,17.29,5.11
56_38831.png,"(22, 13, 224, 224)",other,0.9889,13.03,low_light,other,0.9148,29.03,-7.41,16.00
14_11473.png,"(0, 0, 224, 224)",other,0.8868,13.29,low_light,other,0.9373,19.56,5.06,6.27
10_67334.png,"(11, 15, 219, 223)",other,0.9984,14.15,low_light,other,0.9928,29.60,-0.56,15.45
59_12347.png,"(0, 18, 220, 224)",other,0.9759,14.11,low_light,other,0.9659,29.71,-1.00,15.60
1_27973.png,"(0, 4, 224, 224)",other,0.6574,14.20,low_light,yoav,0.8784,20.17,22.10,5.98
76_50845.png,"(9, 1, 224, 224)",other,0.9991,14.18,low_light,other,0.9967,29.50,-0.25,15.32
50_16406.png,"(0, 0, 224, 224)",Unknown,0.5288,13.14,low_light,Unknown,0.5818,24.93,5.30,11.80
9_69603.png,"(0, 7, 224, 224)",other,0.9950,14.23,low_light,other,0.9972,28.73,0.22,14.50
47_28380.png,"(0, 8, 223, 224)",Unknown,0.5426,14.18,low_light,yoav,0.8981,20.13,35.55,5.95
71_04864.png,"(0, 13, 224, 224)",yoav,0.6140,14.19,low_light,other,0.7973,29.26,18.34,15.07
65_47827.png,"(4, 8, 224, 224)",other,0.9998,14.21,low_light,other,0.9992,29.44,-0.07,15.23
69_14639.png,"(5, 10, 223, 224)",other,0.9996,9.87,low_light,other,0.9984,22.45,-0.12,12.58
41_05971.png,"(7, 12, 224, 224)",other,0.9962,11.74,low_light,other,0.9870,25.37,-0.92,13.62
3_13111.png,"(0, 0, 224, 224)",yoav,0.7458,10.90,low_light,yoav,0.9203,16.79,17.45,5.89
44_55541.png,"(0, 6, 224, 224)",other,0.9997,11.79,low_light,other,0.9994,22.26,-0.02,10.48
26_30972.png,"(20, 29, 206, 215)",other,0.9841,11.71,low_light,other,0.8282,24.02,-15.59,12.31
48_69956.png,"(0, 6, 213, 224)",other,0.9975,11.77,low_light,other,0.9882,25.37,-0.93,13.59
17_67182.png,"(0, 4, 224, 224)",other,0.8667,11.77,low_light,Unknown,0.5583,25.53,-30.84,13.76
40_13629.png,"(0, 0, 224, 224)",other,0.9982,10.95,low_light,other,0.9974,24.17,-0.08,13.23
68_60012.png,"(0, 9, 224, 224)",yoav,0.7878,11.74,low_light,yoav,0.6822,25.47,-10.56,13.73
62_20165.png,"(10, 7, 224, 224)",other,0.9929,11.80,low_light,other,0.8770,24.55,-11.59,12.76
58_38140.png,"(0, 11, 224, 224)",yoav,0.6693,11.74,low_light,Unknown,0.5189,17.36,-15.04,5.62
58_38140.png,"(0, 1, 216, 224)",other,0.8352,11.75,low_light,Unknown,0.5695,17.29,-26.57,5.54
42_04310.png,"(0, 0, 224, 224)",other,0.9799,10.90,low_light,other,0.6941,24.13,-28.59,13.22
46_44081.png,"(0, 0, 221, 224)",other,0.8988,11.77,low_light,Unknown,0.4379,25.64,-46.09,13.87
21_49265.png,"(8, 0, 224, 224)",other,0.9348,11.78,low_light,Unknown,0.5851,17.37,-34.97,5.59
78_59781.png,"(0, 1, 224, 224)",other,1.0000,11.76,low_light,other,1.0000,24.81,-0.00,13.05
8_20283.png,"(0, 4, 224, 224)",other,0.9909,11.80,low_light,other,0.9625,25.55,-2.83,13.75
29_06693.png,"(7, 9, 224, 224)",other,0.9702,11.78,low_light,other,0.9295,25.35,-4.07,13.56
25_05120.png,"(8, 5, 224, 224)",other,0.9897,11.80,low_light,other,0.8005,25.41,-18.92,13.61
25_05120.png,"(0, 0, 69, 84)",other,0.9898,11.42,low_res,other,0.9775,23.51,-1.24,12.09
34_17127.png,"(12, 26, 224, 224)",other,0.8188,11.69,low_light,yoav,0.8999,24.82,8.11,13.13
31_06280.png,"(24, 32, 224, 224)",other,0.6927,11.68,low_light,Unknown,0.3765,24.46,-31.63,12.78
37_19807.png,"(0, 5, 224, 224)",other,0.9851,11.74,low_light,other,0.9270,25.58,-5.82,13.84
55_07811.png,"(0, 4, 224, 224)",other,0.8884,11.75,low_light,other,0.9225,25.61,3.41,13.85
22_24756.png,"(0, 11, 224, 224)",other,0.8997,11.74,low_light,other,0.9710,25.39,7.13,13.65
45_11394.png,"(0, 0, 224, 224)",other,0.9715,11.17,normal,other,0.9715,18.90,0.00,7.73
