Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_low_res (79).jpg,"(0, 0, 224, 224)",omer,0.6074,17.34,low_res,omer,0.6773,137.46,6.99,120.11
omer_low_res (82).jpg,"(0, 0, 224, 224)",Unknown,0.4993,17.47,low_res,omer,0.6803,135.58,18.09,118.11
omer_low_res (78).jpg,"(0, 4, 224, 224)",omer,0.7783,11.31,low_res,omer,0.8099,126.54,3.16,115.23
omer_low_res (122).jpg,"(0, 0, 224, 224)",other,0.6613,18.42,low_res,Unknown,0.5289,132.54,-13.25,114.12
omer_low_res (137).jpg,"(0, 0, 224, 224)",other,0.9252,10.65,low_res,other,0.8949,121.05,-3.03,110.40
omer_low_res (83).jpg,"(0, 0, 224, 224)",Unknown,0.5659,18.03,low_res,Unknown,0.5367,132.74,-2.92,114.72
omer_low_res (81).jpg,"(0, 0, 224, 224)",omer,0.7909,18.58,low_res,omer,0.8524,136.61,6.15,118.02
omer_low_res (60).JPG,"(1557, 1868, 1627, 1938)",yoav,0.8502,17.23,low_res,omer,0.6486,27.72,-20.17,10.49
omer_low_res (7).JPG,"(1458, 1910, 1526, 1978)",omer,0.6771,17.30,low_res,omer,0.7109,27.66,3.38,10.36
omer_low_res (88).jpg,"(0, 0, 224, 224)",omer,0.9965,17.74,low_res,omer,0.9974,133.58,0.08,115.84
omer_low_res (158).JPG,"(1556, 1786, 1648, 1878)",Unknown,0.5111,9.96,low_res,Unknown,0.5322,28.22,2.11,18.26
omer_low_res (113).jpg,"(0, 0, 224, 224)",other,0.9591,16.87,low_res,other,0.9632,124.38,0.41,107.51
omer_low_res (133).jpg,"(0, 0, 224, 224)",other,0.9607,17.96,low_res,other,0.9549,127.05,-0.58,109.08
omer_low_res (28).JPG,"(1515, 1957, 1575, 2017)",Unknown,0.4488,9.98,low_res,omer,0.8263,17.46,37.75,7.49
omer_low_res (112).jpg,"(0, 0, 224, 224)",other,0.7585,17.32,low_res,other,0.7597,124.29,0.12,106.97
