Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
16_56495.png,"(0, 0, 224, 224)",other,0.9562,11.20,motion_blur,yoav,0.6210,20.95,-33.51,9.75
75_04935.png,"(3, 13, 224, 224)",other,0.9987,11.79,motion_blur,other,0.6207,21.98,-37.81,10.20
56_38831.png,"(0, 0, 224, 224)",other,0.9998,10.98,low_res,other,0.9996,114.93,-0.02,103.96
14_11473.png,"(0, 0, 224, 224)",other,0.9995,11.19,low_res,other,0.9991,116.08,-0.04,104.89
10_67334.png,"(14, 20, 216, 222)",other,1.0000,14.09,motion_blur,other,0.9991,25.26,-0.09,11.16
59_12347.png,"(0, 0, 224, 224)",other,0.9990,13.31,low_res,other,0.9977,119.61,-0.13,106.30
1_27973.png,"(0, 0, 224, 224)",other,0.9997,13.14,low_res,other,0.9997,121.82,-0.01,108.68
1_27973.png,"(0, 0, 70, 81)",other,0.9616,17.68,low_res,Unknown,0.5998,29.55,-36.18,11.87
76_50845.png,"(6, 5, 224, 224)",other,0.9998,10.22,motion_blur,other,0.9927,20.54,-0.71,10.32
50_16406.png,"(0, 0, 224, 224)",other,1.0000,12.45,low_res,other,1.0000,119.45,-0.00,107.00
9_69603.png,"(0, 0, 224, 224)",other,0.9999,13.09,low_res,other,0.9998,122.95,-0.01,109.86
47_28380.png,"(0, 11, 220, 224)",other,0.9998,18.04,low_res,other,0.9999,120.66,0.00,102.62
71_04864.png,"(0, 7, 224, 224)",other,1.0000,18.03,low_res,other,1.0000,124.57,-0.00,106.54
65_47827.png,"(3, 6, 224, 224)",other,0.9999,17.98,low_res,other,0.9999,124.61,0.00,106.63
69_14639.png,"(4, 10, 222, 224)",other,1.0000,17.98,motion_blur,other,0.9982,32.95,-0.18,14.97
41_05971.png,"(2, 4, 224, 224)",other,1.0000,18.22,motion_blur,other,0.9981,33.51,-0.19,15.29
3_13111.png,"(0, 0, 224, 224)",other,0.9970,10.44,motion_blur,other,0.9963,19.98,-0.08,9.54
44_55541.png,"(0, 2, 224, 224)",other,1.0000,14.11,low_res,other,1.0000,123.81,-0.00,109.70
26_30972.png,"(22, 33, 204, 215)",other,0.9987,17.94,motion_blur,other,0.9960,30.95,-0.27,13.02
48_69956.png,"(0, 5, 213, 224)",other,0.9999,18.16,low_res,other,0.9998,125.81,-0.01,107.66
17_67182.png,"(0, 0, 224, 224)",other,0.9978,9.47,low_res,other,0.9954,118.37,-0.25,108.90
40_13629.png,"(0, 0, 224, 224)",other,1.0000,17.00,motion_blur,other,0.9950,30.29,-0.50,13.29
68_60012.png,"(0, 6, 220, 224)",other,0.9996,18.16,low_res,other,0.9992,127.42,-0.04,109.27
62_20165.png,"(10, 0, 224, 224)",other,1.0000,18.08,low_res,other,1.0000,126.00,-0.00,107.92
58_38140.png,"(0, 6, 224, 224)",other,0.9845,18.03,low_light,other,0.9894,35.67,0.49,17.64
42_04310.png,"(0, 1, 224, 224)",other,0.9889,10.81,low_res,other,0.9670,124.56,-2.19,113.75
46_44081.png,"(0, 0, 222, 224)",other,0.9989,18.07,motion_blur,other,0.9713,32.91,-2.76,14.84
21_49265.png,"(21, 16, 224, 224)",other,0.9981,10.71,low_res,other,0.9978,104.38,-0.03,93.68
78_59781.png,"(0, 2, 224, 224)",other,1.0000,18.01,low_res,other,1.0000,126.47,-0.00,108.45
8_20283.png,"(0, 3, 224, 224)",other,1.0000,10.25,motion_blur,other,0.9977,19.44,-0.23,9.18
29_06693.png,"(2, 5, 224, 224)",other,0.9974,12.53,low_res,other,0.9957,121.12,-0.17,108.59
25_05120.png,"(12, 3, 224, 224)",other,0.9920,18.07,low_res,other,0.9929,121.54,0.09,103.47
34_17127.png,"(16, 29, 224, 224)",other,1.0000,10.27,motion_blur,other,0.9982,19.43,-0.17,9.16
61_13432.png,"(0, 0, 224, 224)",other,0.9563,13.14,low_res,other,0.9306,122.29,-2.57,109.15
31_06280.png,"(9, 13, 224, 224)",other,0.9979,17.97,motion_blur,other,0.7970,31.40,-20.09,13.43
37_19807.png,"(0, 0, 224, 224)",other,1.0000,9.95,motion_blur,other,0.9930,19.57,-0.69,9.62
55_07811.png,"(4, 2, 224, 224)",other,0.9766,14.06,low_res,other,0.9695,118.30,-0.71,104.23
22_24756.png,"(2, 13, 224, 224)",other,0.9999,18.04,motion_blur,other,0.9933,32.22,-0.66,14.19
45_11394.png,"(0, 0, 224, 224)",other,0.9998,17.51,motion_blur,other,0.9826,29.31,-1.72,11.80
24_08596.png,"(0, 0, 224, 224)",other,1.0000,13.53,motion_blur,other,0.9962,24.90,-0.38,11.37
49_63678.png,"(0, 0, 224, 224)",other,0.9974,9.35,motion_blur,other,0.6088,17.79,-38.86,8.44
72_02426.png,"(0, 0, 224, 224)",other,0.9971,10.41,motion_blur,other,0.7967,20.61,-20.03,10.21
35_56242.png,"(0, 17, 207, 224)",other,0.9999,11.73,low_res,other,0.9999,106.41,-0.00,94.68
5_41887.png,"(0, 2, 221, 224)",other,0.9841,14.15,low_res,other,0.9771,118.20,-0.70,104.05
52_35980.png,"(0, 19, 215, 224)",other,0.9996,14.02,motion_blur,other,0.9979,25.35,-0.17,11.33
52_35980.png,"(112, 0, 224, 183)",other,0.9996,14.04,motion_blur,other,0.9892,24.06,-1.04,10.02
38_60135.png,"(2, 6, 224, 224)",other,0.9964,14.08,low_res,other,0.9934,117.75,-0.30,103.67
15_30644.png,"(6, 0, 224, 224)",other,0.9999,14.10,low_res,other,0.9998,121.02,-0.01,106.92
66_51998.png,"(0, 4, 224, 224)",other,0.9996,18.09,low_res,other,0.9994,126.06,-0.02,107.98
66_51998.png,"(0, 80, 93, 224)",other,1.0000,17.80,low_res,other,0.9998,44.85,-0.02,27.05
57_04546.png,"(0, 9, 212, 224)",other,0.9999,18.04,motion_blur,other,0.9850,31.80,-1.49,13.76
11_59189.png,"(0, 0, 224, 224)",other,0.9999,17.51,low_res,other,0.9997,131.21,-0.01,113.70
64_22110.png,"(0, 17, 224, 224)",other,0.9999,18.02,low_res,other,0.9998,121.78,-0.01,103.75
28_07153.png,"(0, 0, 224, 224)",other,0.9995,17.05,motion_blur,other,0.9967,30.30,-0.28,13.25
28_07153.png,"(0, 5, 115, 209)",other,1.0000,18.42,motion_blur,other,0.9990,20.72,-0.10,2.29
43_07511.png,"(0, 8, 217, 224)",other,0.9999,10.82,low_res,other,0.9997,116.08,-0.02,105.25
7_26335.png,"(0, 3, 224, 224)",other,0.9996,10.29,motion_blur,other,0.8641,20.02,-13.56,9.73
13_68181.png,"(0, 0, 224, 224)",other,0.9993,12.50,low_res,other,0.9994,123.76,0.01,111.26
33_57793.png,"(0, 0, 224, 224)",other,0.9825,17.02,low_res,other,0.9822,125.25,-0.03,108.23
67_05858.png,"(0, 2, 224, 224)",other,0.9999,17.98,motion_blur,other,0.9570,31.73,-4.29,13.75
53_41170.png,"(0, 0, 224, 224)",other,0.9999,17.51,motion_blur,other,0.9942,30.91,-0.56,13.40
79_37577.png,"(0, 0, 224, 224)",other,0.9981,17.51,low_res,other,0.9974,131.99,-0.07,114.48
70_64004.png,"(0, 25, 208, 224)",other,0.9998,10.20,motion_blur,other,0.9621,20.02,-3.77,9.82
27_08871.png,"(0, 0, 224, 224)",other,1.0000,13.17,motion_blur,other,0.9918,24.07,-0.82,10.90
