Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_motion_blur (85).jpg,"(571, 29, 1145, 603)",omer,0.6095,19.75,normal,omer,0.6095,39.17,0.00,19.42
omer_motion_blur (47).jpg,"(0, 0, 224, 224)",yoav,0.7932,10.54,motion_blur,Unknown,0.5426,19.06,-25.06,8.51
omer_motion_blur (71).jpg,"(0, 0, 224, 224)",Unknown,0.4693,9.42,motion_blur,omer,0.7890,29.82,31.96,20.40
omer_motion_blur (107).jpg,"(957, 1554, 1457, 2054)",yoav,0.9080,19.52,low_light,yoav,0.8041,44.40,-10.39,24.89
omer_motion_blur (77).jpg,"(981, 1570, 1383, 1972)",yoav,0.9659,18.82,motion_blur,yoav,0.8973,38.05,-6.85,19.23
omer_motion_blur (104).jpg,"(1076, 2012, 1706, 2642)",yoav,0.7931,20.00,motion_blur,omer,0.6518,51.51,-14.14,31.51
omer_motion_blur (114).jpg,"(824, 1110, 1580, 1866)",omer,0.9270,20.82,low_light,omer,0.9583,63.59,3.13,42.77
omer_motion_blur (81).jpg,"(762, 1499, 1198, 1935)",yoav,0.9429,18.97,motion_blur,yoav,0.9482,39.62,0.52,20.65
omer_motion_blur (75).jpg,"(744, 1596, 1310, 2162)",Unknown,0.5124,19.64,normal,Unknown,0.5124,38.98,0.00,19.34
omer_motion_blur (66).jpg,"(0, 0, 224, 224)",Unknown,0.3871,9.65,motion_blur,Unknown,0.5429,17.81,15.58,8.16
omer_motion_blur (25).jpg,"(2, 0, 224, 224)",omer,0.6027,14.09,motion_blur,omer,0.7748,25.82,17.21,11.72
omer_motion_blur (58).jpg,"(0, 0, 224, 224)",Unknown,0.4887,17.63,motion_blur,yoav,0.7257,32.78,23.70,15.15
omer_motion_blur (40).jpg,"(0, 0, 224, 224)",other,0.6136,17.32,motion_blur,Unknown,0.5706,29.31,-4.30,12.00
omer_motion_blur (62).jpg,"(0, 0, 224, 224)",Unknown,0.5780,13.41,motion_blur,Unknown,0.4944,24.71,-8.37,11.30
omer_motion_blur (61).jpg,"(0, 0, 224, 224)",yoav,0.7634,13.37,motion_blur,Unknown,0.5711,24.55,-19.22,11.18
omer_motion_blur (119).jpg,"(1028, 1924, 1420, 2316)",yoav,0.7425,14.66,motion_blur,yoav,0.7737,31.20,3.12,16.54
omer_motion_blur (82).jpg,"(285, 902, 761, 1378)",yoav,0.7846,19.03,low_light,yoav,0.7252,42.81,-5.93,23.78
omer_motion_blur (96).jpg,"(1322, 1946, 1892, 2516)",yoav,0.9656,19.75,low_light,yoav,0.7657,48.98,-19.98,29.24
omer_motion_blur (102).jpg,"(1594, 2153, 2232, 2791)",Unknown,0.5594,20.07,low_light,Unknown,0.5640,53.95,0.46,33.88
omer_motion_blur (31).jpg,"(0, 0, 224, 224)",Unknown,0.5778,17.19,motion_blur,yoav,0.8299,33.06,25.21,15.87
omer_motion_blur (80).jpg,"(48, 1482, 470, 1904)",yoav,0.7696,18.82,motion_blur,yoav,0.8008,38.99,3.12,20.17
