Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
16_56495.png,"(0, 0, 224, 224)",other,0.8856,9.66,motion_blur,other,0.6069,18.19,-27.87,8.53
75_04935.png,"(0, 9, 224, 224)",other,0.9967,14.28,motion_blur,other,0.9831,25.50,-1.36,11.22
56_38831.png,"(10, 6, 224, 224)",other,0.9987,14.07,motion_blur,other,0.9582,25.47,-4.05,11.40
14_11473.png,"(0, 0, 224, 224)",other,0.9999,9.12,motion_blur,other,0.9983,17.41,-0.16,8.29
10_67334.png,"(12, 15, 218, 221)",other,1.0000,11.28,motion_blur,other,1.0000,21.72,-0.00,10.44
59_12347.png,"(0, 0, 224, 224)",other,0.9457,10.92,motion_blur,other,0.8650,20.63,-8.07,9.71
1_27973.png,"(0, 0, 224, 224)",other,0.9722,10.95,motion_blur,other,0.9444,20.67,-2.78,9.71
76_50845.png,"(0, 2, 224, 224)",other,0.9989,11.77,motion_blur,other,0.9871,22.14,-1.18,10.37
50_16406.png,"(0, 0, 224, 224)",other,0.9985,10.89,motion_blur,other,0.9420,20.64,-5.65,9.75
9_69603.png,"(0, 5, 224, 224)",other,0.9999,11.76,motion_blur,other,0.9996,22.13,-0.04,10.37
47_28380.png,"(0, 9, 219, 224)",other,0.9906,11.76,motion_blur,other,0.8368,22.02,-15.38,10.26
71_04864.png,"(0, 8, 224, 224)",other,1.0000,11.75,motion_blur,other,0.9994,21.98,-0.05,10.23
65_47827.png,"(2, 3, 224, 224)",other,1.0000,11.77,motion_blur,other,0.9999,22.15,-0.00,10.37
69_14639.png,"(6, 9, 220, 223)",other,1.0000,11.73,motion_blur,other,0.9999,21.90,-0.01,10.17
41_05971.png,"(0, 0, 224, 224)",other,0.9963,10.91,motion_blur,other,0.9868,20.55,-0.95,9.65
3_13111.png,"(0, 0, 224, 224)",other,0.9885,11.19,motion_blur,other,0.9773,20.66,-1.12,9.47
44_55541.png,"(0, 0, 224, 224)",other,0.9997,10.59,motion_blur,other,0.9966,18.75,-0.31,8.15
26_30972.png,"(19, 31, 205, 217)",other,0.9696,10.67,motion_blur,other,0.8714,19.42,-9.82,8.74
48_69956.png,"(0, 7, 207, 224)",other,0.9991,10.70,motion_blur,other,0.9755,20.04,-2.36,9.34
17_67182.png,"(0, 5, 224, 224)",other,0.9687,10.70,motion_blur,other,0.9622,20.27,-0.65,9.57
40_13629.png,"(0, 0, 224, 224)",other,1.0000,10.01,motion_blur,other,1.0000,18.82,-0.00,8.81
68_60012.png,"(0, 0, 224, 224)",other,0.9967,9.98,motion_blur,other,0.9417,19.09,-5.50,9.12
62_20165.png,"(15, 14, 224, 224)",other,1.0000,10.68,motion_blur,other,1.0000,20.06,-0.00,9.38
58_38140.png,"(0, 9, 221, 224)",other,0.8651,10.62,motion_blur,other,0.7136,20.38,-15.15,9.75
42_04310.png,"(0, 0, 224, 224)",other,0.9450,9.96,motion_blur,other,0.8718,18.80,-7.32,8.84
46_44081.png,"(0, 0, 224, 224)",other,0.9997,9.92,motion_blur,other,0.9986,18.89,-0.11,8.97
21_49265.png,"(16, 8, 224, 224)",other,0.9957,10.68,motion_blur,other,0.9700,20.03,-2.57,9.36
78_59781.png,"(0, 1, 224, 224)",other,1.0000,10.67,motion_blur,other,0.9999,20.26,-0.00,9.59
8_20283.png,"(0, 1, 224, 224)",other,0.9935,10.61,motion_blur,other,0.9252,20.45,-6.83,9.84
29_06693.png,"(1, 6, 224, 224)",other,0.9983,10.72,motion_blur,other,0.9743,20.17,-2.40,9.45
25_05120.png,"(6, 0, 224, 224)",other,0.9955,10.62,motion_blur,other,0.9555,20.24,-4.00,9.62
34_17127.png,"(13, 26, 224, 224)",other,0.9843,10.65,motion_blur,other,0.9529,19.79,-3.14,9.14
61_13432.png,"(0, 0, 224, 224)",other,0.9987,9.97,motion_blur,other,0.9816,18.85,-1.72,8.88
31_06280.png,"(4, 0, 224, 224)",other,0.9611,10.65,motion_blur,other,0.9179,20.23,-4.32,9.59
37_19807.png,"(0, 0, 224, 224)",other,1.0000,9.93,motion_blur,other,1.0000,18.90,-0.00,8.97
55_07811.png,"(0, 0, 224, 224)",other,0.9919,9.92,motion_blur,other,0.9527,18.85,-3.93,8.93
22_24756.png,"(0, 13, 224, 224)",other,1.0000,10.70,motion_blur,other,0.9997,20.16,-0.03,9.46
45_11394.png,"(0, 0, 224, 224)",other,0.9995,9.93,motion_blur,other,0.9910,18.82,-0.85,8.89
24_08596.png,"(0, 0, 224, 224)",other,1.0000,9.91,motion_blur,other,1.0000,18.90,-0.00,8.99
