Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
yoav_motion_blur (47).jpg,"(0, 0, 224, 224)",yoav,0.9891,17.48,motion_blur,yoav,0.9983,30.99,0.92,13.51
yoav_motion_blur (122).jpg,"(752, 1631, 1158, 2037)",yoav,0.9929,18.73,low_light,yoav,0.9841,47.41,-0.89,28.68
yoav_motion_blur (32).jpg,"(0, 0, 224, 224)",yoav,0.7876,10.09,motion_blur,yoav,0.9752,18.68,18.76,8.59
yoav_motion_blur (52).jpg,"(0, 0, 224, 224)",yoav,0.8872,12.66,motion_blur,yoav,0.9851,23.94,9.80,11.28
yoav_motion_blur (61).jpg,"(0, 0, 224, 224)",yoav,0.8480,18.15,motion_blur,yoav,0.9952,31.88,14.72,13.73
yoav_motion_blur (142).jpg,"(399, 1603, 1009, 2213)",yoav,0.9999,19.98,motion_blur,yoav,1.0000,50.01,0.01,30.03
yoav_motion_blur (110).jpg,"(199, 2011, 849, 2661)",yoav,0.9945,20.16,low_light,yoav,0.9900,55.02,-0.45,34.85
yoav_motion_blur (27).jpg,"(0, 0, 224, 224)",yoav,0.6366,17.83,motion_blur,yoav,0.9683,34.97,33.16,17.13
yoav_motion_blur (56).jpg,"(0, 0, 224, 224)",Unknown,0.5697,10.12,motion_blur,yoav,0.8483,20.02,27.86,9.90
yoav_motion_blur (3).jpg,"(1085, 1574, 1493, 1982)",yoav,0.9974,18.77,low_light,yoav,0.9762,39.51,-2.12,20.74
yoav_motion_blur (135).jpg,"(697, 1789, 1263, 2355)",yoav,0.9898,19.66,motion_blur,yoav,0.9831,47.27,-0.67,27.61
yoav_motion_blur (80).jpg,"(1046, 1395, 1404, 1753)",yoav,0.9995,18.53,motion_blur,yoav,0.9987,36.11,-0.08,17.59
yoav_motion_blur (58).jpg,"(0, 0, 224, 224)",other,0.9305,18.17,motion_blur,other,0.6420,33.56,-28.85,15.38
yoav_motion_blur (60).jpg,"(0, 0, 224, 224)",yoav,0.8620,10.11,motion_blur,yoav,0.9131,19.73,5.11,9.62
yoav_motion_blur (117).jpg,"(930, 2189, 1326, 2585)",yoav,0.9957,18.70,low_light,yoav,0.9918,39.07,-0.39,20.37
yoav_motion_blur (26).jpg,"(800, 1309, 1160, 1669)",yoav,0.9996,18.54,motion_blur,yoav,0.9928,36.07,-0.68,17.53
yoav_motion_blur (19).jpg,"(780, 1077, 1302, 1599)",yoav,0.9998,19.35,low_light,yoav,0.9990,45.96,-0.09,26.61
