Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
16_56495.png,"(0, 0, 224, 224)",other,0.8930,10.25,low_light,other,0.9141,19.42,2.12,9.17
75_04935.png,"(3, 14, 224, 224)",other,0.9246,10.61,low_light,other,0.9363,22.83,1.17,12.22
56_38831.png,"(16, 9, 224, 224)",other,0.9995,10.67,low_light,other,0.9945,22.90,-0.50,12.23
14_11473.png,"(0, 0, 224, 224)",other,0.9997,9.96,normal,other,0.9997,17.25,0.00,7.29
10_67334.png,"(11, 14, 221, 224)",other,0.9999,10.68,low_light,other,0.9997,20.33,-0.03,9.65
59_12347.png,"(0, 12, 221, 224)",other,0.9723,10.60,low_light,other,0.9471,20.49,-2.52,9.88
1_27973.png,"(0, 0, 68, 82)",other,0.9869,10.42,low_res,other,0.9655,22.90,-2.14,12.49
1_27973.png,"(0, 6, 224, 224)",other,0.9939,10.41,low_light,other,0.8650,23.24,-12.90,12.83
76_50845.png,"(9, 2, 224, 224)",other,0.9997,10.68,low_light,other,0.9994,20.44,-0.02,9.76
50_16406.png,"(0, 0, 224, 224)",other,0.9985,9.94,low_light,other,0.9981,19.09,-0.03,9.15
9_69603.png,"(0, 4, 224, 224)",other,0.9999,10.72,low_light,other,0.9999,20.49,-0.01,9.77
47_28380.png,"(0, 9, 219, 224)",other,0.9992,10.78,low_light,other,0.9845,22.86,-1.47,12.08
71_04864.png,"(0, 10, 224, 224)",other,0.9997,10.65,low_light,other,0.9991,20.40,-0.06,9.74
65_47827.png,"(1, 4, 224, 224)",other,1.0000,10.72,low_light,other,0.9999,20.48,-0.01,9.76
69_14639.png,"(2, 7, 224, 224)",other,1.0000,10.71,low_light,other,0.9998,20.59,-0.02,9.88
41_05971.png,"(5, 10, 224, 224)",other,0.9998,10.64,low_light,other,0.9999,20.41,0.00,9.76
3_13111.png,"(0, 0, 224, 224)",other,0.9807,9.93,low_light,other,0.7502,22.43,-23.04,12.50
44_55541.png,"(0, 2, 224, 224)",other,1.0000,10.71,normal,other,1.0000,18.68,0.00,7.97
26_30972.png,"(19, 31, 205, 217)",other,0.9937,10.62,low_light,other,0.9877,19.82,-0.60,9.21
48_69956.png,"(0, 6, 211, 224)",other,1.0000,10.70,low_light,other,0.9999,20.35,-0.00,9.66
17_67182.png,"(0, 1, 224, 224)",other,0.9950,10.74,low_light,other,0.9948,20.63,-0.02,9.89
40_13629.png,"(0, 0, 224, 224)",other,0.9998,9.93,low_light,other,0.9975,21.48,-0.23,11.55
68_60012.png,"(0, 6, 223, 224)",other,0.9753,10.67,low_light,other,0.9898,20.83,1.45,10.16
62_20165.png,"(10, 7, 224, 224)",other,1.0000,10.72,normal,other,1.0000,18.53,0.00,7.81
58_38140.png,"(0, 10, 222, 224)",other,0.7890,10.75,low_light,omer,0.8744,23.64,8.54,12.89
42_04310.png,"(0, 0, 224, 224)",other,0.8179,9.98,low_light,other,0.6841,19.13,-13.38,9.16
46_44081.png,"(0, 0, 221, 224)",other,0.9894,10.73,low_light,other,0.9765,20.62,-1.29,9.89
21_49265.png,"(25, 24, 224, 224)",other,0.9971,10.66,low_light,other,0.9785,22.76,-1.86,12.10
78_59781.png,"(0, 2, 224, 224)",other,1.0000,10.81,low_light,other,1.0000,20.55,-0.00,9.73
8_20283.png,"(0, 4, 224, 224)",other,0.9938,10.70,low_light,other,0.9929,20.62,-0.09,9.91
29_06693.png,"(2, 9, 224, 224)",other,0.9986,10.66,low_light,other,0.9975,20.40,-0.11,9.74
25_05120.png,"(10, 6, 224, 224)",other,0.9971,10.72,low_light,other,0.9903,20.58,-0.68,9.86
34_17127.png,"(9, 23, 224, 224)",other,0.9963,10.68,low_light,other,0.9905,20.15,-0.58,9.47
61_13432.png,"(0, 0, 224, 224)",other,0.9924,10.04,low_light,other,0.9932,19.10,0.08,9.05
31_06280.png,"(13, 15, 224, 224)",other,0.9596,10.74,low_light,other,0.9569,20.25,-0.26,9.52
37_19807.png,"(0, 0, 224, 224)",other,0.9937,9.93,low_light,other,0.9888,19.08,-0.49,9.15
55_07811.png,"(5, 8, 224, 224)",other,0.9940,10.73,low_light,other,0.9963,20.59,0.22,9.86
22_24756.png,"(0, 12, 224, 224)",other,0.9999,10.74,low_light,other,0.9961,22.72,-0.38,11.98
45_11394.png,"(0, 0, 224, 224)",other,0.9938,10.04,normal,other,0.9938,17.16,0.00,7.12
24_08596.png,"(0, 1, 224, 224)",other,1.0000,10.79,low_light,other,1.0000,20.60,-0.00,9.81
49_63678.png,"(0, 0, 224, 224)",other,0.9924,9.96,normal,other,0.9924,17.12,0.00,7.16
72_02426.png,"(0, 0, 224, 224)",other,0.9971,10.11,low_light,other,0.9974,19.17,0.03,9.07
35_56242.png,"(0, 13, 208, 224)",other,0.9996,10.69,low_light,other,0.9993,20.14,-0.03,9.45
5_41887.png,"(0, 11, 218, 224)",other,0.9433,10.69,low_light,other,0.9245,22.69,-1.88,12.00
52_35980.png,"(0, 16, 215, 224)",other,0.9598,10.70,low_light,other,0.8705,20.26,-8.94,9.56
52_35980.png,"(109, 0, 224, 183)",other,0.9986,10.29,motion_blur,other,0.9984,18.41,-0.02,8.12
38_60135.png,"(0, 6, 224, 224)",other,0.9851,10.72,low_light,other,0.9060,22.89,-7.91,12.17
15_30644.png,"(6, 0, 224, 224)",other,0.9999,10.68,low_light,other,0.9974,22.93,-0.25,12.26
66_51998.png,"(0, 7, 224, 224)",other,0.9991,10.74,low_light,other,0.9964,20.44,-0.27,9.70
66_51998.png,"(191, 94, 224, 142)",other,0.9989,10.00,low_res,other,0.9928,14.00,-0.61,3.99
66_51998.png,"(0, 85, 91, 224)",other,0.9991,10.09,low_res,other,0.9996,37.03,0.04,26.94
57_04546.png,"(0, 8, 212, 224)",other,0.9996,10.75,motion_blur,other,0.9990,20.56,-0.06,9.81
11_59189.png,"(0, 0, 224, 224)",other,0.9998,9.96,normal,other,0.9998,17.36,0.00,7.40
64_22110.png,"(0, 12, 224, 224)",other,0.9934,10.66,low_light,other,0.9913,20.47,-0.21,9.81
28_07153.png,"(0, 0, 224, 224)",other,0.9998,9.91,low_light,other,0.9917,21.56,-0.81,11.65
28_07153.png,"(0, 4, 116, 208)",other,0.9998,10.36,low_light,other,0.9957,20.21,-0.41,9.86
43_07511.png,"(0, 7, 216, 224)",other,0.9999,10.72,low_light,other,0.9991,23.65,-0.08,12.93
7_26335.png,"(0, 0, 224, 224)",other,0.9810,9.94,low_light,other,0.9639,19.19,-1.71,9.26
13_68181.png,"(6, 8, 224, 224)",other,1.0000,10.73,low_light,other,1.0000,20.31,-0.00,9.58
