Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
yoav_normal (78).JPG,"(970, 1278, 1810, 2118)",yoav,0.9917,21.31,normal,yoav,0.9917,50.26,0.00,28.95
yoav_normal (32).jpg,"(0, 0, 224, 224)",yoav,0.9994,10.62,low_light,yoav,0.9988,19.50,-0.06,8.88
yoav_normal (38).jpg,"(0, 0, 224, 224)",yoav,0.9996,14.14,low_light,yoav,0.9986,33.65,-0.09,19.51
yoav_normal (17).jpg,"(0, 0, 224, 224)",yoav,0.9999,17.85,low_light,yoav,0.9999,35.08,0.00,17.22
yoav_normal (50).JPG,"(1099, 1425, 1803, 2129)",yoav,0.9718,20.51,normal,yoav,0.9718,46.51,0.00,25.99
yoav_normal (15).jpg,"(0, 0, 224, 224)",yoav,0.9999,18.34,low_light,yoav,0.9999,33.29,-0.00,14.95
yoav_normal (19).jpg,"(0, 0, 224, 224)",yoav,0.9984,11.34,normal,yoav,0.9984,18.11,0.00,6.77
yoav_normal (12).jpg,"(0, 0, 224, 224)",yoav,0.9989,9.84,normal,yoav,0.9989,22.34,0.00,12.50
yoav_normal (85).JPG,"(1003, 1261, 1839, 2097)",yoav,0.9356,21.69,normal,yoav,0.9356,52.47,0.00,30.78
yoav_normal (53).JPG,"(1006, 1252, 1894, 2140)",yoav,0.9793,22.16,normal,yoav,0.9793,55.10,0.00,32.94
yoav_normal (46).JPG,"(1441, 1654, 2167, 2380)",yoav,0.9993,20.86,normal,yoav,0.9993,45.98,0.00,25.12
yoav_normal (24).jpg,"(0, 0, 224, 224)",yoav,0.9989,17.64,normal,yoav,0.9989,32.46,0.00,14.82
yoav_normal (6).jpg,"(0, 0, 224, 224)",yoav,0.9785,10.26,low_light,yoav,0.9946,24.31,1.61,14.05
yoav_normal (8).jpg,"(0, 0, 224, 224)",yoav,0.9996,13.10,low_light,yoav,0.9904,27.67,-0.92,14.56
yoav_normal (60).JPG,"(769, 1106, 1851, 2188)",yoav,0.9597,24.02,normal,yoav,0.9597,67.51,0.00,43.49
yoav_normal (80).JPG,"(1043, 1276, 1901, 2134)",yoav,0.9779,21.87,normal,yoav,0.9779,51.79,0.00,29.92
yoav_normal (42).JPG,"(1071, 1369, 1891, 2189)",yoav,0.9256,21.52,normal,yoav,0.9256,50.02,0.00,28.50
yoav_normal (25).jpg,"(0, 0, 224, 224)",yoav,1.0000,10.57,normal,yoav,1.0000,17.40,0.00,6.83
yoav_normal (18).jpg,"(0, 0, 224, 224)",yoav,0.9999,17.82,normal,yoav,0.9999,31.16,0.00,13.34
yoav_normal (79).JPG,"(1034, 1276, 1864, 2106)",yoav,0.8533,21.68,normal,yoav,0.8533,50.88,0.00,29.20
yoav_normal (13).jpg,"(0, 0, 224, 224)",yoav,1.0000,17.73,low_light,yoav,0.9999,33.96,-0.00,16.23
yoav_normal (51).JPG,"(1180, 1362, 1954, 2136)",yoav,0.9978,13.67,normal,yoav,0.9978,35.99,0.00,22.33
yoav_normal (31).jpg,"(0, 0, 224, 224)",yoav,0.9994,16.97,normal,yoav,0.9994,28.10,0.00,11.13
yoav_normal (59).JPG,"(780, 1136, 1848, 2204)",yoav,0.9989,23.88,normal,yoav,0.9989,64.36,0.00,40.48
yoav_normal (27).jpg,"(0, 0, 224, 224)",yoav,0.9999,18.41,normal,yoav,0.9999,30.68,0.00,12.27
yoav_normal (58).JPG,"(906, 1185, 1898, 2177)",yoav,0.9588,22.83,normal,yoav,0.9588,58.88,0.00,36.05
yoav_normal (30).jpg,"(0, 0, 224, 224)",yoav,0.9558,17.47,normal,yoav,0.9558,31.65,0.00,14.18
yoav_normal (2).jpg,"(0, 0, 224, 224)",yoav,0.9993,11.09,normal,yoav,0.9993,18.71,0.00,7.62
yoav_normal (55).JPG,"(1018, 1291, 1966, 2239)",yoav,0.9978,15.20,normal,yoav,0.9978,45.35,0.00,30.16
yoav_normal (47).JPG,"(1221, 1486, 1851, 2116)",yoav,0.9687,20.02,normal,yoav,0.9687,41.33,0.00,21.32
yoav_normal (22).jpg,"(0, 0, 224, 224)",yoav,0.9683,10.60,normal,yoav,0.9683,17.66,0.00,7.06
yoav_normal (39).jpg,"(0, 0, 224, 224)",yoav,0.9997,10.20,normal,yoav,0.9997,22.17,0.00,11.97
yoav_normal (76).JPG,"(1196, 1263, 2064, 2131)",yoav,0.9999,21.79,normal,yoav,0.9999,52.17,0.00,30.38
yoav_normal (44).JPG,"(1017, 1597, 1677, 2257)",yoav,0.8579,20.31,normal,yoav,0.8579,42.86,0.00,22.55
yoav_normal (40).JPG,"(977, 1510, 1845, 2378)",yoav,0.9908,21.74,normal,yoav,0.9908,51.92,0.00,30.18
yoav_normal (83).JPG,"(918, 1264, 1788, 2134)",yoav,0.9964,21.92,normal,yoav,0.9964,52.51,0.00,30.59
yoav_normal (43).JPG,"(897, 1361, 1889, 2353)",yoav,0.9911,22.89,normal,yoav,0.9911,59.11,0.00,36.23
yoav_normal (61).JPG,"(799, 1065, 1871, 2137)",yoav,0.8565,23.79,normal,yoav,0.8565,65.59,0.00,41.80
yoav_normal (41).JPG,"(1071, 1415, 1969, 2313)",yoav,0.8285,22.24,normal,yoav,0.8285,54.16,0.00,31.92
yoav_normal (16).jpg,"(2, 0, 224, 224)",yoav,0.9984,18.98,low_light,yoav,0.9987,35.55,0.02,16.57
yoav_normal (36).jpg,"(0, 0, 224, 224)",yoav,0.9999,18.50,normal,yoav,0.9999,31.85,0.00,13.35
yoav_normal (69).JPG,"(1158, 1192, 1914, 1948)",yoav,0.9837,13.31,normal,yoav,0.9837,34.62,0.00,21.32
yoav_normal (3).jpg,"(0, 0, 224, 224)",yoav,0.9948,17.46,normal,yoav,0.9948,29.22,0.00,11.76
yoav_normal (10).jpg,"(0, 0, 224, 224)",yoav,0.9989,10.99,normal,yoav,0.9989,18.31,0.00,7.33
yoav_normal (86).JPG,"(1050, 1252, 1886, 2088)",yoav,0.9473,21.72,normal,yoav,0.9473,51.04,0.00,29.32
yoav_normal (63).JPG,"(914, 1139, 1888, 2113)",yoav,0.9888,23.11,normal,yoav,0.9888,58.43,0.00,35.32
yoav_normal (14).jpg,"(0, 0, 224, 224)",yoav,0.9999,9.64,low_light,yoav,0.9997,19.15,-0.01,9.51
yoav_normal (81).JPG,"(870, 1273, 1774, 2177)",yoav,0.9827,22.21,normal,yoav,0.9827,54.37,0.00,32.16
yoav_normal (29).jpg,"(0, 0, 224, 224)",yoav,0.9973,17.91,normal,yoav,0.9973,32.31,0.00,14.40
yoav_normal (74).JPG,"(1022, 1209, 1926, 2113)",yoav,0.9749,22.31,normal,yoav,0.9749,54.41,0.00,32.10
yoav_normal (68).JPG,"(1114, 1210, 1846, 1942)",yoav,0.9958,20.87,normal,yoav,0.9958,45.87,0.00,25.00
yoav_normal (88).JPG,"(1116, 1273, 1928, 2085)",Unknown,0.5042,21.33,normal,Unknown,0.5042,49.27,0.00,27.94
yoav_normal (72).JPG,"(1007, 1254, 1939, 2186)",yoav,0.9962,15.26,normal,yoav,0.9962,44.16,0.00,28.91
yoav_normal (23).jpg,"(0, 0, 224, 224)",yoav,0.9942,17.49,normal,yoav,0.9942,29.88,0.00,12.39
