Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_low_light (100).jpg,"(0, 0, 224, 224)",other,0.6641,66.70,low_light,omer,0.7053,225.35,4.11,158.65
omer_low_light (101).jpg,"(0, 0, 224, 224)",omer,0.9512,35.25,low_light,omer,0.9735,60.24,2.23,24.99
omer_low_light (102).jpg,"(0, 1, 224, 224)",omer,0.8911,45.85,low_light,omer,0.9451,62.43,5.39,16.58
omer_low_light (105).jpg,"(0, 0, 224, 224)",omer,0.7230,34.80,low_light,omer,0.7409,61.99,1.79,27.19
omer_low_light (106).jpg,"(0, 0, 224, 224)",Unknown,0.5471,35.91,low_light,omer,0.9519,60.06,40.48,24.16
omer_low_light (107).jpg,"(0, 0, 224, 224)",Unknown,0.5393,39.00,low_light,yoav,0.6401,63.02,10.08,24.02
omer_low_light (108).jpg,"(0, 0, 224, 224)",other,0.6562,35.79,low_light,yoav,0.6889,64.06,3.26,28.28
omer_low_light (109).jpg,"(0, 0, 224, 224)",omer,0.7494,35.24,low_light,omer,0.7577,61.11,0.83,25.86
omer_low_light (11).JPG,"(979, 1151, 2075, 2247)",omer,0.9981,54.17,low_light,omer,0.9996,151.87,0.15,97.70
omer_low_light (110).jpg,"(0, 0, 224, 224)",Unknown,0.5494,39.81,low_light,Unknown,0.5022,73.46,-4.71,33.66
omer_low_light (111).jpg,"(0, 0, 224, 224)",omer,0.9045,36.01,low_light,omer,0.9816,74.34,7.71,38.33
omer_low_light (112).jpg,"(0, 0, 224, 224)",omer,0.8074,36.00,low_light,omer,0.9995,60.53,19.21,24.53
omer_low_light (113).jpg,"(0, 0, 224, 224)",omer,0.6120,34.96,low_light,omer,0.8303,61.46,21.83,26.51
omer_low_light (114).jpg,"(0, 0, 224, 224)",omer,0.9596,35.98,low_light,omer,0.9686,60.93,0.89,24.95
omer_low_light (115).jpg,"(0, 0, 224, 224)",omer,0.9159,36.88,low_light,omer,0.9974,61.25,8.16,24.37
omer_low_light (116).jpg,"(0, 0, 224, 224)",omer,0.8319,35.89,low_light,omer,0.9862,59.78,15.44,23.89
omer_low_light (117).jpg,"(0, 0, 224, 224)",Unknown,0.5260,35.91,low_light,omer,0.9650,61.61,43.90,25.70
omer_low_light (118).jpg,"(0, 0, 224, 224)",omer,0.6066,34.90,low_light,omer,0.9874,59.86,38.08,24.96
omer_low_light (119).jpg,"(0, 0, 224, 224)",omer,0.7796,35.81,low_light,omer,0.9788,68.12,19.92,32.31
omer_low_light (12).JPG,"(1072, 1289, 1972, 2189)",omer,0.9876,37.54,low_light,omer,1.0000,80.25,1.23,42.71
omer_low_light (120).jpg,"(0, 0, 224, 224)",omer,0.7214,37.29,low_light,Unknown,0.4883,60.56,-23.31,23.27
omer_low_light (121).jpg,"(0, 0, 224, 224)",other,0.7844,38.60,low_light,Unknown,0.4647,68.59,-31.97,29.98
omer_low_light (122).jpg,"(0, 0, 224, 224)",omer,0.8933,37.51,low_light,omer,0.9692,64.01,7.58,26.50
omer_low_light (123).jpg,"(0, 0, 224, 224)",omer,0.6024,35.51,low_light,omer,0.7897,61.12,18.73,25.60
omer_low_light (124).jpg,"(0, 0, 224, 224)",omer,0.9337,38.68,low_light,omer,0.9369,79.64,0.31,40.96
omer_low_light (125).jpg,"(0, 0, 224, 224)",omer,0.8076,42.17,low_light,omer,0.8024,81.58,-0.52,39.40
omer_low_light (126).jpg,"(0, 0, 224, 224)",omer,0.8308,48.52,low_light,omer,0.6886,82.53,-14.23,34.01
omer_low_light (127).jpg,"(0, 0, 224, 224)",omer,0.8930,48.01,low_light,omer,0.9238,82.69,3.08,34.68
omer_low_light (128).jpg,"(0, 0, 224, 224)",omer,0.9320,50.34,low_light,omer,0.9681,64.42,3.61,14.07
omer_low_light (129).jpg,"(0, 0, 224, 224)",other,0.7783,36.83,low_light,omer,0.6334,60.92,-14.49,24.10
omer_low_light (13).JPG,"(1404, 1607, 1860, 2063)",omer,0.8834,37.66,low_light,omer,0.9981,46.16,11.48,8.50
omer_low_light (130).jpg,"(0, 0, 224, 224)",omer,0.9487,34.86,low_light,omer,0.8298,75.32,-11.89,40.45
omer_low_light (131).jpg,"(0, 0, 224, 224)",omer,0.9106,35.23,low_light,omer,0.7660,60.47,-14.45,25.24
omer_low_light (132).jpg,"(0, 0, 224, 224)",omer,0.9436,35.32,low_light,omer,0.9976,61.05,5.40,25.73
omer_low_light (133).jpg,"(0, 0, 224, 224)",omer,0.8423,35.13,low_light,omer,0.9491,62.60,10.68,27.47
omer_low_light (134).jpg,"(0, 0, 224, 224)",omer,0.7490,39.52,low_light,omer,0.9454,67.01,19.64,27.49
omer_low_light (135).jpg,"(0, 0, 224, 224)",other,0.9186,40.27,low_light,other,0.6718,69.15,-24.69,28.88
omer_low_light (136).jpg,"(0, 0, 224, 224)",other,0.8924,39.97,low_light,other,0.9176,72.42,2.52,32.45
omer_low_light (137).jpg,"(0, 0, 224, 224)",other,0.6949,37.90,low_light,Unknown,0.4492,62.81,-24.57,24.92
omer_low_light (138).jpg,"(0, 0, 224, 224)",Unknown,0.4965,35.91,low_light,Unknown,0.5290,62.06,3.24,26.15
omer_low_light (14).JPG,"(1428, 1649, 1848, 2069)",omer,0.8930,35.91,low_light,omer,0.9984,45.93,10.55,10.02
omer_low_light (15).JPG,"(1301, 1653, 1721, 2073)",omer,0.7726,35.72,low_light,omer,0.9992,45.53,22.66,9.82
omer_low_light (16).JPG,"(1396, 1677, 1820, 2101)",omer,0.8696,35.86,low_light,omer,0.9633,43.58,9.37,7.73
omer_low_light (17).JPG,"(1362, 1618, 1790, 2046)",yoav,0.6202,45.17,low_light,omer,0.9392,45.42,31.90,0.26
omer_low_light (18).JPG,"(1257, 1498, 1753, 1994)",Unknown,0.5912,48.81,low_light,omer,0.9924,48.74,40.12,-0.06
omer_low_light (19).JPG,"(1258, 1407, 1780, 1929)",Unknown,0.5288,40.39,low_light,omer,0.9889,54.17,46.01,13.78
omer_low_light (20).JPG,"(1157, 1378, 1651, 1872)",omer,0.8202,40.63,low_light,omer,0.9990,52.76,17.88,12.13
omer_low_light (21).JPG,"(1197, 1382, 1693, 1878)",omer,0.8150,38.13,low_light,omer,0.9963,46.59,18.13,8.47
omer_low_light (22).JPG,"(1230, 1446, 1744, 1960)",omer,0.9652,49.99,low_light,omer,0.9997,49.52,3.45,-0.47
omer_low_light (23).JPG,"(1335, 1476, 1855, 1996)",omer,0.8181,58.24,low_light,omer,0.9992,49.45,18.11,-8.79
omer_low_light (24).JPG,"(1468, 1603, 1952, 2087)",yoav,0.7151,60.68,low_light,omer,0.9346,53.24,21.95,-7.45
omer_low_light (25).JPG,"(1448, 1623, 1952, 2127)",omer,0.9577,57.80,low_light,omer,0.9970,68.70,3.93,10.90
omer_low_light (26).JPG,"(1576, 1621, 2120, 2165)",omer,0.9135,42.82,low_light,omer,0.9989,57.40,8.54,14.58
omer_low_light (27).JPG,"(1644, 1586, 2204, 2146)",omer,0.8812,42.82,low_light,omer,0.9972,57.62,11.60,14.81
omer_low_light (28).JPG,"(1501, 1636, 2083, 2218)",omer,0.9232,44.20,low_light,omer,0.9999,58.72,7.67,14.53
omer_low_light (29).JPG,"(1322, 1646, 1854, 2178)",omer,0.6572,43.27,low_light,omer,0.9994,55.64,34.22,12.37
omer_low_light (30).JPG,"(1300, 1657, 1794, 2151)",omer,0.9561,53.09,low_light,omer,0.9991,64.17,4.31,11.09
omer_low_light (31).JPG,"(1313, 1585, 1761, 2033)",omer,0.9599,56.67,low_light,omer,0.9994,66.08,3.96,9.41
omer_low_light (32).JPG,"(1430, 1863, 1822, 2255)",omer,0.8754,61.28,low_light,omer,0.9845,64.61,10.91,3.33
omer_low_light (33).JPG,"(1417, 1652, 1789, 2024)",omer,0.8454,63.43,low_light,omer,0.9982,55.63,15.27,-7.80
omer_low_light (34).JPG,"(1480, 1638, 1872, 2030)",omer,0.9326,41.95,low_light,omer,0.9860,50.63,5.33,8.67
omer_low_light (35).JPG,"(1394, 1602, 1804, 2012)",omer,0.8676,47.11,low_light,omer,0.9894,50.60,12.18,3.49
omer_low_light (36).JPG,"(1169, 1579, 1633, 2043)",omer,0.9251,52.59,low_light,omer,0.9987,66.22,7.36,13.63
omer_low_light (37).JPG,"(1036, 1604, 1536, 2104)",omer,0.9846,55.59,low_light,omer,0.9999,72.17,1.54,16.58
omer_low_light (38).JPG,"(1211, 1650, 1699, 2138)",omer,0.7492,51.02,low_light,omer,0.9260,65.61,17.68,14.59
