Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_low_res (1).JPG,"(1543, 1971, 1613, 2041)",Unknown,0.5888,55.95,low_res,omer,0.8636,83.61,27.48,27.66
omer_low_res (10).JPG,"(1559, 1953, 1625, 2019)",Unknown,0.4567,39.32,low_res,omer,0.9571,44.82,50.04,5.50
omer_low_res (100).jpg,"(0, 0, 224, 224)",Unknown,0.5748,39.44,low_res,omer,0.6088,169.21,3.40,129.77
omer_low_res (101).jpg,"(0, 0, 224, 224)",omer,0.9784,37.01,low_res,omer,0.9799,129.07,0.15,92.06
omer_low_res (102).jpg,"(0, 0, 224, 224)",omer,0.9560,39.18,low_res,omer,0.9643,390.78,0.83,351.59
omer_low_res (103).jpg,"(0, 0, 224, 224)",omer,0.9563,93.21,low_res,omer,0.9676,149.53,1.13,56.32
omer_low_res (104).jpg,"(0, 0, 224, 224)",omer,0.9577,35.83,low_res,omer,0.9634,127.53,0.57,91.71
omer_low_res (105).jpg,"(0, 0, 224, 224)",omer,0.6122,34.52,low_res,omer,0.7268,128.52,11.46,94.00
omer_low_res (106).jpg,"(0, 0, 224, 224)",omer,0.9171,35.11,low_res,omer,0.9444,129.79,2.72,94.67
omer_low_res (107).jpg,"(0, 0, 224, 224)",other,0.8641,34.86,low_res,other,0.8296,135.56,-3.45,100.70
omer_low_res (108).jpg,"(0, 0, 224, 224)",other,0.8346,34.55,motion_blur,omer,0.6944,57.06,-14.02,22.51
omer_low_res (109).jpg,"(0, 0, 224, 224)",Unknown,0.5133,35.54,low_res,Unknown,0.5551,121.52,4.18,85.97
omer_low_res (109).jpg,"(18, 0, 204, 159)",other,0.9096,39.00,motion_blur,other,0.6885,58.52,-22.11,19.52
omer_low_res (110).jpg,"(0, 0, 224, 224)",Unknown,0.5050,38.31,low_res,Unknown,0.5469,125.09,4.19,86.78
omer_low_res (111).jpg,"(0, 0, 224, 224)",omer,0.6304,37.55,low_res,omer,0.7013,133.72,7.09,96.17
omer_low_res (112).jpg,"(0, 0, 224, 224)",omer,0.6027,35.00,low_res,Unknown,0.5884,130.88,-1.43,95.89
omer_low_res (113).jpg,"(0, 0, 224, 224)",other,0.8391,36.00,low_res,other,0.8516,136.34,1.25,100.34
omer_low_res (114).jpg,"(0, 5, 224, 224)",Unknown,0.5864,35.56,low_res,omer,0.6004,134.63,1.40,99.07
omer_low_res (115).jpg,"(0, 0, 224, 224)",other,0.7545,34.84,low_res,other,0.7234,136.08,-3.11,101.24
omer_low_res (116).jpg,"(0, 0, 224, 224)",other,0.7945,39.00,low_res,other,0.7178,130.14,-7.67,91.14
omer_low_res (117).jpg,"(9, 41, 199, 224)",Unknown,0.5311,35.21,motion_blur,omer,0.7140,59.80,18.29,24.59
omer_low_res (118).jpg,"(0, 0, 224, 224)",omer,0.9129,34.42,low_res,omer,0.9169,124.87,0.40,90.45
omer_low_res (119).jpg,"(0, 0, 224, 224)",Unknown,0.5553,36.00,low_res,Unknown,0.5155,125.34,-3.97,89.34
omer_low_res (120).jpg,"(0, 0, 224, 224)",omer,0.9491,36.33,low_res,omer,0.9592,135.11,1.02,98.78
omer_low_res (121).jpg,"(0, 0, 224, 224)",omer,0.7209,35.00,low_res,omer,0.6328,134.06,-8.81,99.06
omer_low_res (122).jpg,"(0, 0, 224, 224)",Unknown,0.5292,36.07,low_res,omer,0.6145,130.91,8.53,94.84
omer_low_res (123).jpg,"(0, 0, 224, 224)",Unknown,0.5169,40.41,low_res,Unknown,0.4513,132.48,-6.55,92.06
omer_low_res (124).jpg,"(0, 0, 224, 224)",omer,0.7621,34.92,low_res,omer,0.7752,128.97,1.30,94.05
omer_low_res (125).jpg,"(0, 0, 224, 224)",omer,0.9142,37.15,low_res,omer,0.8707,132.46,-4.35,95.30
omer_low_res (126).jpg,"(0, 0, 224, 224)",omer,0.6242,35.29,low_res,omer,0.6376,129.67,1.33,94.38
omer_low_res (127).jpg,"(0, 5, 224, 224)",omer,0.8745,35.38,low_res,omer,0.8825,136.36,0.80,100.98
omer_low_res (128).jpg,"(0, 0, 224, 224)",omer,0.8685,35.00,low_res,omer,0.8865,148.53,1.80,113.53
omer_low_res (129).jpg,"(1, 6, 224, 224)",omer,0.8075,38.48,low_res,omer,0.8623,142.43,5.48,103.95
omer_low_res (130).jpg,"(4, 0, 224, 224)",omer,0.6363,40.59,low_res,Unknown,0.5578,147.67,-7.84,107.08
omer_low_res (131).jpg,"(2, 0, 224, 224)",Unknown,0.5075,39.51,low_res,Unknown,0.4983,142.08,-0.92,102.57
omer_low_res (132).jpg,"(0, 0, 224, 224)",other,0.6911,40.88,low_res,Unknown,0.5847,146.46,-10.65,105.58
omer_low_res (133).jpg,"(0, 0, 224, 224)",other,0.8792,35.88,low_res,other,0.8441,134.26,-3.51,98.38
omer_low_res (134).jpg,"(0, 0, 224, 224)",Unknown,0.5789,36.72,low_res,Unknown,0.5391,139.93,-3.97,103.21
omer_low_res (135).jpg,"(0, 0, 224, 224)",other,0.8946,40.40,motion_blur,other,0.7423,66.51,-15.24,26.11
omer_low_res (136).jpg,"(0, 0, 224, 224)",other,0.9867,39.91,low_res,other,0.9851,140.40,-0.16,100.49
omer_low_res (137).jpg,"(0, 0, 224, 224)",other,0.7828,39.77,low_res,other,0.7170,163.12,-6.58,123.35
omer_low_res (138).jpg,"(0, 0, 224, 224)",other,0.8769,40.66,motion_blur,Unknown,0.4564,74.06,-42.05,33.40
omer_low_res (139).jpg,"(0, 0, 224, 224)",other,0.8492,41.76,motion_blur,other,0.7207,62.92,-12.85,21.16
omer_low_res (140).jpg,"(0, 0, 224, 224)",other,0.7944,36.61,motion_blur,other,0.7274,57.74,-6.70,21.14
omer_low_res (141).jpg,"(0, 0, 224, 224)",omer,0.7246,34.48,low_res,omer,0.7656,128.22,4.10,93.74
omer_low_res (142).jpg,"(0, 0, 224, 224)",omer,0.8768,39.00,low_res,omer,0.8746,138.78,-0.22,99.78
omer_low_res (143).jpg,"(0, 0, 224, 224)",Unknown,0.5761,36.02,low_res,omer,0.6492,132.43,7.31,96.41
omer_low_res (144).jpg,"(0, 0, 224, 224)",Unknown,0.5598,38.68,low_res,omer,0.6313,135.62,7.15,96.94
omer_low_res (145).jpg,"(0, 0, 224, 224)",omer,0.7904,36.95,low_res,omer,0.8084,129.42,1.79,92.47
omer_low_res (146).JPG,"(1430, 1801, 1520, 1891)",omer,0.9460,41.00,low_res,omer,0.9760,47.02,3.00,6.02
omer_low_res (147).JPG,"(1438, 1810, 1528, 1900)",omer,0.9538,35.52,low_res,omer,0.9713,44.00,1.75,8.48
omer_low_res (148).JPG,"(1429, 1812, 1523, 1906)",omer,0.9855,39.00,low_res,omer,0.9937,52.01,0.82,13.01
omer_low_res (149).JPG,"(1420, 1816, 1514, 1910)",omer,0.9571,38.85,low_res,omer,0.9935,51.64,3.64,12.79
omer_low_res (150).JPG,"(1429, 1804, 1515, 1890)",omer,0.9482,45.04,low_res,omer,0.9953,57.64,4.70,12.60
omer_low_res (151).JPG,"(1530, 1796, 1618, 1884)",omer,0.9972,39.12,low_res,omer,0.9972,55.58,-0.00,16.47
omer_low_res (152).JPG,"(1504, 1879, 1596, 1971)",omer,0.9620,37.71,low_res,omer,0.9981,47.93,3.60,10.23
omer_low_res (153).JPG,"(1496, 1901, 1582, 1987)",omer,0.9962,38.17,low_res,omer,0.9947,49.44,-0.15,11.28
omer_low_res (154).JPG,"(1428, 2007, 1516, 2095)",omer,0.9985,37.95,low_res,omer,0.9985,46.61,0.01,8.66
omer_low_res (155).JPG,"(1351, 1988, 1439, 2076)",omer,0.9978,43.29,low_res,omer,0.9941,52.10,-0.37,8.81
omer_low_res (156).JPG,"(1346, 1980, 1436, 2070)",omer,0.9958,41.18,low_res,omer,0.9814,47.72,-1.44,6.55
omer_low_res (157).JPG,"(1544, 1875, 1636, 1967)",omer,0.9940,38.80,low_res,omer,0.9893,47.68,-0.48,8.88
omer_low_res (158).JPG,"(1556, 1786, 1648, 1878)",omer,0.9830,37.05,low_res,omer,0.9828,47.09,-0.02,10.04
omer_low_res (159).JPG,"(1437, 1768, 1533, 1864)",omer,0.9958,36.73,low_res,omer,0.9896,49.23,-0.62,12.51
omer_low_res (160).JPG,"(1536, 1621, 1630, 1715)",omer,0.9980,42.18,low_res,omer,0.9962,56.68,-0.18,14.50
omer_low_res (165).JPG,"(1540, 1905, 1612, 1977)",omer,0.7171,42.98,low_res,omer,0.9078,88.21,19.07,45.23
omer_low_res (166).JPG,"(1449, 1856, 1519, 1926)",omer,0.9386,41.50,low_res,omer,0.9849,44.79,4.62,3.29
omer_low_res (167).JPG,"(1490, 1914, 1562, 1986)",omer,0.6491,36.83,low_res,omer,0.9747,43.59,32.56,6.76
omer_low_res (2).JPG,"(1496, 1950, 1560, 2014)",yoav,0.6180,43.71,low_res,Unknown,0.5830,46.50,-3.49,2.79
omer_low_res (20).JPG,"(1503, 1912, 1559, 1968)",Unknown,0.5436,41.94,low_res,omer,0.9646,45.26,42.10,3.31
omer_low_res (21).JPG,"(1647, 1890, 1713, 1956)",Unknown,0.4824,37.00,low_res,omer,0.9007,44.01,41.83,7.00
omer_low_res (26).JPG,"(1510, 1957, 1572, 2019)",other,0.8067,36.09,low_res,omer,0.8368,40.40,3.01,4.32
omer_low_res (28).JPG,"(1515, 1957, 1575, 2017)",other,0.6847,39.96,low_res,omer,0.8765,43.79,19.19,3.82
omer_low_res (32).JPG,"(1410, 1857, 1466, 1913)",omer,0.7639,40.42,low_res,omer,0.9866,41.29,22.27,0.87
omer_low_res (34).JPG,"(1610, 1959, 1670, 2019)",other,0.6084,40.64,low_res,omer,0.8593,51.11,25.09,10.47
omer_low_res (36).JPG,"(1649, 1870, 1709, 1930)",other,0.6691,36.00,low_res,omer,0.7592,39.85,9.01,3.85
omer_low_res (37).JPG,"(1611, 1889, 1677, 1955)",omer,0.9894,35.91,low_res,omer,0.9984,40.70,0.90,4.79
omer_low_res (43).JPG,"(1510, 1852, 1574, 1916)",omer,0.9414,43.15,low_res,omer,0.9751,49.08,3.37,5.92
omer_low_res (44).JPG,"(1523, 1940, 1587, 2004)",Unknown,0.5366,39.10,low_res,omer,0.9280,43.09,39.14,3.99
omer_low_res (46).JPG,"(1603, 1921, 1667, 1985)",omer,0.7206,34.86,low_res,omer,0.9806,39.60,26.01,4.74
omer_low_res (47).JPG,"(1527, 1928, 1593, 1994)",omer,0.9807,36.01,low_res,omer,0.9980,40.00,1.73,3.99
omer_low_res (48).JPG,"(1503, 1857, 1563, 1917)",omer,0.8664,39.07,low_res,omer,0.9932,43.08,12.68,4.01
