Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
yoav_low_res (1).jpg,"(0, 3, 224, 224)",yoav,0.9997,44.35,low_res,yoav,0.9998,164.37,0.01,120.02
yoav_low_res (10).jpg,"(0, 0, 224, 224)",other,0.6625,83.60,low_res,Unknown,0.5464,173.64,-11.61,90.04
yoav_low_res (101).JPG,"(1505, 1783, 1597, 1875)",yoav,0.6735,43.42,low_res,omer,0.7022,54.08,2.87,10.66
yoav_low_res (11).jpg,"(0, 0, 224, 224)",yoav,0.9118,54.51,low_res,yoav,0.9258,163.43,1.40,108.92
yoav_low_res (12).jpg,"(0, 0, 224, 224)",yoav,0.9894,59.31,low_res,yoav,0.9922,149.95,0.28,90.64
yoav_low_res (13).jpg,"(0, 0, 224, 224)",yoav,0.9982,45.36,low_res,yoav,0.9992,141.98,0.10,96.62
yoav_low_res (14).jpg,"(0, 0, 224, 224)",yoav,0.9778,54.88,low_res,yoav,0.9909,203.33,1.31,148.46
yoav_low_res (15).jpg,"(0, 0, 224, 224)",yoav,0.9954,39.96,low_res,yoav,0.9982,142.65,0.28,102.69
yoav_low_res (16).jpg,"(0, 0, 224, 224)",yoav,0.9894,37.44,low_res,yoav,0.9928,130.77,0.34,93.34
yoav_low_res (17).jpg,"(0, 0, 224, 224)",yoav,0.9649,36.03,low_res,yoav,0.9768,131.91,1.19,95.88
yoav_low_res (18).jpg,"(0, 0, 224, 224)",yoav,0.9832,38.43,low_res,yoav,0.9930,132.43,0.97,94.00
yoav_low_res (19).jpg,"(0, 0, 224, 224)",yoav,0.9672,36.30,low_res,yoav,0.9717,127.66,0.46,91.36
yoav_low_res (2).jpg,"(0, 0, 224, 224)",yoav,0.9939,34.85,low_res,yoav,0.9981,130.91,0.42,96.06
yoav_low_res (20).jpg,"(0, 0, 224, 224)",yoav,0.9882,35.87,low_res,yoav,0.9945,126.83,0.63,90.96
yoav_low_res (21).jpg,"(0, 0, 224, 224)",yoav,0.9882,39.38,low_res,yoav,0.9883,131.69,0.01,92.30
yoav_low_res (22).jpg,"(0, 0, 224, 224)",yoav,0.6803,35.00,low_res,yoav,0.8045,180.94,12.41,145.94
yoav_low_res (23).jpg,"(0, 0, 224, 224)",yoav,0.9970,67.36,low_res,yoav,0.9975,185.07,0.04,117.72
yoav_low_res (24).jpg,"(0, 0, 224, 224)",yoav,0.9184,73.94,low_res,yoav,0.9354,178.56,1.70,104.62
yoav_low_res (25).jpg,"(0, 0, 224, 224)",yoav,0.9961,67.31,low_res,yoav,0.9980,234.05,0.18,166.73
yoav_low_res (26).jpg,"(0, 0, 224, 224)",yoav,0.9809,42.59,low_res,yoav,0.9830,130.99,0.21,88.40
yoav_low_res (27).jpg,"(0, 0, 224, 224)",yoav,0.9956,64.79,low_res,yoav,0.9986,189.58,0.30,124.79
yoav_low_res (28).jpg,"(0, 0, 224, 224)",yoav,0.9927,34.82,low_res,yoav,0.9941,160.15,0.14,125.33
yoav_low_res (29).jpg,"(0, 0, 224, 224)",yoav,0.9906,68.56,low_res,yoav,0.9912,148.56,0.07,80.00
yoav_low_res (3).jpg,"(0, 0, 224, 224)",yoav,0.9717,66.76,low_res,yoav,0.9870,142.99,1.53,76.24
yoav_low_res (30).jpg,"(0, 0, 224, 224)",yoav,0.9693,89.41,low_res,yoav,0.9843,150.32,1.50,60.92
yoav_low_res (31).jpg,"(0, 0, 224, 224)",yoav,0.6364,86.73,low_res,yoav,0.7988,167.80,16.24,81.07
yoav_low_res (32).jpg,"(0, 0, 224, 224)",Unknown,0.5393,79.56,low_res,Unknown,0.4842,236.44,-5.51,156.87
yoav_low_res (33).jpg,"(0, 0, 224, 224)",yoav,0.7679,35.31,low_res,yoav,0.8193,126.42,5.14,91.11
