Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_motion_blur (102).jpg,"(1594, 2153, 2232, 2791)",omer,0.8755,38.93,low_light,omer,0.9149,120.16,3.94,81.23
omer_motion_blur (104).jpg,"(1076, 2012, 1706, 2642)",omer,0.8452,37.14,motion_blur,omer,0.9832,79.28,13.80,42.15
omer_motion_blur (105).jpg,"(996, 1422, 1536, 1962)",omer,0.7828,102.48,normal,omer,0.7828,161.91,0.00,59.43
omer_motion_blur (106).jpg,"(976, 1613, 1474, 2111)",omer,0.9581,38.08,low_light,omer,0.9500,90.72,-0.81,52.64
omer_motion_blur (107).jpg,"(957, 1554, 1457, 2054)",omer,0.8489,36.85,low_light,omer,0.9515,81.78,10.26,44.94
omer_motion_blur (109).jpg,"(854, 1483, 1314, 1943)",omer,0.9926,39.93,low_light,omer,0.9879,81.08,-0.47,41.15
omer_motion_blur (110).jpg,"(1209, 1728, 1669, 2188)",omer,0.7340,36.53,motion_blur,omer,0.8468,72.00,11.28,35.47
omer_motion_blur (111).jpg,"(1303, 1670, 1791, 2158)",omer,0.9144,39.18,low_light,omer,0.9594,81.16,4.51,41.98
omer_motion_blur (113).jpg,"(817, 1287, 1511, 1981)",omer,0.8188,43.50,motion_blur,omer,0.8556,97.26,3.67,53.76
omer_motion_blur (114).jpg,"(824, 1110, 1580, 1866)",omer,0.9949,47.00,low_light,omer,0.9978,101.52,0.29,54.52
omer_motion_blur (116).jpg,"(732, 1642, 1118, 2028)",Unknown,0.5614,45.00,motion_blur,yoav,0.6198,84.20,5.83,39.20
omer_motion_blur (117).jpg,"(884, 1620, 1270, 2006)",other,0.6453,36.07,motion_blur,Unknown,0.4132,69.69,-23.21,33.62
omer_motion_blur (119).jpg,"(1028, 1924, 1420, 2316)",omer,0.6273,36.51,motion_blur,omer,0.7008,68.02,7.35,31.51
omer_motion_blur (12).jpg,"(619, 1783, 977, 2141)",omer,0.7482,46.00,motion_blur,omer,0.7771,76.37,2.89,30.37
omer_motion_blur (120).jpg,"(777, 1254, 1201, 1678)",omer,0.6275,39.77,motion_blur,omer,0.8487,75.93,22.12,36.16
omer_motion_blur (121).jpg,"(1080, 1616, 1504, 2040)",omer,0.6595,37.54,motion_blur,omer,0.8205,71.29,16.10,33.74
omer_motion_blur (122).jpg,"(616, 1940, 1020, 2344)",Unknown,0.5491,37.34,low_light,Unknown,0.5350,72.65,-1.41,35.31
omer_motion_blur (124).jpg,"(727, 1715, 1119, 2107)",omer,0.9732,36.00,motion_blur,omer,0.9967,70.39,2.35,34.39
omer_motion_blur (125).jpg,"(1033, 1594, 1443, 2004)",omer,0.9371,36.76,motion_blur,omer,0.9065,72.11,-3.05,35.35
omer_motion_blur (126).jpg,"(902, 1577, 1280, 1955)",omer,0.9636,35.89,motion_blur,omer,0.9104,69.43,-5.32,33.55
omer_motion_blur (128).jpg,"(887, 1763, 1251, 2127)",omer,0.6707,37.18,motion_blur,omer,0.7271,78.02,5.65,40.84
omer_motion_blur (129).jpg,"(747, 1858, 1087, 2198)",omer,0.9826,47.00,motion_blur,omer,0.9627,71.53,-1.99,24.53
omer_motion_blur (13).jpg,"(635, 1748, 983, 2096)",omer,0.6603,40.51,motion_blur,yoav,0.6250,76.97,-3.53,36.46
omer_motion_blur (132).jpg,"(975, 2580, 1343, 2948)",omer,0.6436,37.51,motion_blur,omer,0.8914,64.90,24.78,27.40
omer_motion_blur (133).jpg,"(882, 2255, 1280, 2653)",Unknown,0.5187,37.00,motion_blur,Unknown,0.5319,68.48,1.31,31.48
omer_motion_blur (134).jpg,"(748, 2423, 1140, 2815)",omer,0.9897,37.32,low_light,omer,0.9960,72.13,0.63,34.81
omer_motion_blur (135).jpg,"(1293, 1608, 1669, 1984)",Unknown,0.5126,36.24,low_light,omer,0.6494,69.10,13.69,32.86
omer_motion_blur (136).jpg,"(766, 2081, 1138, 2453)",omer,0.9376,36.52,low_light,omer,0.9700,73.01,3.24,36.49
omer_motion_blur (137).jpg,"(725, 1461, 1131, 1867)",Unknown,0.5109,36.85,motion_blur,Unknown,0.5560,70.47,4.51,33.63
omer_motion_blur (138).jpg,"(986, 1970, 1326, 2310)",Unknown,0.4570,35.97,motion_blur,Unknown,0.4798,63.46,2.29,27.49
omer_motion_blur (14).jpg,"(915, 1356, 1313, 1754)",omer,0.8719,36.40,low_light,omer,0.9383,70.09,6.65,33.69
omer_motion_blur (15).jpg,"(1088, 1485, 1572, 1969)",omer,0.7059,37.32,normal,omer,0.7059,69.07,0.00,31.75
omer_motion_blur (16).jpg,"(1081, 1582, 1593, 2094)",omer,0.9278,36.55,low_light,omer,0.9535,85.77,2.57,49.22
omer_motion_blur (17).jpg,"(781, 1439, 1355, 2013)",omer,0.9836,40.52,low_light,omer,0.9649,85.88,-1.87,45.36
omer_motion_blur (18).jpg,"(606, 1603, 1202, 2199)",omer,0.9075,41.03,low_light,omer,0.9589,86.61,5.14,45.58
omer_motion_blur (19).jpg,"(571, 1525, 1513, 2467)",omer,0.7635,38.80,low_light,omer,0.8539,105.52,9.04,66.71
omer_motion_blur (20).jpg,"(842, 1853, 1896, 2907)",Unknown,0.4370,40.45,low_light,Unknown,0.4980,119.50,6.10,79.05
omer_motion_blur (21).jpg,"(600, 1553, 2004, 2957)",omer,0.6471,42.01,low_light,omer,0.7228,162.62,7.56,120.60
omer_motion_blur (22).jpg,"(0, 0, 224, 224)",Unknown,0.5972,40.03,motion_blur,omer,0.6944,62.04,9.72,22.01
omer_motion_blur (23).jpg,"(0, 0, 224, 224)",Unknown,0.4506,36.03,motion_blur,omer,0.9478,59.19,49.72,23.16
omer_motion_blur (24).jpg,"(0, 0, 224, 224)",other,0.9147,34.86,motion_blur,other,0.6654,57.81,-24.94,22.95
omer_motion_blur (25).jpg,"(2, 0, 224, 224)",omer,0.7421,36.13,motion_blur,omer,0.9350,61.31,19.29,25.19
omer_motion_blur (26).jpg,"(9, 0, 224, 224)",Unknown,0.5225,35.24,motion_blur,omer,0.8814,61.27,35.89,26.02
omer_motion_blur (27).jpg,"(0, 0, 224, 224)",Unknown,0.3827,35.84,motion_blur,omer,0.6207,59.31,23.80,23.47
omer_motion_blur (28).jpg,"(0, 0, 224, 224)",omer,0.9544,35.95,motion_blur,omer,0.9923,62.95,3.79,27.00
omer_motion_blur (30).jpg,"(13, 0, 224, 224)",other,0.8323,40.61,motion_blur,other,0.6042,61.55,-22.80,20.94
