Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
yoav_motion_blur (1).jpg,"(584, 1299, 1040, 1755)",yoav,0.9586,49.10,low_light,yoav,0.9364,105.87,-2.22,56.77
yoav_motion_blur (10).jpg,"(501, 2428, 1047, 2974)",yoav,0.9039,44.15,motion_blur,yoav,0.7784,95.89,-12.55,51.75
yoav_motion_blur (100).jpg,"(387, 2128, 835, 2576)",yoav,0.8221,36.00,low_light,yoav,0.8842,70.53,6.21,34.52
yoav_motion_blur (101).jpg,"(460, 1897, 884, 2321)",Unknown,0.5413,43.26,motion_blur,Unknown,0.5664,74.28,2.51,31.02
yoav_motion_blur (102).jpg,"(1149, 1864, 1559, 2274)",yoav,0.6114,64.01,low_light,yoav,0.6069,86.17,-0.45,22.16
yoav_motion_blur (103).jpg,"(663, 2525, 1069, 2931)",yoav,0.9498,38.00,low_light,yoav,0.9430,73.35,-0.68,35.35
yoav_motion_blur (104).jpg,"(510, 1803, 922, 2215)",Unknown,0.5657,45.01,motion_blur,Unknown,0.5509,70.52,-1.48,25.51
yoav_motion_blur (105).jpg,"(958, 2200, 1408, 2650)",yoav,0.6860,35.79,low_light,yoav,0.7842,72.52,9.82,36.73
yoav_motion_blur (106).jpg,"(1481, 2333, 1979, 2831)",yoav,0.9801,38.61,low_light,yoav,0.9709,75.83,-0.92,37.22
yoav_motion_blur (107).jpg,"(1719, 2453, 2270, 3161)",omer,0.6338,36.85,motion_blur,omer,0.6808,82.00,4.71,45.15
yoav_motion_blur (108).jpg,"(363, 911, 1079, 1627)",yoav,0.9993,39.92,motion_blur,yoav,0.9995,93.26,0.02,53.34
yoav_motion_blur (109).jpg,"(273, 1150, 969, 1846)",yoav,0.7561,37.53,motion_blur,yoav,0.7286,87.01,-2.75,49.49
yoav_motion_blur (11).jpg,"(959, 1537, 1431, 2009)",yoav,0.9957,42.18,low_light,yoav,0.9985,81.51,0.28,39.33
yoav_motion_blur (110).jpg,"(199, 2011, 849, 2661)",yoav,0.9253,39.53,low_light,yoav,0.8800,85.25,-4.53,45.72
yoav_motion_blur (111).jpg,"(521, 2262, 1123, 2864)",Unknown,0.5114,39.96,low_light,Unknown,0.5195,82.96,0.81,43.00
yoav_motion_blur (112).jpg,"(889, 1915, 1351, 2377)",omer,0.9140,40.46,motion_blur,omer,0.9556,77.17,4.16,36.71
yoav_motion_blur (113).jpg,"(827, 411, 1535, 1119)",yoav,0.9847,40.85,motion_blur,yoav,0.9786,106.91,-0.61,66.06
yoav_motion_blur (115).jpg,"(1231, 1719, 1647, 2135)",yoav,0.7908,48.76,low_light,yoav,0.9199,73.87,12.91,25.11
yoav_motion_blur (116).jpg,"(888, 1614, 1308, 2034)",yoav,0.9973,37.01,low_light,yoav,0.9920,80.85,-0.53,43.84
yoav_motion_blur (117).jpg,"(930, 2189, 1326, 2585)",yoav,0.7439,37.01,low_light,yoav,0.6680,78.30,-7.59,41.29
yoav_motion_blur (118).jpg,"(948, 2069, 1344, 2465)",yoav,0.8712,38.89,low_light,yoav,0.7742,72.25,-9.69,33.36
yoav_motion_blur (12).jpg,"(863, 1823, 1443, 2403)",omer,0.8092,37.91,motion_blur,omer,0.9691,76.49,15.99,38.58
yoav_motion_blur (120).jpg,"(913, 2307, 1371, 2765)",yoav,0.9998,37.01,low_light,yoav,0.9993,75.68,-0.05,38.67
yoav_motion_blur (121).jpg,"(975, 1299, 1419, 1743)",yoav,0.8854,36.97,low_light,yoav,0.7443,77.93,-14.11,40.96
yoav_motion_blur (122).jpg,"(752, 1631, 1158, 2037)",yoav,0.9145,38.00,low_light,yoav,0.9172,74.52,0.27,36.52
yoav_motion_blur (123).jpg,"(622, 1582, 1028, 1988)",yoav,0.9947,44.70,low_light,yoav,0.9829,74.64,-1.18,29.95
yoav_motion_blur (125).jpg,"(1155, 1552, 1581, 1978)",yoav,0.9718,38.31,low_light,yoav,0.8567,71.05,-11.51,32.75
yoav_motion_blur (126).jpg,"(831, 1873, 1231, 2273)",omer,0.6021,36.96,low_light,Unknown,0.5602,70.16,-4.19,33.20
yoav_motion_blur (127).jpg,"(1146, 2109, 1536, 2499)",yoav,0.9729,37.45,low_light,yoav,0.9467,72.98,-2.62,35.53
yoav_motion_blur (128).jpg,"(1005, 1801, 1397, 2193)",yoav,0.9408,37.31,low_light,yoav,0.9061,75.48,-3.47,38.17
yoav_motion_blur (129).jpg,"(1286, 1781, 1784, 2279)",yoav,0.9938,39.00,low_light,yoav,0.9827,72.01,-1.11,33.01
yoav_motion_blur (13).jpg,"(729, 1831, 1267, 2369)",yoav,0.9980,36.51,low_light,yoav,0.9980,79.01,-0.00,42.49
yoav_motion_blur (130).jpg,"(895, 1828, 1469, 2402)",yoav,0.8900,38.01,motion_blur,yoav,0.8655,95.09,-2.45,57.07
yoav_motion_blur (131).jpg,"(947, 1662, 1525, 2240)",yoav,0.9269,41.20,low_light,yoav,0.8846,87.82,-4.23,46.62
yoav_motion_blur (132).jpg,"(788, 1944, 1378, 2534)",yoav,0.9647,38.01,low_light,yoav,0.9589,80.82,-0.58,42.80
yoav_motion_blur (133).jpg,"(657, 2103, 1247, 2693)",yoav,0.9824,38.51,low_light,yoav,0.9811,86.52,-0.14,48.01
yoav_motion_blur (134).jpg,"(1001, 1641, 1577, 2217)",yoav,0.9952,37.96,motion_blur,yoav,0.9805,80.82,-1.46,42.86
yoav_motion_blur (135).jpg,"(697, 1789, 1263, 2355)",yoav,0.8079,38.40,motion_blur,yoav,0.7448,77.99,-6.32,39.58
yoav_motion_blur (138).jpg,"(1108, 1459, 1670, 2021)",yoav,0.9810,38.88,low_light,yoav,0.8057,79.01,-17.54,40.13
yoav_motion_blur (139).jpg,"(699, 1399, 1259, 1959)",yoav,0.9642,36.88,motion_blur,yoav,0.8035,97.86,-16.06,60.99
yoav_motion_blur (14).jpg,"(901, 1986, 1475, 2560)",yoav,0.9066,51.28,low_light,yoav,0.9294,90.74,2.27,39.45
yoav_motion_blur (140).jpg,"(875, 1864, 1435, 2424)",yoav,0.9770,38.00,low_light,yoav,0.9096,77.84,-6.74,39.84
yoav_motion_blur (141).jpg,"(822, 1492, 1380, 2050)",yoav,0.9928,37.71,low_light,yoav,0.9858,79.82,-0.69,42.11
yoav_motion_blur (142).jpg,"(399, 1603, 1009, 2213)",yoav,0.9994,44.53,motion_blur,yoav,0.9997,90.56,0.03,46.03
yoav_motion_blur (143).jpg,"(255, 117, 1127, 989)",yoav,0.9721,38.99,motion_blur,yoav,0.9601,105.28,-1.21,66.29
yoav_motion_blur (144).jpg,"(502, 1843, 958, 2299)",yoav,0.9742,57.64,low_light,yoav,0.9715,109.91,-0.27,52.26
yoav_motion_blur (145).jpg,"(584, 1366, 1018, 1800)",yoav,0.9841,70.20,low_light,yoav,0.9682,106.54,-1.59,36.34
yoav_motion_blur (146).jpg,"(740, 2259, 1182, 2701)",omer,0.6013,46.00,low_light,omer,0.6514,78.48,5.01,32.49
yoav_motion_blur (147).jpg,"(759, 1559, 1195, 1995)",omer,0.7281,37.02,low_light,omer,0.7924,72.51,6.44,35.49
yoav_motion_blur (148).jpg,"(893, 1494, 1313, 1914)",yoav,0.8632,38.52,low_light,yoav,0.7348,73.43,-12.84,34.91
yoav_motion_blur (149).jpg,"(894, 1540, 1360, 2006)",yoav,0.9303,37.00,motion_blur,yoav,0.8584,86.53,-7.19,49.53
yoav_motion_blur (15).jpg,"(1050, 2037, 1618, 2605)",yoav,0.9878,37.27,low_light,yoav,0.9830,80.18,-0.47,42.91
yoav_motion_blur (150).jpg,"(278, 2315, 758, 2795)",yoav,0.9957,42.10,low_light,yoav,0.9846,75.84,-1.11,33.74
yoav_motion_blur (16).jpg,"(1008, 1557, 1440, 1989)",yoav,0.9785,40.08,low_light,yoav,0.9722,79.54,-0.63,39.46
yoav_motion_blur (17).jpg,"(905, 1791, 1247, 2133)",yoav,0.8783,35.91,low_light,yoav,0.6772,70.08,-20.12,34.17
yoav_motion_blur (18).jpg,"(1012, 1943, 1352, 2283)",other,0.6015,37.58,low_light,Unknown,0.5353,72.77,-6.61,35.19
yoav_motion_blur (19).jpg,"(780, 1077, 1302, 1599)",yoav,0.9968,39.51,low_light,yoav,0.9825,83.36,-1.43,43.86
yoav_motion_blur (20).jpg,"(907, 1285, 1795, 2173)",yoav,0.9097,58.56,motion_blur,yoav,0.8148,172.69,-9.50,114.13
yoav_motion_blur (21).jpg,"(945, 1743, 1993, 2791)",yoav,0.9615,73.74,low_light,yoav,0.9140,200.10,-4.76,126.36
yoav_motion_blur (22).jpg,"(771, 1671, 1687, 2587)",yoav,0.9978,70.62,normal,yoav,0.9978,142.44,0.00,71.82
yoav_motion_blur (23).jpg,"(920, 1811, 1512, 2403)",yoav,0.9818,87.27,motion_blur,yoav,0.9610,154.39,-2.07,67.13
yoav_motion_blur (24).jpg,"(969, 1865, 1509, 2405)",yoav,0.6242,69.01,motion_blur,omer,0.9379,105.04,31.38,36.03
yoav_motion_blur (25).jpg,"(727, 1501, 1091, 1865)",yoav,0.9213,66.67,motion_blur,omer,0.6713,131.20,-25.00,64.54
yoav_motion_blur (26).jpg,"(800, 1309, 1160, 1669)",yoav,0.9910,57.70,motion_blur,yoav,0.6261,118.47,-36.49,60.77
yoav_motion_blur (27).jpg,"(0, 0, 224, 224)",Unknown,0.5458,45.26,motion_blur,yoav,0.8866,69.40,34.08,24.14
yoav_motion_blur (28).jpg,"(0, 0, 224, 224)",other,0.7393,52.01,motion_blur,Unknown,0.5260,73.24,-21.33,21.24
yoav_motion_blur (29).jpg,"(0, 0, 224, 224)",Unknown,0.5868,35.85,motion_blur,yoav,0.8955,65.24,30.87,29.38
yoav_motion_blur (3).jpg,"(1085, 1574, 1493, 1982)",yoav,0.9847,41.49,low_light,yoav,0.9136,72.02,-7.11,30.53
yoav_motion_blur (30).jpg,"(0, 0, 224, 224)",yoav,0.6263,38.81,motion_blur,yoav,0.9302,73.47,30.40,34.66
yoav_motion_blur (31).jpg,"(0, 0, 224, 224)",yoav,0.7222,36.82,motion_blur,yoav,0.8690,59.18,14.68,22.35
yoav_motion_blur (32).jpg,"(0, 0, 224, 224)",yoav,0.9185,35.84,motion_blur,yoav,0.9433,60.17,2.48,24.33
yoav_motion_blur (33).jpg,"(0, 0, 224, 224)",yoav,0.9606,37.00,motion_blur,yoav,0.9972,60.52,3.66,23.52
yoav_motion_blur (34).jpg,"(0, 0, 224, 224)",yoav,0.9887,36.13,motion_blur,yoav,0.9293,62.23,-5.95,26.10
yoav_motion_blur (35).jpg,"(0, 0, 224, 224)",yoav,0.6699,35.00,motion_blur,yoav,0.6488,64.52,-2.11,29.52
yoav_motion_blur (36).jpg,"(0, 0, 224, 224)",yoav,0.9498,46.84,motion_blur,yoav,0.8577,78.68,-9.21,31.84
yoav_motion_blur (37).jpg,"(0, 0, 224, 224)",yoav,0.8294,39.00,motion_blur,yoav,0.9511,64.51,12.17,25.51
yoav_motion_blur (38).jpg,"(0, 0, 224, 224)",yoav,0.9923,39.00,motion_blur,yoav,0.9771,64.65,-1.52,25.65
yoav_motion_blur (39).jpg,"(0, 0, 224, 224)",yoav,0.9978,36.05,motion_blur,yoav,0.9982,69.16,0.04,33.11
yoav_motion_blur (4).jpg,"(619, 1796, 1033, 2210)",yoav,0.8041,76.67,low_light,yoav,0.8451,136.94,4.10,60.27
