Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
omer_normal (1).JPG,"(1143, 1428, 2225, 2510)",omer,0.9968,42.18,normal,omer,0.9968,91.32,0.00,49.14
omer_normal (10).jpg,"(0, 0, 224, 224)",omer,0.9999,39.08,normal,omer,0.9999,70.03,0.00,30.95
omer_normal (11).jpg,"(0, 0, 224, 224)",omer,0.9997,58.02,normal,omer,0.9997,101.67,0.00,43.65
omer_normal (12).jpg,"(0, 0, 224, 224)",omer,0.9995,40.10,normal,omer,0.9995,69.44,0.00,29.34
omer_normal (13).jpg,"(0, 0, 224, 224)",omer,1.0000,36.04,normal,omer,1.0000,61.91,0.00,25.87
omer_normal (14).jpg,"(0, 0, 224, 224)",omer,0.9994,38.00,normal,omer,0.9994,59.39,0.00,21.39
omer_normal (15).jpg,"(0, 0, 224, 224)",omer,0.9997,35.06,normal,omer,0.9997,58.11,0.00,23.05
omer_normal (16).jpg,"(0, 0, 224, 224)",omer,0.9998,36.88,normal,omer,0.9998,59.22,0.00,22.34
omer_normal (17).jpg,"(0, 0, 224, 224)",omer,0.9998,35.14,normal,omer,0.9998,58.39,0.00,23.25
omer_normal (18).jpg,"(0, 0, 224, 224)",omer,1.0000,36.00,normal,omer,1.0000,58.52,0.00,22.52
omer_normal (19).jpg,"(0, 0, 224, 224)",omer,1.0000,37.06,normal,omer,1.0000,56.84,0.00,19.78
omer_normal (2).JPG,"(1273, 1374, 2401, 2502)",omer,0.9986,44.88,normal,omer,0.9986,102.29,0.00,57.41
omer_normal (20).jpg,"(0, 0, 224, 224)",omer,1.0000,37.64,normal,omer,1.0000,69.12,0.00,31.48
omer_normal (21).jpg,"(0, 0, 224, 224)",omer,1.0000,45.45,normal,omer,1.0000,68.22,0.00,22.77
omer_normal (22).jpg,"(0, 0, 224, 224)",omer,1.0000,34.51,normal,omer,1.0000,58.00,0.00,23.49
omer_normal (23).jpg,"(0, 0, 224, 224)",omer,1.0000,35.92,normal,omer,1.0000,58.43,0.00,22.52
omer_normal (24).jpg,"(0, 0, 224, 224)",omer,1.0000,35.23,normal,omer,1.0000,58.83,0.00,23.59
omer_normal (25).jpg,"(0, 0, 224, 224)",omer,0.9999,35.54,normal,omer,0.9999,58.69,0.00,23.16
omer_normal (26).jpg,"(0, 0, 224, 224)",omer,1.0000,39.33,normal,omer,1.0000,61.41,0.00,22.08
omer_normal (27).jpg,"(0, 0, 224, 224)",omer,1.0000,34.95,normal,omer,1.0000,60.75,0.00,25.80
omer_normal (28).jpg,"(0, 0, 224, 224)",omer,1.0000,36.18,normal,omer,1.0000,59.41,0.00,23.23
omer_normal (29).jpg,"(0, 0, 224, 224)",omer,0.9999,36.24,normal,omer,0.9999,59.87,0.00,23.63
omer_normal (3).JPG,"(956, 1367, 2052, 2463)",omer,0.9965,43.82,normal,omer,0.9965,94.71,0.00,50.89
omer_normal (30).jpg,"(0, 1, 222, 224)",omer,0.9999,36.84,normal,omer,0.9999,60.33,0.00,23.49
omer_normal (31).jpg,"(0, 0, 224, 224)",omer,0.9994,36.37,normal,omer,0.9994,57.88,0.00,21.51
omer_normal (32).jpg,"(0, 0, 224, 224)",omer,1.0000,35.86,normal,omer,1.0000,64.22,0.00,28.36
