Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
yoav_normal (1).jpg,"(0, 0, 224, 224)",yoav,0.9999,39.67,normal,yoav,0.9999,81.27,0.00,41.60
yoav_normal (10).jpg,"(0, 0, 224, 224)",yoav,0.9998,37.69,normal,yoav,0.9998,63.11,0.00,25.42
yoav_normal (11).jpg,"(0, 0, 224, 224)",yoav,0.9999,51.28,normal,yoav,0.9999,76.49,0.00,25.21
yoav_normal (12).jpg,"(0, 0, 224, 224)",yoav,0.9994,37.46,normal,yoav,0.9994,67.07,0.00,29.61
yoav_normal (13).jpg,"(0, 0, 224, 224)",yoav,1.0000,35.97,low_light,yoav,1.0000,53.18,-0.00,17.21
yoav_normal (14).jpg,"(0, 0, 224, 224)",yoav,0.9997,35.64,low_light,yoav,0.9995,59.21,-0.02,23.57
yoav_normal (15).jpg,"(0, 0, 224, 224)",yoav,0.9999,39.68,low_light,yoav,0.9999,55.57,-0.01,15.89
yoav_normal (16).jpg,"(2, 0, 224, 224)",yoav,0.9963,35.44,low_light,yoav,0.9909,45.43,-0.54,9.99
yoav_normal (17).jpg,"(0, 0, 224, 224)",yoav,0.9999,36.84,low_light,yoav,0.9998,57.55,-0.00,20.71
yoav_normal (18).jpg,"(0, 0, 224, 224)",yoav,1.0000,35.19,normal,yoav,1.0000,59.49,0.00,24.30
yoav_normal (19).jpg,"(0, 0, 224, 224)",yoav,0.9989,34.16,normal,yoav,0.9989,57.11,0.00,22.95
yoav_normal (2).jpg,"(0, 0, 224, 224)",yoav,0.9997,38.18,normal,yoav,0.9997,59.04,0.00,20.86
yoav_normal (20).jpg,"(0, 0, 224, 224)",yoav,0.9998,38.70,normal,yoav,0.9998,62.54,0.00,23.84
yoav_normal (21).jpg,"(0, 0, 224, 224)",yoav,0.9440,37.65,normal,yoav,0.9440,62.42,0.00,24.78
yoav_normal (22).jpg,"(0, 0, 224, 224)",yoav,0.9921,35.46,normal,yoav,0.9921,57.21,0.00,21.75
yoav_normal (23).jpg,"(0, 0, 224, 224)",yoav,0.9917,35.66,normal,yoav,0.9917,57.45,0.00,21.80
yoav_normal (24).jpg,"(0, 0, 224, 224)",yoav,0.9982,35.43,normal,yoav,0.9982,63.12,0.00,27.70
yoav_normal (25).jpg,"(0, 0, 224, 224)",yoav,1.0000,35.96,normal,yoav,1.0000,57.92,0.00,21.96
yoav_normal (26).jpg,"(0, 0, 224, 224)",yoav,1.0000,43.85,normal,yoav,1.0000,59.74,0.00,15.89
